sample_name,xenium_root,output_dir,n_cells,n_passing_pathways,n_pathways,n_associations,n_spatial_nulls,n_negative_controls,he_features_available,he_cells_inside_fraction,top_pathway,top_family,top_image_feature,top_abs_partial_rho,validation_recovered,validation_total
breast_discovery,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Breast_Cancer_outs,benchmarking\morphopathway_atera\results\he_cell_smoke_20260512_1742\breast_discovery,2500,10,10,170,10,10,True,1.0,immune_exclusion,immune_ecology,morphology__cell_area_log1p,0.22814136033033383,8,10
cervical_validation,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Cervical_Cancer_outs,benchmarking\morphopathway_atera\results\he_cell_smoke_20260512_1742\cervical_validation,2500,10,10,170,10,10,True,1.0,basal_squamous_state,endocrine_epithelial_identity,morphology__transcript_density_log1p,0.5136811877815927,8,10
