sample_role,pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
breast_discovery,immune_activation,immune_ecology,embedding__plip_006,-0.267215100651762,0.267215100651762,0.0009862416818923,149,"structure,x,y,boundary_distance,log_total_counts",0.6311946764110975,1,0.1111111111111111,0.2288844586420257,0.2534529103204282,True,True,0.1111111111111111,0.1409286192378312,0.164021389580296,True,True
breast_discovery,oxidative_phosphorylation,metabolic_stress,embedding__plip_050,0.2501000908480938,0.2501000908480938,0.0020966424429636,149,"structure,x,y,boundary_distance,log_total_counts",0.6709255817483667,2,0.1111111111111111,0.1188723678916654,0.1382868993557499,True,True,0.1111111111111111,0.0767483099946556,0.0767615983990134,True,True
breast_discovery,immune_activation,immune_ecology,embedding__plip_040,-0.2380755642395004,0.2380755642395004,0.0034582218943778,149,"structure,x,y,boundary_distance,log_total_counts",0.7377540041339454,3,0.1111111111111111,0.159185884620535,0.1868271728685172,True,True,0.1111111111111111,0.1644407179999695,0.2011335992443618,True,True
breast_discovery,luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_009,-0.2223169816718214,0.2223169816718214,0.0064289906987029,149,"structure,x,y,boundary_distance,log_total_counts",0.8687837171070418,4,0.1111111111111111,0.1233760641148056,0.144485351097517,True,True,0.1111111111111111,0.1168331383372227,0.1426413439002032,True,True
breast_discovery,oxidative_phosphorylation,metabolic_stress,embedding__plip_061,0.2160468798997866,0.2160468798997866,0.0081375887783373,149,"structure,x,y,boundary_distance,log_total_counts",0.8687837171070418,5,0.1111111111111111,0.104355487727606,0.1141515281357225,True,True,0.1111111111111111,0.1331688603142418,0.1337627812266281,True,True
breast_discovery,basal_squamous_state,endocrine_epithelial_identity,embedding__plip_029,0.2160228423829417,0.2160228423829417,0.0081448473478785,149,"structure,x,y,boundary_distance,log_total_counts",0.8687837171070418,6,0.1111111111111111,0.1042727951549791,0.1058451214977147,True,True,0.1111111111111111,0.1259720630969037,0.1356650235782895,True,True
breast_discovery,immune_activation,immune_ecology,embedding__plip_045,0.1970644994782635,0.1970644994782635,0.0160010708876345,149,"structure,x,y,boundary_distance,log_total_counts",0.8898999691770412,7,0.1111111111111111,0.1437200350606402,0.1529835566542607,True,True,0.1111111111111111,0.1398562899835028,0.1679254833639757,True,True
breast_discovery,emt_invasive_front,invasion_boundary_emt,embedding__plip_051,-0.194615822566007,0.194615822566007,0.0173894030127619,149,"structure,x,y,boundary_distance,log_total_counts",0.8898999691770412,8,0.1111111111111111,0.1123494278625911,0.1286810181436406,True,True,0.1111111111111111,0.1699870082160431,0.1828677552444084,True,True
breast_discovery,emt_invasive_front,invasion_boundary_emt,embedding__plip_054,-0.1932908259600156,0.1932908259600156,0.0181833537250726,149,"structure,x,y,boundary_distance,log_total_counts",0.8898999691770412,9,0.1111111111111111,0.1571946599239407,0.1685127019088812,True,True,0.1111111111111111,0.1389220254769196,0.1454173251475254,True,True
breast_discovery,immune_activation,immune_ecology,embedding__plip_011,-0.1910063819484889,0.1910063819484889,0.0196261010264115,149,"structure,x,y,boundary_distance,log_total_counts",0.8898999691770412,10,0.1111111111111111,0.1714381660081626,0.1736613428347891,True,True,0.1111111111111111,0.1530911551940709,0.1533385224648207,True,True
breast_discovery,immune_activation,immune_ecology,embedding__plip_041,0.1902926393392334,0.1902926393392334,0.0200966981703988,149,"structure,x,y,boundary_distance,log_total_counts",0.8898999691770412,11,,,,,,,,,,
breast_discovery,oxidative_phosphorylation,metabolic_stress,embedding__plip_054,-0.1855231817185495,0.1855231817185495,0.0234986249855533,149,"structure,x,y,boundary_distance,log_total_counts",0.8898999691770412,12,,,,,,,,,,
