xenium_root,n_cells,n_expression_genes,n_curated_genes_requested,n_curated_genes_present,n_background_genes,max_cells,random_state,expression_normalization,image_feature_source,he_features_requested,he_features_available,he_pyramid_level,he_cells_inside_fraction,he_image_path,he_alignment_path,he_embedding_backend_status,aggregation,analysis_observations,sample_role
Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Breast_Cancer_outs,1500,193,65,65,128,1500,43,log1p(counts_per_10k_transcripts_from_cells.parquet),cells.parquet morphology proxies; aligned low-resolution H&E pyramid sampled at cell centroids,True,True,6,1.0,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Breast_Cancer_outs\WTA_Preview_FFPE_Breast_Cancer_he_image.ome.tif,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Breast_Cancer_outs\WTA_Preview_FFPE_Breast_Cancer_he_alignment.csv,transformers_clip:vinid/plip,spatial-block,149,breast_discovery
Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Cervical_Cancer_outs,1500,193,65,65,128,1500,43,log1p(counts_per_10k_transcripts_from_cells.parquet),cells.parquet morphology proxies; aligned low-resolution H&E pyramid sampled at cell centroids,True,True,6,1.0,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Cervical_Cancer_outs\WTA_Preview_FFPE_Cervical_Cancer_he_image.ome.tif,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Cervical_Cancer_outs\WTA_Preview_FFPE_Cervical_Cancer_he_alignment.csv,transformers_clip:vinid/plip,spatial-block,159,cervical_validation
