pathway,image_feature,observed_abs_partial_spearman_rho,n_present_genes,n_negative_controls,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
epithelial_identity,embedding__plip_071,0.22164650020143412,7,12,0.07692307692307693,0.16693145268455015,0.17000732114642264,True,True
unfolded_protein_response,embedding__plip_013,0.20754787519164866,7,12,0.15384615384615385,0.2045266100800332,0.21851468973366328,True,False
unfolded_protein_response,embedding__plip_109,0.2056972118239545,7,12,0.07692307692307693,0.14396976186473995,0.14621844244512816,True,True
unfolded_protein_response,embedding__plip_028,0.19662582586389396,7,12,0.07692307692307693,0.16057485185295364,0.16661037820458127,True,True
unfolded_protein_response,embedding__plip_077,0.19157540738388493,7,12,0.07692307692307693,0.10402366390755516,0.10725044731579964,True,True
unfolded_protein_response,embedding__plip_030,0.18781987550419532,7,12,0.07692307692307693,0.12597585386485818,0.12674945240243324,True,True
unfolded_protein_response,embedding__plip_009,0.18631138536396427,7,12,0.07692307692307693,0.1492416474848894,0.1557944203930392,True,True
unfolded_protein_response,embedding__plip_074,0.18390942994277848,7,12,0.07692307692307693,0.12331797739760143,0.13818654588434853,True,True
epithelial_identity,embedding__plip_030,0.1821287748381294,7,12,0.15384615384615385,0.17909752436434004,0.191039907575672,True,False
unfolded_protein_response,embedding__plip_076,0.17922264165485172,7,12,0.15384615384615385,0.1571405999932527,0.1766620765319234,True,True
