sample_role,raw_he_image_path,he_alignment_path,he_pyramid_level,he_level_axes,base_shape_yx,level_shape_yx,display_shape_yx,display_crop_xyxy,display_stride_from_level,he_downsample_x,he_downsample_y,display_downsample_x,display_downsample_y,um_per_base_pixel_x,um_per_base_pixel_y,um_per_display_pixel_mean,pixel_source_data,block_overlay_source_data,extraction_method,image_adjustment,scale_calibration
breast_discovery,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Breast_Cancer_outs\WTA_Preview_FFPE_Breast_Cancer_he_image.ome.tif,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Breast_Cancer_outs\WTA_Preview_FFPE_Breast_Cancer_he_alignment.csv,6,SYX,"(47337, 90368)","(739, 1412)","(155, 125)","(581, 0, 706, 155)",2,64.0,64.0554803788904,128.0,128.1109607577808,1.2883198956046367,1.2883198956046367,164.97642311333368,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\nature_figure_package_highnull32_20260519_006\source_data\he_overview_pixels_breast_discovery.csv.gz,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\nature_figure_package_highnull32_20260519_006\source_data\he_block_overlay_breast_discovery.csv,python_tifffile_numeric_source_data_only; plotting_and_export_in_R,no local adjustment; uint8 values read from selected low-resolution OME-TIF pyramid level,image_to_xenium affine norm multiplied by emitted display downsample
cervical_validation,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Cervical_Cancer_outs\WTA_Preview_FFPE_Cervical_Cancer_he_image.ome.tif,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Cervical_Cancer_outs\WTA_Preview_FFPE_Cervical_Cancer_he_alignment.csv,6,SYX,"(47337, 90368)","(739, 1412)","(174, 173)","(150, 3, 323, 177)",2,64.0,64.0554803788904,128.0,128.1109607577808,1.2891871881711643,1.2891871881711643,165.0874846795694,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\nature_figure_package_highnull32_20260519_006\source_data\he_overview_pixels_cervical_validation.csv.gz,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\nature_figure_package_highnull32_20260519_006\source_data\he_block_overlay_cervical_validation.csv,python_tifffile_numeric_source_data_only; plotting_and_export_in_R,no local adjustment; uint8 values read from selected low-resolution OME-TIF pyramid level,image_to_xenium affine norm multiplied by emitted display downsample
