spatial_block_id,display_x,display_y,xenium_x,xenium_y,n_cells,luminal_estrogen_response,epithelial_identity,basal_squamous_state,unfolded_protein_response,oxidative_phosphorylation,collagen_ecm_organization,myofibroblast_caf_activation,immune_activation,immune_exclusion,emt_invasive_front
block_x0_y10,72.20054968636828,33.63886956252446,730.0170128562233,4987.597523082386,11,0.1270275139341095,0.2281311317043601,0.0,0.1999893798490174,0.4057732250973014,0.1979592263650395,0.2489423239743599,0.2702186094196654,0.4485454403639508,0.4991019959569178
block_x0_y11,70.06806797006863,30.734234731531966,246.6421363136985,5333.775656960227,11,0.2668928644910989,0.4277613152041519,1.0,0.529084230303996,0.3758285980519665,0.2543073762347161,0.5932301610321528,0.2400622155912968,0.3576933137993515,0.1916086337635608
block_x0_y2,92.77491085764593,36.03424586510893,1163.9553009033202,1599.5026306152345,20,0.5942029774131855,0.5935661476219041,0.228752657366515,0.4716782129210794,0.4934307453652458,0.300111928642365,0.2875473006718419,0.2050272373850818,0.3871794211907869,0.3020639304193924
block_x0_y3,89.76022036511516,33.71256434987824,775.1337656656901,2092.2469156901043,15,0.409526113119727,0.3819214258430216,0.1417965931020991,0.4477686774843843,0.3341265730159271,0.2356272880252844,0.2785073294487685,0.283397834032483,0.2372221320709064,0.2952866157994734
block_x0_y4,87.03558771922606,33.7630570261555,778.3535968411353,2541.6180616809474,31,0.5267996559103107,0.5491375032965748,0.2471579496533715,0.4846230671186172,0.4675474146835536,0.2709814188621614,0.3465749851187765,0.1029391240088105,0.290261028829379,0.2382144134608972
block_x0_y5,85.08994994710025,32.68985568427631,597.5840469751603,2860.426745292468,39,0.5781661622163592,0.5319106201024422,0.152398442970464,0.6353396422447458,0.530801687137579,0.2790090565390681,0.2806635128681797,0.0559868221063247,0.2826731788780975,0.2865842646413491
block_x0_y6,82.71028031273961,34.335302186516,864.6780040447528,3255.9113253079927,52,0.4533220764478394,0.4439680736087246,0.1490937038913718,0.4124003158462052,0.3445885512500631,0.327324647912632,0.2415304648886865,0.0933979129264187,0.4256804522740658,0.2354657716467957
block_x0_y7,80.30376696603008,34.495735827381345,886.6392023563385,3653.032928466797,32,0.6784438690843503,0.5706625643603549,0.1673337400036502,0.6515484353555172,0.3806935993167591,0.1324409230750914,0.1795185261473488,0.0,0.1532725711830047,0.1239626752638798
block_x0_y8,77.76674651533355,33.72718550739362,755.0385549985446,4069.929462139423,26,0.1092751843220559,0.2129049889350657,0.2781665737691833,0.1790085235095099,0.3718067660098795,0.5094498621825806,0.5342812562908659,0.014529694043886,0.697124980199264,0.4220625984650894
block_x0_y9,75.24865829275902,34.08390331453129,809.1845512390137,4485.817810058594,8,0.0678921117487333,0.2052198298404754,0.3140315454056058,0.1341977856053705,0.0,0.7036902877865564,0.6215259070740409,0.168746485278836,0.7727810896468932,0.5823586791643725
block_x10_y0,99.76871458594138,81.601622410159,8697.393364800348,531.8552720811632,36,0.2621239486904371,0.3575428106123837,0.1796947134999789,0.276853398604614,0.4072667319228544,0.668161633092456,0.6073941034390656,0.1805767247169724,0.6870578531508922,0.6285108148514966
block_x10_y1,95.88143382118776,81.49526024484271,8672.544359611742,1172.64580189098,33,0.3401987522276706,0.3104199392069158,0.1217731747384264,0.2560360321525811,0.5181130772026789,0.4017582055893456,0.3492301810494917,0.5208690468594632,0.3810313285502391,0.3996989513753869
block_x10_y10,73.32874357711437,82.91224072014212,8864.074055989584,4894.11669921875,6,,,,,,,,,,
block_x10_y11,69.49003846703509,82.97736044570686,8867.617106119791,5527.219482421875,12,0.061090965342053,0.0553439648426926,0.0952848941873706,0.0680280149193998,0.517571716021269,0.8330281611275532,0.1551336300837118,0.1838676979003854,0.6405330014949495,0.4861659460602953
block_x10_y2,93.15603463478328,81.60063439366657,8684.820237379809,1622.2464317908655,13,0.7534587176644153,0.6503236498748429,0.2203342132088095,0.6771800871500593,0.8163157276968741,0.4866497576303779,0.283861595046963,0.1250609313751563,0.3245641021973216,0.2728335809576788
block_x10_y3,90.58634668051509,81.5826865128953,8677.035615808823,2045.9395321116729,17,0.3352779998882402,0.2652580478390659,0.0291583864953079,0.2756829950355616,0.3119889053700365,0.5396773818019706,0.4003909615842576,0.7088238877488666,0.5271225547943613,0.4548093746670829
block_x10_y4,87.68769788760933,81.527420891072,8662.474814967105,2523.8062936883225,19,0.5115914736990854,0.6154450738113193,0.1504649998202267,0.6535547936270886,0.5177819183247175,0.2845593874058522,0.3143619077511607,0.3353393634712332,0.2964121661332747,0.3574018446368759
block_x10_y5,85.5968833729236,81.8926851721418,8718.833165322581,2869.2557097404233,31,0.6556398434940287,0.5944902247473166,0.2031005628993518,0.4869768412298415,0.4757733955739301,0.344600369041805,0.4169683758738485,0.4083056227694898,0.4900140220241941,0.2242983257114832
block_x10_y6,83.2814633888439,81.44173871265306,8640.06485262784,3250.208163174716,22,0.5367668688319939,0.5169515329022154,0.2392924125396173,0.4484669543292713,0.608522898398067,0.5031094907990882,0.4581377220948786,0.4855500537469626,0.4894378877176163,0.461709077358555
block_x10_y7,80.82474249312024,81.38480192757314,8626.0576171875,3655.200408935547,24,0.8923953814124296,0.7624294131546241,0.1710057187483382,0.8105107410167062,0.7497724206504315,0.2165979563461892,0.155955110716903,0.1651440906396034,0.1272119064143935,0.2176654010036355
block_x10_y8,78.33922790283142,81.60966311026623,8658.50349506579,4065.4698807565787,19,0.8856049465725495,0.8576684684494381,0.13208213745177,0.8561378304257282,0.822118670504064,0.2052183131976764,0.0826682835338637,0.268268492252874,0.1072932161505689,0.150190573897869
block_x10_y9,75.74642669340038,82.32372056358699,8771.483615451389,4494.349175347223,18,0.4400207134671639,0.4989046576829226,0.1369274688093434,0.3489695408376736,0.5094238503491156,0.5583346857803833,0.5927847341367092,0.4424043059497821,0.4835493632413364,0.245552180379117
block_x11_y0,98.66594369385966,86.50186364110749,9504.045932112069,722.9001633216595,29,0.3239276787903191,0.3112732755941654,0.0957037653899861,0.3040403727982033,0.421197675607157,0.5429101995847873,0.6845423874159797,0.3810729693664503,0.7180980610341979,0.4609589571000088
