sample_name,xenium_root,output_dir,n_cells,aggregation,analysis_observations,n_passing_pathways,n_pathways,n_associations,n_spatial_nulls,n_spatial_null_pass95,n_spatial_null_pass99,n_negative_controls,n_negative_control_pass95,n_negative_control_pass99,he_features_available,he_cells_inside_fraction,he_embedding_backend_status,top_pathway,top_family,top_image_feature,top_abs_partial_rho,validation_recovered,validation_total
breast_discovery,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Breast_Cancer_outs,benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed43_bins12_null32_20260512_2039\breast_discovery,3000,spatial-block,136,10,10,640,10,10,10,10,10,9,True,1.0,transformers_clip:vinid/plip,immune_activation,immune_ecology,embedding__plip_052,0.30314268929475463,10,10
cervical_validation,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Cervical_Cancer_outs,benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed43_bins12_null32_20260512_2039\cervical_validation,3000,spatial-block,135,10,10,640,10,10,10,10,10,8,True,1.0,transformers_clip:vinid/plip,immune_exclusion,immune_ecology,embedding__plip_047,0.33769331218936527,10,10
