spatial_block_id,luminal_estrogen_response,epithelial_identity,basal_squamous_state,unfolded_protein_response,oxidative_phosphorylation,collagen_ecm_organization,myofibroblast_caf_activation,immune_activation,immune_exclusion,emt_invasive_front
block_x0_y10,0.14114313944311901,0.08470045959417927,0.06985323610387684,0.17850466849171362,0.0,0.06808990762110444,0.2977934459080696,0.12463011800552126,0.40233757742886683,0.2624287421127684
block_x0_y12,0.21091679855893974,0.2183742861144656,0.2836109809821787,0.7507671430893126,0.23096773790062536,0.021795809270344253,0.20844091990028263,0.8177609507070838,0.07081256834347087,0.18193327549123992
block_x0_y13,0.18661249981161604,0.036763054337730014,0.175932578162356,0.11579698416278812,0.17997881163227128,0.36877367276330975,0.21886626157448727,0.43274527655852735,0.5315211342026366,0.757459228274332
block_x0_y3,0.0,0.0,0.15290832502343701,0.07844722850371304,0.12970022550316593,0.28309298395191607,0.2183532479493765,0.16730249918161816,0.6159896204182296,0.16884292411195934
block_x0_y4,0.6855969839032328,0.7124260447424114,0.0,0.7098245940219055,0.43530881983184033,0.0,0.02095413433463758,0.14173661262181594,0.03251012251060591,0.19693072679100665
block_x0_y5,0.6424671376378992,0.48690532463781316,0.051853895337331035,0.6069780259742807,0.5298570235456508,0.07161401712993842,0.09658964720457461,0.08112512836559783,0.1880537431808258,0.21370980782430737
block_x0_y6,0.6143326194279192,0.5054382044195562,0.17389170020002395,0.5881514530652285,0.39396055101603317,0.12862105811548694,0.12753005829565728,0.12478448299213979,0.17241331670114188,0.2452911538840743
block_x0_y7,0.3249680669517994,0.3142970552096052,0.3125931094364269,0.2629177160838417,0.1791248300447625,0.18074493931157803,0.2517231233919795,0.1236536499394898,0.42279394006384613,0.4234175902955724
block_x0_y8,0.496907765271348,0.4183922832006198,0.0707471608281554,0.5185154249591202,0.3730868553539178,0.19760510560794628,0.05328372682129942,0.16459584484716103,0.2724862379021738,0.2872942645241749
block_x0_y9,0.3090457263922689,0.3001633241432368,0.5316867239063816,0.23396341133825477,0.24541996182794373,0.13665696505372169,0.4589321418179439,0.18712465836844003,0.5405035796891703,0.4062550781187912
block_x10_y0,0.4191331341189347,0.2718478058365378,0.24748437303909887,0.3826099481308396,0.4137797200731894,0.3418794612774197,0.39021169855764914,0.30732335341386163,0.5124834468358614,0.47430725705954185
block_x10_y1,0.4649017872791775,0.39052504681051825,0.20377883207231887,0.35203564927453485,0.27349487348510376,0.3067775692857865,0.382962640235772,0.3636261848513398,0.44438425690861527,0.44097075361350324
block_x10_y11,0.7043122622686799,0.6116084891561776,0.12257068450051074,0.681734386758011,0.3667669305142703,0.21864963683648322,0.14382333906571046,0.06578265909881091,0.24046834521459032,0.2587383863463568
block_x10_y2,0.620798406654947,0.3849769130657974,0.04853587081321363,0.47732131570397707,0.46287528960487817,0.21488604636623376,0.21235043532175008,0.16656080269829363,0.5042710153971813,0.29959516106489276
block_x10_y3,0.5552777411547449,0.49392988206564054,0.5915729806586864,0.4912782212619895,0.39798244548245476,0.0727446401328459,0.24606323695335416,0.043452521736869164,0.2615740325931325,0.15283502651369657
block_x10_y4,0.3339133033740241,0.20640736644091284,0.0,0.3446455356567321,0.29248517770687127,0.07686888177695644,0.09899316459809936,0.0,0.30273722163565636,0.20211895494551366
block_x10_y5,0.6328365037594296,0.42781882419483896,0.24178681244962583,0.7283643145150642,0.5591005182662996,0.07628506548046993,0.19440341155019603,0.682461550974035,0.18016288501897199,0.27579510737532437
block_x10_y6,0.8259151847640107,0.7689558707828648,0.09967483909310702,0.7025788839228954,0.7493202541465065,0.0,0.06502418070605348,0.09420022030254188,0.058586726274746176,0.05976298671420721
