pathway,image_feature,observed_abs_partial_spearman_rho,permutations,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99
basal_squamous_state,embedding__plip_017,0.2950240606303437,8,0.1111111111111111,0.08633727707602064,0.08783197550309751,True,True
luminal_estrogen_response,embedding__plip_063,0.26989609388493374,8,0.1111111111111111,0.1322423780773697,0.13613996317269397,True,True
luminal_estrogen_response,embedding__plip_050,0.2649969103769352,8,0.1111111111111111,0.12224377723139292,0.14385473653378872,True,True
immune_activation,embedding__plip_054,0.24808769201828673,8,0.1111111111111111,0.17573745360406112,0.20228998476977242,True,True
immune_activation,embedding__plip_013,0.24084154278636402,8,0.1111111111111111,0.14775998198315726,0.1607554863224306,True,True
immune_activation,embedding__plip_004,0.2383365909771528,8,0.1111111111111111,0.16400685583187663,0.16483935446527515,True,True
luminal_estrogen_response,embedding__plip_011,0.227408766436992,8,0.1111111111111111,0.10986704568446323,0.12359402079218984,True,True
immune_exclusion,embedding__plip_037,0.22422939857944282,8,0.2222222222222222,0.21013897528867886,0.23853404370633124,True,False
luminal_estrogen_response,embedding__plip_039,0.2193291093187439,8,0.1111111111111111,0.16599148162986144,0.17515810263649095,True,True
collagen_ecm_organization,embedding__plip_050,0.21808058495177637,8,0.1111111111111111,0.10555859160341952,0.10928212040345689,True,True
