,S1,S2,S3,S4,S5
S1,,41862.989567873745,116320.75864738965,10920.246853608041,0.0
S2,41862.989567873745,,64380.583017149205,25296.078879974513,554.2776083137028
S3,116320.75864738965,64380.583017149205,,249808.57442506636,10916.97661476033
S4,10920.246853608041,25296.078879974513,249808.57442506636,,16172.511202241783
S5,0.0,554.2776083137028,10916.97661476033,16172.511202241783,
