cell_type,metric,comparison,n_groups,n_tested_groups,top_group,bottom_group,max_mean,min_mean,statistic,p_value,fdr,status,test_scope,case,reference,n_case_contours,n_reference_contours,mean_case,mean_reference,delta_mean
Mast Cells,fraction,global,5.0,5.0,S3,S1,0.011081144485825865,4.8491669826384585e-05,40.60491657970996,3.244771503797706e-08,3.817378239762007e-08,ok,global,,,,,,,
B Cells,fraction,global,5.0,5.0,S2,S1,0.0930850548243062,0.0006549757654305975,33.84427924031967,8.020436362313064e-07,9.166212985500644e-07,ok,global,,,,,,,
Plasma Cells,n_cells,global,5.0,5.0,S4,S1,1.5454545454545454,0.21,33.37509494413782,1.0008242847645593e-06,1.1120269830717325e-06,ok,global,,,,,,,
B Cells,n_cells,global,5.0,5.0,S2,S5,2.145945945945946,0.2903225806451613,29.96993081338339,4.96391016397437e-06,5.366389366458778e-06,ok,global,,,,,,,
Plasma Cells,fraction,global,5.0,5.0,S4,S1,0.011404802265630995,0.00021791292515208947,14.19810542198219,0.00668890158836802,0.007040949040387389,ok,global,,,,,,,
Unassigned,n_cells,global,5.0,5.0,S4,S1,0.00909090909090909,0.0,3.516298256952227,0.47540449004482965,0.4875943487639279,ok,global,,,,,,,
Unassigned,fraction,global,5.0,5.0,S3,S1,1.0906258324225692e-05,0.0,2.591400784989786,0.6283471908388283,0.6283471908388283,ok,global,,,,,,,
Luminal-like Amorphous DCIS Cells,n_cells,pairwise,,,,,,,1681.5,1.2791737403636612e-89,5.116694961454645e-87,ok,pairwise,S2,S5,555.0,31.0,0.02882882882882883,256.7741935483871,-256.74536471955827
Pericytes,n_cells,pairwise,,,,,,,71830.5,2.2854673762566494e-74,4.570934752513299e-72,ok,pairwise,S2,S3,555.0,562.0,0.6288288288288288,10.597864768683275,-9.969035939854447
Endothelial Cells,n_cells,pairwise,,,,,,,72501.5,1.3997073335389677e-72,1.8662764447186236e-70,ok,pairwise,S2,S3,555.0,562.0,0.9477477477477477,10.983985765124554,-10.036238017376807
Luminal-like Amorphous DCIS Cells,fraction,pairwise,,,,,,,169.0,4.8843830777972394e-67,4.884383077797239e-65,ok,pairwise,S2,S5,334.0,26.0,0.0008991335917114372,0.86364841726621,-0.8627492836744985
Endothelial Cells,fraction,pairwise,,,,,,,28748.0,6.648844845407102e-64,5.319075876325681e-62,ok,pairwise,S2,S3,334.0,486.0,0.010604231108778976,0.1559209611358662,-0.14531673002708723
Pericytes,fraction,pairwise,,,,,,,29632.0,3.1440245990320577e-62,2.0960163993547052e-60,ok,pairwise,S2,S3,334.0,486.0,0.013549200843770563,0.14361128106202325,-0.1300620802182527
CXCL14+ Fibroblasts,n_cells,pairwise,,,,,,,82066.0,5.455452899227511e-61,3.1174016567014347e-59,ok,pairwise,S2,S3,555.0,562.0,0.409009009009009,5.2562277580071175,-4.847218748998109
Pericytes,n_cells,pairwise,,,,,,,143571.5,1.0422648125550453e-52,5.2113240627752264e-51,ok,pairwise,S3,S4,562.0,330.0,10.597864768683275,5.115151515151515,5.4827132535317595
Endothelial Cells,n_cells,pairwise,,,,,,,142798.0,1.0706762718481716e-50,4.758561208214096e-49,ok,pairwise,S3,S4,562.0,330.0,10.983985765124554,5.7727272727272725,5.211258492397282
Macrophages,n_cells,pairwise,,,,,,,89078.5,8.406558800016648e-50,3.362623520006659e-48,ok,pairwise,S2,S3,555.0,562.0,0.9063063063063063,4.47153024911032,-3.565223942804014
11q13 Invasive Tumor Cells (Mitotic),n_cells,pairwise,,,,,,,43315.0,1.2009644644188196e-48,4.3671435069775258e-47,ok,pairwise,S1,S2,100.0,555.0,20.36,0.1873873873873874,20.17261261261261
Pericytes,fraction,pairwise,,,,,,,87181.5,1.8794858724951552e-48,6.264952908317184e-47,ok,pairwise,S3,S4,486.0,217.0,0.14361128106202325,0.008123250664564196,0.13548803039745905
CXCL14+ Fibroblasts,fraction,pairwise,,,,,,,37084.5,7.240742994231815e-48,2.227920921302097e-46,ok,pairwise,S2,S3,334.0,486.0,0.014592941775796212,0.11977293536317503,-0.10517999358737881
"CAFs, DCIS Associated",fraction,pairwise,,,,,,,11869.5,3.787451211501346e-47,1.0821289175718131e-45,ok,pairwise,S2,S4,334.0,217.0,0.054623582887277276,0.6230552019307445,-0.5684316190434672
Endothelial Cells,fraction,pairwise,,,,,,,86643.5,1.107296747444465e-46,2.9527913265185735e-45,ok,pairwise,S3,S4,486.0,217.0,0.1559209611358662,0.011147970430393443,0.14477299070547275
"CAFs, DCIS Associated",n_cells,pairwise,,,,,,,88707.0,2.920052289034688e-46,7.30013072258672e-45,ok,pairwise,S2,S3,555.0,562.0,1.581981981981982,11.99644128113879,-10.414459299156807
11q13 Invasive Tumor Cells,fraction,pairwise,,,,,,,34868.0,1.2554374632564422e-44,2.9539705017798642e-43,ok,pairwise,S1,S3,76.0,486.0,0.7372875914407905,0.05510775860141752,0.682179832839373
11q13 Invasive Tumor Cells,n_cells,pairwise,,,,,,,27548.0,2.157719076162567e-44,4.79493128036126e-43,ok,pairwise,S1,S4,100.0,330.0,598.12,0.4212121212121212,597.6987878787879
11q13 Invasive Tumor Cells,fraction,pairwise,,,,,,,15550.0,1.9814179514456525e-43,4.1714062135697945e-42,ok,pairwise,S1,S4,76.0,217.0,0.7372875914407905,0.034200988442476356,0.7030866029983142
Luminal-like Amorphous DCIS Cells,n_cells,pairwise,,,,,,,1086.0,3.283466261965706e-42,6.566932523931412e-41,ok,pairwise,S4,S5,330.0,31.0,18.43030303030303,256.7741935483871,-238.34389051808404
11q13 Invasive Tumor Cells (Mitotic),n_cells,pairwise,,,,,,,26054.0,5.813666025203434e-42,1.1073649571816064e-40,ok,pairwise,S1,S4,100.0,330.0,20.36,0.19090909090909092,20.169090909090908
11q13 Invasive Tumor Cells (G1/S),n_cells,pairwise,,,,,,,24791.0,2.414083779807825e-39,4.389243236014227e-38,ok,pairwise,S1,S4,100.0,330.0,20.52,0.015151515151515152,20.504848484848484
11q13 Invasive Tumor Cells (G1/S),n_cells,pairwise,,,,,,,40861.5,3.564695372092237e-39,6.199470212334326e-38,ok,pairwise,S1,S2,100.0,555.0,20.52,0.13693693693693693,20.383063063063062
11q13 Invasive Tumor Cells (Mitotic),fraction,pairwise,,,,,,,31011.0,6.374141829052883e-39,1.0623569715088138e-37,ok,pairwise,S1,S3,76.0,486.0,0.039577660749263124,0.0057254896289977986,0.033852171120265326
CXCL14+ Fibroblasts,n_cells,pairwise,,,,,,,135145.0,1.161061937294023e-38,1.857699099670437e-37,ok,pairwise,S3,S4,562.0,330.0,5.2562277580071175,4.554545454545455,0.7016823034616628
11q13 Invasive Tumor Cells,fraction,pairwise,,,,,,,23781.5,7.968986583603023e-38,1.2259979359389266e-36,ok,pairwise,S1,S2,76.0,334.0,0.7372875914407905,0.09496794525809271,0.6423196461826978
Luminal-like Amorphous DCIS Cells,fraction,pairwise,,,,,,,319.0,4.637389035114448e-37,6.860469461536975e-36,ok,pairwise,S3,S5,486.0,26.0,0.024539189825199124,0.86364841726621,-0.8391092274410109
11q13 Invasive Tumor Cells (Mitotic),fraction,pairwise,,,,,,,14322.5,4.802328623075883e-37,6.860469461536975e-36,ok,pairwise,S1,S4,76.0,217.0,0.039577660749263124,0.00967139013976802,0.029906270609495106
Macrophages,fraction,pairwise,,,,,,,42616.0,9.841678315437444e-37,1.3574728710948199e-35,ok,pairwise,S2,S3,334.0,486.0,0.016830996221619193,0.1196500787695119,-0.10281908254789271
11q13 Invasive Tumor Cells (Mitotic),fraction,pairwise,,,,,,,21348.0,1.929116190043063e-36,2.5721549200574173e-35,ok,pairwise,S1,S2,76.0,334.0,0.039577660749263124,0.009610477008780982,0.029967183740482142
Luminal-like Amorphous DCIS Cells,fraction,pairwise,,,,,,,138.5,5.3523615849324764e-36,6.906273012816099e-35,ok,pairwise,S4,S5,217.0,26.0,0.01710073073487836,0.86364841726621,-0.8465476865313316
Basal-like Structured DCIS Cells,n_cells,pairwise,,,,,,,25852.5,2.2244268490714285e-35,2.7805335613392856e-34,ok,pairwise,S1,S4,100.0,330.0,48.35,4.539393939393939,43.81060606060606
11q13 Invasive Tumor Cells (G1/S),fraction,pairwise,,,,,,,13584.5,6.435622781842515e-35,7.800754887081837e-34,ok,pairwise,S1,S4,76.0,217.0,0.02518529617846794,0.0012604156352588138,0.023924880543209126
11q13 Invasive Tumor Cells (Mitotic),n_cells,pairwise,,,,,,,42812.5,3.4257715513424445e-34,4.0303194721675817e-33,ok,pairwise,S1,S3,100.0,562.0,20.36,0.4804270462633452,19.879572953736655
Macrophages,n_cells,pairwise,,,,,,,132070.0,1.2734054909232911e-33,1.45532056105519e-32,ok,pairwise,S3,S4,562.0,330.0,4.47153024911032,2.8666666666666667,1.6048635824436537
Luminal-like Amorphous DCIS Cells,n_cells,pairwise,,,,,,,1988.5,3.5509270839181406e-33,3.945474537686823e-32,ok,pairwise,S3,S5,562.0,31.0,0.8772241992882562,256.7741935483871,-255.8969693490988
"CAFs, DCIS Associated",fraction,pairwise,,,,,,,23507.0,9.141043929911916e-33,9.882209653958828e-32,ok,pairwise,S3,S4,486.0,217.0,0.16300951164078376,0.6230552019307445,-0.46004569028996073
CXCL14+ Fibroblasts,fraction,pairwise,,,,,,,80336.0,1.3352184477655193e-32,1.405493102911073e-31,ok,pairwise,S3,S4,486.0,217.0,0.11977293536317503,0.016067856343946297,0.10370507901922874
11q13 Invasive Tumor Cells,n_cells,pairwise,,,,,,,44389.0,3.151707198569186e-32,3.2325202036607036e-31,ok,pairwise,S1,S2,100.0,555.0,598.12,3.081081081081081,595.038918918919
