assigned_structure,gene,shell_start,shell_end,shell_mid,mean_density_per_um2,sem_density_per_um2,n_shells,total_count
S5,CLIC6,80.0,100.0,90.0,4.0525794210480336e-05,2.9302289607855985e-05,10,3
S1,COL1A1,-100.0,-80.0,-90.0,0.0005251780547267575,0.00011037298234191232,35,588
S1,COL1A1,-80.0,-60.0,-70.0,0.0005221544926396032,4.932838653308823e-05,42,769
S1,COL1A1,-60.0,-40.0,-50.0,0.0004374224941899732,4.753069226263525e-05,54,932
S1,COL1A1,-40.0,-20.0,-30.0,0.0004988942717012927,4.007606950961687e-05,64,1350
S1,COL1A1,-20.0,0.0,-10.0,0.0015387815687670908,0.00036858175410623453,100,2951
S1,COL1A1,0.0,20.0,10.0,0.0009535585031471276,0.00027193494007788055,96,62
S1,COL1A1,20.0,40.0,30.0,0.0011151834592065945,0.0006817489485961555,78,8
S1,COL1A1,40.0,60.0,50.0,0.0021374391918420428,0.0008797895453488868,80,21
S1,COL1A1,60.0,80.0,70.0,0.0012635329010949681,0.0006809351940770528,84,16
S1,COL1A1,80.0,100.0,90.0,0.0008380017415156308,0.0007959119848619333,92,8
S4,COL1A1,-100.0,-80.0,-90.0,6.566461116699669e-05,2.6208610352674513e-05,7,140
S4,COL1A1,-80.0,-60.0,-70.0,0.00015748439907164742,0.0001013496173027463,17,190
S4,COL1A1,-60.0,-40.0,-50.0,0.00019469339281379263,5.71265632545671e-05,43,259
S4,COL1A1,-40.0,-20.0,-30.0,0.00037891753927223103,9.255630020860935e-05,118,489
S4,COL1A1,-20.0,0.0,-10.0,0.00128605575436785,0.0002871373100734053,330,1168
S4,COL1A1,0.0,20.0,10.0,0.0006653673498562262,0.00020788662425656762,303,41
S4,COL1A1,20.0,40.0,30.0,0.00030344570361117427,0.00017206913454563403,215,7
S4,COL1A1,40.0,60.0,50.0,0.0007638106180680649,0.00034493852926982023,219,31
S4,COL1A1,60.0,80.0,70.0,0.0006545281163794931,0.00028256449954025027,237,17
S4,COL1A1,80.0,100.0,90.0,0.0006470037713765777,0.0002939110138764747,237,20
S5,COL1A1,-100.0,-80.0,-90.0,0.00028661082887641094,0.0001839320947175983,9,40
S5,COL1A1,-80.0,-60.0,-70.0,0.0003360316699343811,0.00012064704663371383,18,59
S5,COL1A1,-60.0,-40.0,-50.0,0.0002159328456181587,5.137576416859345e-05,21,69
S5,COL1A1,-40.0,-20.0,-30.0,0.00031113018148382364,5.935340354820073e-05,25,138
S5,COL1A1,-20.0,0.0,-10.0,0.00033779526985303125,4.603081071678377e-05,31,213
S5,COL1A1,0.0,20.0,10.0,0.0016043253512263223,0.0013432608211498378,16,3
S5,COL1A1,20.0,40.0,30.0,0.003340050404716889,0.0024562802618730674,9,2
S5,COL1A1,40.0,60.0,50.0,0.0,0.0,10,0
S5,COL1A1,60.0,80.0,70.0,0.0,0.0,12,0
S5,COL1A1,80.0,100.0,90.0,0.0,0.0,10,0
S1,EPCAM,-100.0,-80.0,-90.0,0.019169841231947066,0.0011032453570788939,35,22901
S1,EPCAM,-80.0,-60.0,-70.0,0.02094434203331742,0.000803427186808656,42,31023
S1,EPCAM,-60.0,-40.0,-50.0,0.01962375870379947,0.0008918432925317874,54,42845
S1,EPCAM,-40.0,-20.0,-30.0,0.02138618174527415,0.0011356499941094379,64,55470
S1,EPCAM,-20.0,0.0,-10.0,0.01383269545403265,0.0009600523617059435,100,55611
S1,EPCAM,0.0,20.0,10.0,0.005820385959439591,0.0009598139853129187,96,535
S1,EPCAM,20.0,40.0,30.0,0.0014714871862077047,0.00042876878829746837,78,102
S1,EPCAM,40.0,60.0,50.0,0.0029514892737274438,0.0011939536424326737,80,77
S1,EPCAM,60.0,80.0,70.0,0.0035499602055948896,0.0009845670884390955,84,70
S1,EPCAM,80.0,100.0,90.0,0.0038103239250672845,0.0015370067730643793,92,70
S4,EPCAM,-100.0,-80.0,-90.0,0.0004143937967023687,0.00020801666279131298,7,1107
S4,EPCAM,-80.0,-60.0,-70.0,0.0004858280499396082,0.00024654238342017694,17,1216
S4,EPCAM,-60.0,-40.0,-50.0,0.0008592376815006196,0.0006660421430549907,43,1015
S4,EPCAM,-40.0,-20.0,-30.0,0.0006774374582259073,0.0002746333794166713,118,1219
S4,EPCAM,-20.0,0.0,-10.0,0.002008347432710791,0.00034371642303287906,330,2754
S4,EPCAM,0.0,20.0,10.0,0.0021510836876238557,0.0004165899441229833,303,116
S4,EPCAM,20.0,40.0,30.0,0.0023571895333413325,0.0008857447157000142,215,45
S4,EPCAM,40.0,60.0,50.0,0.002227502840948559,0.0006625676518103682,219,51
S4,EPCAM,60.0,80.0,70.0,0.0021407747964877475,0.0006049066329292886,237,51
S4,EPCAM,80.0,100.0,90.0,0.002564662245795441,0.0006269304528257398,237,97
S5,EPCAM,-100.0,-80.0,-90.0,0.007191335366084983,0.0020493885557326583,9,1271
S5,EPCAM,-80.0,-60.0,-70.0,0.009668929189090953,0.0015374289956931735,18,1748
S5,EPCAM,-60.0,-40.0,-50.0,0.008620074726906431,0.0012185583527324624,21,2746
S5,EPCAM,-40.0,-20.0,-30.0,0.010611849337349244,0.001018902318348888,25,4715
S5,EPCAM,-20.0,0.0,-10.0,0.010920381128477053,0.0011486022503624997,31,6553
S5,EPCAM,0.0,20.0,10.0,0.004795077881861908,0.002006265962904081,16,34
S5,EPCAM,20.0,40.0,30.0,0.0,0.0,9,0
S5,EPCAM,40.0,60.0,50.0,0.0025293500461298635,0.002506372823748204,10,2
S5,EPCAM,60.0,80.0,70.0,0.0027781240852696224,0.0027781240852696224,12,1
S5,EPCAM,80.0,100.0,90.0,0.0006365758330346874,0.0006087096485404034,10,2
S1,ESR1,-100.0,-80.0,-90.0,0.011005341325962677,0.0008255417395194776,35,13280
S1,ESR1,-80.0,-60.0,-70.0,0.013440511964398978,0.0018265147910691178,42,18105
S1,ESR1,-60.0,-40.0,-50.0,0.0105913856964587,0.0005918830674644197,54,23717
S1,ESR1,-40.0,-20.0,-30.0,0.009674061381652645,0.0006612152516822547,64,27085
S1,ESR1,-20.0,0.0,-10.0,0.006367272824965863,0.0008605610580450762,100,23511
S1,ESR1,0.0,20.0,10.0,0.002555942904648232,0.0007085215690988195,96,197
S1,ESR1,20.0,40.0,30.0,0.0005394715988306474,0.00023993493766005423,78,36
S1,ESR1,40.0,60.0,50.0,0.0014605118557548722,0.0008977398114601577,80,27
S1,ESR1,60.0,80.0,70.0,0.0012182938864997016,0.0008891884901484293,84,35
S1,ESR1,80.0,100.0,90.0,0.002132459095772841,0.0013955295045571478,92,25
S4,ESR1,-100.0,-80.0,-90.0,0.00016755983418528778,8.564396996572308e-05,7,448
S4,ESR1,-80.0,-60.0,-70.0,0.0001256577135232293,5.371363541982416e-05,17,501
S4,ESR1,-60.0,-40.0,-50.0,0.00011770047421097718,4.2379452195939224e-05,43,449
S4,ESR1,-40.0,-20.0,-30.0,0.00035149905744015383,0.0001574350348072833,118,571
S4,ESR1,-20.0,0.0,-10.0,0.0009089922426050414,0.00025092998215314077,330,1179
S4,ESR1,0.0,20.0,10.0,0.0004883846986944998,0.00018666390373301206,303,47
S4,ESR1,20.0,40.0,30.0,0.0011197656637078658,0.00044113162104816807,215,23
S4,ESR1,40.0,60.0,50.0,0.0011088380917793003,0.0004714963189648294,219,22
S4,ESR1,60.0,80.0,70.0,0.0006378626429836326,0.0003715398061878105,237,13
S4,ESR1,80.0,100.0,90.0,0.0013162273990694549,0.00042214353066832215,237,27
S5,ESR1,-100.0,-80.0,-90.0,0.003972128949735744,0.001348340903066708,9,647
S5,ESR1,-80.0,-60.0,-70.0,0.004476370032481809,0.0008881756683980213,18,952
S5,ESR1,-60.0,-40.0,-50.0,0.004554261638563957,0.000680591111352627,21,1502
S5,ESR1,-40.0,-20.0,-30.0,0.005346942974453657,0.0006179343370940579,25,2458
S5,ESR1,-20.0,0.0,-10.0,0.005643028761289433,0.0008004573195515591,31,3253
S5,ESR1,0.0,20.0,10.0,0.005890723303625172,0.002176852162274358,16,18
S5,ESR1,20.0,40.0,30.0,0.01093408170952411,0.006003182614867937,9,4
S5,ESR1,40.0,60.0,50.0,0.0007656275310085901,0.00076562753100859,10,1
S5,ESR1,60.0,80.0,70.0,0.0,0.0,12,0
S5,ESR1,80.0,100.0,90.0,1.3936474178031789e-05,1.393647417803179e-05,10,1
S1,HSPB8,-100.0,-80.0,-90.0,0.00012072935330911425,2.3829966587989226e-05,35,205
S1,HSPB8,-80.0,-60.0,-70.0,0.00014028140945303156,2.910691786968621e-05,42,213
S1,HSPB8,-60.0,-40.0,-50.0,0.00015675586138167046,3.077770302343502e-05,54,251
S1,HSPB8,-40.0,-20.0,-30.0,0.000142472622658859,2.5895293362481506e-05,64,326
S1,HSPB8,-20.0,0.0,-10.0,0.00013341536786152708,2.5614995852052333e-05,100,505
S1,HSPB8,0.0,20.0,10.0,0.00010605294981230263,5.267497773163647e-05,96,9
S1,HSPB8,20.0,40.0,30.0,6.630390732410539e-06,4.719528731931713e-06,78,2
S1,HSPB8,40.0,60.0,50.0,6.646930923984098e-06,4.722646523006713e-06,80,2
S1,HSPB8,60.0,80.0,70.0,0.0004524169065294117,0.0003158042596709533,84,5
S1,HSPB8,80.0,100.0,90.0,4.0934623810268704e-05,3.62193749712369e-05,92,4
S4,HSPB8,-100.0,-80.0,-90.0,0.00023337696658807137,0.00015061465006783374,7,785
S4,HSPB8,-80.0,-60.0,-70.0,0.00018252673829695988,7.134536545366728e-05,17,749
S4,HSPB8,-60.0,-40.0,-50.0,9.159758097100962e-05,3.6815386555185436e-05,43,621
S4,HSPB8,-40.0,-20.0,-30.0,0.0007849857820551525,0.0003896820262349956,118,793
S4,HSPB8,-20.0,0.0,-10.0,0.0010579666275069444,0.00043746481314681576,330,1915
S4,HSPB8,0.0,20.0,10.0,0.0013841336499357357,0.0005098437078589783,303,73
S4,HSPB8,20.0,40.0,30.0,0.0005459219165944184,0.0003064535147380936,215,37
S4,HSPB8,40.0,60.0,50.0,0.00036805209993561334,0.00027790246489667986,219,15
S4,HSPB8,60.0,80.0,70.0,0.0010858767603591688,0.0005944064331141698,237,16
S4,HSPB8,80.0,100.0,90.0,0.0014273760849053574,0.0008506775974230498,237,26
S5,HSPB8,-100.0,-80.0,-90.0,0.008459964905459957,0.002596574275746863,9,1419
S5,HSPB8,-80.0,-60.0,-70.0,0.007865637197359047,0.0015103791079051695,18,1859
S5,HSPB8,-60.0,-40.0,-50.0,0.008767445194177367,0.0016817850188635389,21,2791
S5,HSPB8,-40.0,-20.0,-30.0,0.009435503085333906,0.0016137635799313877,25,4701
S5,HSPB8,-20.0,0.0,-10.0,0.012368480634958396,0.0023120410803724087,31,6544
S5,HSPB8,0.0,20.0,10.0,0.0092009776672099,0.003211714254033065,16,54
