sample_name,xenium_root,output_dir,n_cells,aggregation,analysis_observations,n_passing_pathways,n_pathways,n_associations,n_spatial_nulls,n_negative_controls,he_features_available,he_cells_inside_fraction,he_embedding_backend_status,top_pathway,top_family,top_image_feature,top_abs_partial_rho,validation_recovered,validation_total
breast_discovery,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Breast_Cancer_outs,benchmarking\morphopathway_atera\results\he_projection_block_6k_smoke_20260512_1808\breast_discovery,6000,spatial-block,343,10,10,480,10,10,True,1.0,deterministic_patch_projection_fallback,basal_squamous_state,endocrine_epithelial_identity,embedding__he_patch_projection_012,0.15190592003718914,5,10
cervical_validation,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Cervical_Cancer_outs,benchmarking\morphopathway_atera\results\he_projection_block_6k_smoke_20260512_1808\cervical_validation,6000,spatial-block,365,10,10,480,10,10,True,1.0,deterministic_patch_projection_fallback,collagen_ecm_organization,stromal_remodeling_caf_ecm,image__he_b_mean,0.27215044607146194,5,10
