image_feature,n_associations,max_abs_partial_spearman_rho,mean_abs_partial_spearman_rho,top_k_count,top_k_pathways,top_k_families,negative_control_rows,negative_control_fail95,negative_control_fail99,negative_control_pathways,sample_role,top_k,candidate_generic_axis
embedding__plip_000,10,0.1523473356840818,0.04588394271393684,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_018,10,0.1491998807749537,0.06355930943037551,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_017,10,0.1491433050629354,0.05911801543338012,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_037,10,0.1464172824776499,0.09113923178773616,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_060,10,0.1456903178225189,0.07846838892225536,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_046,10,0.1440307000198263,0.0563783442059901,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_010,10,0.1435284276722946,0.07787869026473912,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_034,10,0.1433639402724213,0.07838169024230136,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_001,10,0.1432281800850634,0.06459744876451023,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_054,10,0.1427861160170312,0.07572303484130635,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_056,10,0.1420390485162261,0.06819659041395816,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_062,10,0.1363592191775488,0.03301429250177611,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_030,10,0.1328480034072285,0.05904319374427084,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_021,10,0.1263577302150942,0.05390915134502742,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_007,10,0.1209621763260336,0.04086267158216337,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_043,10,0.1158788527283579,0.053877246202296544,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_024,10,0.110620470955235,0.04494606464745019,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_020,10,0.1103612062690691,0.04535194548393201,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_041,10,0.1088485732497733,0.05157656586574018,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_006,10,0.1088316409259139,0.05273923256908114,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_003,10,0.1010362877526054,0.04089800160457876,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_050,10,0.0965043998038024,0.03904891446086342,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_041,10,0.2949184068411153,0.12949042361857063,3,collagen_ecm_organization;immune_exclusion;myofibroblast_caf_activation,immune_ecology;stromal_remodeling_caf_ecm,2,0,0,collagen_ecm_organization;myofibroblast_caf_activation,cervical_validation,40,False
embedding__plip_014,10,0.2920254297453082,0.13960465962586693,3,collagen_ecm_organization;immune_exclusion;myofibroblast_caf_activation,immune_ecology;stromal_remodeling_caf_ecm,2,0,0,collagen_ecm_organization;immune_exclusion,cervical_validation,40,False
embedding__plip_026,10,0.2652958778151689,0.14430476203817952,3,collagen_ecm_organization;immune_exclusion;myofibroblast_caf_activation,immune_ecology;stromal_remodeling_caf_ecm,3,0,0,collagen_ecm_organization;immune_exclusion;myofibroblast_caf_activation,cervical_validation,40,False
embedding__plip_050,10,0.2473778210508522,0.13489232039247417,3,collagen_ecm_organization;immune_exclusion;myofibroblast_caf_activation,immune_ecology;stromal_remodeling_caf_ecm,1,0,0,collagen_ecm_organization,cervical_validation,40,False
embedding__plip_057,10,0.2231578019659645,0.11021617163082335,3,collagen_ecm_organization;immune_exclusion;myofibroblast_caf_activation,immune_ecology;stromal_remodeling_caf_ecm,0,0,0,,cervical_validation,40,False
embedding__plip_056,10,0.2295315644563892,0.1131275739602315,2,collagen_ecm_organization;immune_exclusion,immune_ecology;stromal_remodeling_caf_ecm,0,0,0,,cervical_validation,40,False
embedding__plip_000,10,0.2149194461384232,0.09844954588896977,2,epithelial_identity;immune_activation,endocrine_epithelial_identity;immune_ecology,0,0,0,,cervical_validation,40,False
embedding__plip_044,10,0.2119264540157943,0.11308601384608205,2,collagen_ecm_organization;immune_exclusion,immune_ecology;stromal_remodeling_caf_ecm,0,0,0,,cervical_validation,40,False
embedding__plip_018,10,0.1991787343709042,0.09539921363059005,2,collagen_ecm_organization;myofibroblast_caf_activation,stromal_remodeling_caf_ecm,0,0,0,,cervical_validation,40,False
embedding__plip_035,10,0.1895848424319352,0.10293307370950144,2,basal_squamous_state;luminal_estrogen_response,endocrine_epithelial_identity,0,0,0,,cervical_validation,40,False
embedding__plip_053,10,0.3059492614007295,0.10183195230423639,1,immune_activation,immune_ecology,1,0,0,immune_activation,cervical_validation,40,False
embedding__plip_013,10,0.2388929969975682,0.07685736707672904,1,basal_squamous_state,endocrine_epithelial_identity,1,0,0,basal_squamous_state,cervical_validation,40,False
embedding__plip_023,10,0.2385630730513513,0.08936854531463093,1,basal_squamous_state,endocrine_epithelial_identity,0,0,0,,cervical_validation,40,False
embedding__plip_055,10,0.2353291996548038,0.08489228293159022,1,oxidative_phosphorylation,metabolic_stress,0,0,0,,cervical_validation,40,False
embedding__plip_025,10,0.2207473828558621,0.08253336549697221,1,myofibroblast_caf_activation,stromal_remodeling_caf_ecm,0,0,0,,cervical_validation,40,False
embedding__plip_012,10,0.2202115496964944,0.10615045884543436,1,basal_squamous_state,endocrine_epithelial_identity,0,0,0,,cervical_validation,40,False
embedding__plip_004,10,0.2018324918895589,0.06666218179639287,1,oxidative_phosphorylation,metabolic_stress,0,0,0,,cervical_validation,40,False
embedding__plip_034,10,0.1984153586835995,0.08237666522320997,1,epithelial_identity,endocrine_epithelial_identity,0,0,0,,cervical_validation,40,False
embedding__plip_028,10,0.1933829403714686,0.09005535358714595,1,oxidative_phosphorylation,metabolic_stress,0,0,0,,cervical_validation,40,False
embedding__plip_019,10,0.1898226798903505,0.09731575329168808,1,collagen_ecm_organization,stromal_remodeling_caf_ecm,0,0,0,,cervical_validation,40,False
embedding__plip_040,10,0.1895189369139771,0.07937905614215734,1,basal_squamous_state,endocrine_epithelial_identity,0,0,0,,cervical_validation,40,False
embedding__plip_015,10,0.1855296526881036,0.07343107593576434,1,emt_invasive_front,invasion_boundary_emt,0,0,0,,cervical_validation,40,False
embedding__plip_058,10,0.1840444230488147,0.07430788075549351,1,immune_activation,immune_ecology,0,0,0,,cervical_validation,40,False
embedding__plip_017,10,0.1836268353313397,0.0881097334905522,1,immune_activation,immune_ecology,0,0,0,,cervical_validation,40,False
embedding__plip_030,10,0.1830524405595632,0.07429773768487505,1,myofibroblast_caf_activation,stromal_remodeling_caf_ecm,0,0,0,,cervical_validation,40,False
embedding__plip_037,10,0.1780338208944338,0.06673342843663607,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_042,10,0.1778651506700405,0.07888376407894508,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_021,10,0.175188881965967,0.09329734171916085,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_006,10,0.1630244235913821,0.06833364778694542,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_059,10,0.1608711398375313,0.07127179133028004,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_031,10,0.1602836162572471,0.07406336679154212,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_032,10,0.1602607482481512,0.07812340686781966,0,,,0,0,0,,cervical_validation,40,False
