pathway,image_feature,observed_abs_partial_spearman_rho,permutations,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99
unfolded_protein_response,image__he_lowres_x,0.07371091964158687,8,0.1111111111111111,0.0442830631847009,0.05111074932151054,True,True
emt_invasive_front,image__he_eosin_proxy,0.04123366722217149,8,0.3333333333333333,0.06071268488824884,0.06184906972551717,False,False
emt_invasive_front,image__he_local_contrast,0.038100076300480526,8,0.2222222222222222,0.03557576725381533,0.03943267914378907,True,False
emt_invasive_front,image__he_luma_mean,0.03786595045810482,8,0.1111111111111111,0.0338707017297359,0.035655834311162565,True,True
emt_invasive_front,image__he_g_mean,0.03749004174163994,8,0.2222222222222222,0.03944376220305884,0.04537348547310612,False,False
emt_invasive_front,image__he_saturation_mean,0.03689331872095781,8,0.1111111111111111,0.027382548050867456,0.02870550718277213,True,True
luminal_estrogen_response,image__he_lowres_x,0.03651059171789159,8,0.2222222222222222,0.038509245290964285,0.04065982085821391,False,False
myofibroblast_caf_activation,image__he_eosin_proxy,0.032921609335040396,8,0.4444444444444444,0.03796679381867437,0.03855780489328797,False,False
emt_invasive_front,image__he_lowres_y,0.03130383874984501,8,0.1111111111111111,0.02515435874383747,0.025533412448879456,True,True
epithelial_identity,image__he_eosin_proxy,0.030549295347988777,8,0.4444444444444444,0.04208683179640454,0.042430272633335056,False,False
