assigned_structure,n_contours,program__immune_exclusion__image_evidence__mean,program__immune_exclusion__omics_evidence__mean,program__immune_exclusion__spatial_evidence__mean,program__immune_exclusion__mean,program__myeloid_vascular_belt__omics_evidence__mean,program__myeloid_vascular_belt__spatial_evidence__mean,program__myeloid_vascular_belt__mean,program__emt_invasive_front__image_evidence__mean,program__emt_invasive_front__omics_evidence__mean,program__emt_invasive_front__spatial_evidence__mean,program__emt_invasive_front__mean,program__stromal_encapsulation__image_evidence__mean,program__stromal_encapsulation__omics_evidence__mean,program__stromal_encapsulation__spatial_evidence__mean,program__stromal_encapsulation__mean,program__tls_adjacent_activation__image_evidence__mean,program__tls_adjacent_activation__omics_evidence__mean,program__tls_adjacent_activation__spatial_evidence__mean,program__tls_adjacent_activation__mean,program__necrotic_hypoxic_rim__omics_evidence__mean,program__necrotic_hypoxic_rim__spatial_evidence__mean,program__necrotic_hypoxic_rim__mean,program__top_program_score__mean,top_program
S1,100,1.8114672848179019,0.6230601523299142,0.3212153722382996,0.9185809364620386,0.6032156622594039,0.3240927550920915,0.46365420867574764,3.106390544364665,0.6962058824737728,0.44638156121897565,1.416325996019138,-0.6480883978391911,0.5992291543568006,0.9236313340796951,0.2915906968657681,0.0,0.3149675900274557,0.3212153722382996,0.21206098742191842,-1.3011358803458595,1.2605157818936399,-0.020310049226109655,1.8195265557105218,emt_invasive_front
S2,555,0.23732215129107093,0.5334933498171883,-1.6321788198283451,-0.2871211062400286,0.2723526856982114,-1.1452928567209513,-0.43647008551136984,0.3958448400434971,-0.9744233468581145,0.22306953733249124,-0.11850298982737535,-0.13259010925918152,-0.4629729704906729,0.08406430020263714,-0.1704995931824058,0.0,0.3897617921158971,-1.6321788198283451,-0.41413900923748276,-0.8617456517456937,0.14823334317814296,-0.3567561542837754,0.7579382297862758,immune_exclusion
S3,562,1.0992842220734849,0.6757134409925433,-0.11982715168360242,0.5517235037941419,0.2908883616566811,-1.8506091349207643,-0.7798603866320417,1.9427941599440963,-0.6104163549245272,0.09364624265421505,0.47534134922459464,-0.6101221419395347,-0.3610035610500775,0.11299030322036129,-0.28604513325641706,0.0,0.40007925742548156,-0.11982715168360247,0.09341736858062638,-0.2973794558697168,0.6233320267518009,0.16297628544104203,1.1211119718178897,emt_invasive_front
S4,330,0.6919998803704411,1.0201590926609996,-0.061885733451894014,0.550091079859849,0.37972760110527104,-0.5741244754842435,-0.0971984371894862,1.1974898524984183,-0.6974867727031697,0.2440349940393971,0.24801269127821515,-0.3081411400300802,-0.20035185542436967,0.17611278770324343,-0.11079340258373546,0.0,0.25941273482007077,-0.06188573345189403,0.06584233378939226,-0.8083915833046637,0.45541733005586815,-0.17648712662439767,1.1338176012815486,immune_exclusion
S5,31,0.9593959009151286,0.4181063397809622,0.41192870240848295,0.5964769810348578,0.7019210979957328,0.455208262442231,0.5785646802189819,1.544526771204309,0.10931179448338507,0.17740585354024677,0.6104148064093133,-0.3514621734636526,0.1141448423240078,0.43838669697949423,0.06702312194661648,0.0,0.30789393341089144,0.41192870240848295,0.2399408786064582,-0.9452537175519236,0.613145584590568,-0.16605406648067783,1.187118395674568,myeloid_vascular_belt
