tile_id,contour_id,structure_id,assigned_structure,image_path,tile_x,tile_y,patch_width,patch_height,nonzero_fraction,top_image_label,top_image_score,text_sim_ductal_epithelium,text_sim_invasive_carcinoma,text_sim_in_situ_carcinoma,text_sim_fibrotic_stroma,text_sim_immune_infiltrate,text_sim_necrosis,text_sim_adipose_tissue,text_sim_vascular_stroma,text_sim_lumen_or_secretion,rgb_mean_r,rgb_mean_g,rgb_mean_b,rgb_brightness_mean,rgb_tissue_fraction
10,S1 11q13 Invasive Tumor Cells #11.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00011_S1_11q13_Invasive_Tumor_Cells_11.1.png,35305.782493499995,2176.3686135,497,520,0.5463511840272404,invasive carcinoma,0.266845703125,0.2296142578125,0.266845703125,0.25732421875,0.216552734375,0.25244140625,0.2335205078125,0.262451171875,0.262939453125,0.2401123046875,0.40557366609573364,0.33526474237442017,0.4500110447406769,0.396949827671051,0.9999961306299334
11,S1 11q13 Invasive Tumor Cells #12.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00012_S1_11q13_Invasive_Tumor_Cells_12.1.png,13584.187512,1697.1869815,63,41,0.7212543554006968,lumen or secretion,0.2685546875,0.25,0.224365234375,0.2408447265625,0.23046875,0.234619140625,0.2337646484375,0.255615234375,0.250732421875,0.2685546875,0.5762853622436523,0.3192487955093384,0.547759473323822,0.48109787702560425,1.0
12,S1 11q13 Invasive Tumor Cells #13.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00013_S1_11q13_Invasive_Tumor_Cells_13.1.png,15133.8851325,2875.1751605,699,783,0.48792929874277613,immune infiltrate,0.26220703125,0.2215576171875,0.251220703125,0.2486572265625,0.216796875,0.26220703125,0.2288818359375,0.2318115234375,0.2479248046875,0.2130126953125,0.3794761002063751,0.281555712223053,0.4000873565673828,0.353706419467926,0.9999981729052816
13,S1 11q13 Invasive Tumor Cells #14.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00014_S1_11q13_Invasive_Tumor_Cells_14.1.png,36958.7932885,2475.8571334999997,406,643,0.5688467696833653,invasive carcinoma,0.25439453125,0.2447509765625,0.25439453125,0.2421875,0.228759765625,0.252685546875,0.2509765625,0.2408447265625,0.2451171875,0.2369384765625,0.4008252024650574,0.3012036681175232,0.4452892243862152,0.38243937492370605,0.9999923388672249
14,S1 11q13 Invasive Tumor Cells #15.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00015_S1_11q13_Invasive_Tumor_Cells_15.1.png,40316.4714665,3014.9364695,527,360,0.49212523719165086,immune infiltrate,0.266357421875,0.2242431640625,0.245361328125,0.241943359375,0.2064208984375,0.266357421875,0.231201171875,0.220947265625,0.2476806640625,0.239501953125,0.3858618140220642,0.3204977214336395,0.4165608286857605,0.3743067979812622,1.0
15,S1 11q13 Invasive Tumor Cells #16.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00016_S1_11q13_Invasive_Tumor_Cells_16.1.png,46076.180956,3134.731878,591,307,0.6941527913270171,immune infiltrate,0.261474609375,0.2088623046875,0.24658203125,0.2373046875,0.2147216796875,0.261474609375,0.2357177734375,0.2369384765625,0.251220703125,0.2220458984375,0.5415502786636353,0.45526254177093506,0.5904889702796936,0.5291005969047546,1.0
16,S1 11q13 Invasive Tumor Cells #17.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00017_S1_11q13_Invasive_Tumor_Cells_17.1.png,37914.4401545,2535.754838,187,122,0.7892522135530814,lumen or secretion,0.26904296875,0.2469482421875,0.23046875,0.2337646484375,0.1844482421875,0.2490234375,0.242919921875,0.2232666015625,0.227294921875,0.26904296875,0.6218113899230957,0.5216752290725708,0.6796055436134338,0.6076974272727966,1.0
17,S1 11q13 Invasive Tumor Cells #18.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00018_S1_11q13_Invasive_Tumor_Cells_18.1.png,39464.137775,2595.6525414999996,220,281,0.6532837269492073,lumen or secretion,0.25146484375,0.2386474609375,0.241455078125,0.2412109375,0.192626953125,0.24853515625,0.25048828125,0.2452392578125,0.2401123046875,0.25146484375,0.4966293275356293,0.40259796380996704,0.5390174388885498,0.4794149100780487,0.9999838240051763
18,S1 11q13 Invasive Tumor Cells #19.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00019_S1_11q13_Invasive_Tumor_Cells_19.1.png,13687.5006865,2935.0728645,625,683,0.5603631039531479,vascular stroma,0.26123046875,0.2445068359375,0.2406005859375,0.2415771484375,0.226318359375,0.25634765625,0.2318115234375,0.2489013671875,0.26123046875,0.22412109375,0.43996649980545044,0.28059864044189453,0.43842819333076477,0.38633111119270325,1.0
19,S1 11q13 Invasive Tumor Cells #20.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00020_S1_11q13_Invasive_Tumor_Cells_20.1.png,38172.7230915,3713.7430165000005,367,673,0.5100388273256921,vascular stroma,0.259033203125,0.20751953125,0.2474365234375,0.2371826171875,0.2049560546875,0.24072265625,0.21337890625,0.2371826171875,0.259033203125,0.2303466796875,0.39622196555137634,0.31768789887428284,0.4261135160923004,0.3800077736377716,1.0
20,S1 11q13 Invasive Tumor Cells #21.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00021_S1_11q13_Invasive_Tumor_Cells_21.1.png,36416.399120999995,3054.8682725,313,361,0.5773720495959926,immune infiltrate,0.263916015625,0.25634765625,0.2457275390625,0.238525390625,0.2215576171875,0.263916015625,0.258544921875,0.2191162109375,0.2435302734375,0.250244140625,0.40127208828926086,0.27721086144447327,0.4442966878414154,0.37425991892814636,1.0
21,S1 11q13 Invasive Tumor Cells #22.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00022_S1_11q13_Invasive_Tumor_Cells_22.1.png,35564.06543,3234.561384,282,322,0.6910818906656094,vascular stroma,0.259033203125,0.240478515625,0.25048828125,0.238037109375,0.25390625,0.252197265625,0.2509765625,0.234375,0.259033203125,0.2242431640625,0.4419483542442322,0.29214558005332947,0.507888913154602,0.41399428248405457,1.0
22,S1 11q13 Invasive Tumor Cells #23.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00023_S1_11q13_Invasive_Tumor_Cells_23.1.png,29649.386178499997,10601.9789785,721,716,0.2911149164335691,vascular stroma,0.25439453125,0.205322265625,0.2425537109375,0.2529296875,0.2457275390625,0.2421875,0.2333984375,0.252197265625,0.25439453125,0.218994140625,0.21801725029945374,0.17474500834941864,0.2390347272157669,0.21059899032115936,1.0
23,S1 11q13 Invasive Tumor Cells #24.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00024_S1_11q13_Invasive_Tumor_Cells_24.1.png,44991.392622,3833.5384245000005,514,626,0.6446588182643179,invasive carcinoma,0.259521484375,0.223876953125,0.259521484375,0.254638671875,0.2403564453125,0.2489013671875,0.224609375,0.2454833984375,0.2490234375,0.2286376953125,0.4863486886024475,0.3980376422405243,0.5316141843795776,0.4720001518726349,1.0
24,S1 11q13 Invasive Tumor Cells #25.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00025_S1_11q13_Invasive_Tumor_Cells_25.1.png,35176.641025000004,3673.8112140000003,463,606,0.44061544383380025,invasive carcinoma,0.255859375,0.2222900390625,0.255859375,0.2449951171875,0.1982421875,0.2474365234375,0.24658203125,0.2412109375,0.2354736328125,0.2423095703125,0.3380905091762543,0.28773707151412964,0.37044453620910645,0.33209070563316345,1.0
25,S1 11q13 Invasive Tumor Cells #26.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00026_S1_11q13_Invasive_Tumor_Cells_26.1.png,34608.418564,4152.992846,278,604,0.6032088236695412,immune infiltrate,0.2587890625,0.2359619140625,0.2408447265625,0.2435302734375,0.2171630859375,0.2587890625,0.2235107421875,0.253662109375,0.23828125,0.2366943359375,0.45348259806632996,0.34480318427085876,0.4887450337409973,0.4290102422237396,1.0
26,S1 11q13 Invasive Tumor Cells #27.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00027_S1_11q13_Invasive_Tumor_Cells_27.1.png,36493.884002499995,4692.072182,554,767,0.4295864143199394,immune infiltrate,0.26025390625,0.241943359375,0.254150390625,0.248779296875,0.2161865234375,0.26025390625,0.23046875,0.236083984375,0.244873046875,0.234619140625,0.3208240270614624,0.2587641477584839,0.3543725609779358,0.3113202452659607,1.0
27,S1 11q13 Invasive Tumor Cells #28.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00028_S1_11q13_Invasive_Tumor_Cells_28.1.png,22391.635655500002,4412.5495630000005,373,324,0.622091483798365,necrosis,0.276611328125,0.248046875,0.2320556640625,0.22998046875,0.1954345703125,0.2366943359375,0.276611328125,0.2186279296875,0.251220703125,0.2401123046875,0.48060864210128784,0.2995247542858124,0.47758567333221436,0.41923967003822327,1.0
28,S1 11q13 Invasive Tumor Cells #29.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00029_S1_11q13_Invasive_Tumor_Cells_29.1.png,4131.032027,5470.742334500001,985,855,0.32296612936741176,adipose tissue,0.275146484375,0.2342529296875,0.2410888671875,0.25537109375,0.24658203125,0.2392578125,0.253173828125,0.275146484375,0.255615234375,0.2264404296875,0.2681962847709656,0.23797017335891724,0.2835356295108795,0.26323404908180237,1.0
29,S1 11q13 Invasive Tumor Cells #30.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00030_S1_11q13_Invasive_Tumor_Cells_30.1.png,5164.1637735,4232.8564515,32,41,0.4733231707317073,adipose tissue,0.274169921875,0.2427978515625,0.2412109375,0.244384765625,0.2445068359375,0.2349853515625,0.2548828125,0.274169921875,0.2666015625,0.269775390625,0.34934839606285095,0.24019010365009308,0.3762703537940979,0.3219362795352936,1.0
30,S1 11q13 Invasive Tumor Cells #31.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00031_S1_11q13_Invasive_Tumor_Cells_31.1.png,5267.4769485,4392.583662,32,42,0.4642857142857143,adipose tissue,0.280029296875,0.243896484375,0.2386474609375,0.2437744140625,0.24658203125,0.2371826171875,0.2445068359375,0.280029296875,0.2646484375,0.2705078125,0.3921831250190735,0.2867734432220459,0.3971463739871979,0.3587009906768799,1.0
31,S1 11q13 Invasive Tumor Cells #32.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00032_S1_11q13_Invasive_Tumor_Cells_32.1.png,43932.432581,5271.083321,633,844,0.5318089590680054,necrosis,0.26904296875,0.2125244140625,0.24755859375,0.2392578125,0.18505859375,0.2509765625,0.26904296875,0.2213134765625,0.2452392578125,0.2188720703125,0.40611985325813293,0.34329384565353394,0.4425275921821594,0.39731377363204956,0.9999981282241339
32,S1 11q13 Invasive Tumor Cells #33.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00033_S1_11q13_Invasive_Tumor_Cells_33.1.png,34711.731738500006,6648.7305129999995,756,677,0.33213562792587903,invasive carcinoma,0.2578125,0.2021484375,0.2578125,0.2529296875,0.2244873046875,0.255126953125,0.2281494140625,0.23681640625,0.2474365234375,0.2041015625,0.2505382001399994,0.20349034667015076,0.2747105062007904,0.24291302263736725,1.0
33,S1 11q13 Invasive Tumor Cells #34.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00034_S1_11q13_Invasive_Tumor_Cells_34.1.png,40988.007102,5650.4354465,653,645,0.664358892173273,immune infiltrate,0.251708984375,0.19482421875,0.2481689453125,0.23681640625,0.2008056640625,0.251708984375,0.239990234375,0.2335205078125,0.251220703125,0.218505859375,0.5238377451896667,0.4417153298854828,0.5699377655982971,0.5118303298950195,1.0
34,S1 11q13 Invasive Tumor Cells #35.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00035_S1_11q13_Invasive_Tumor_Cells_35.1.png,46024.5243685,5370.9128275,869,688,0.6703625525196029,invasive carcinoma,0.258056640625,0.24169921875,0.258056640625,0.2496337890625,0.2059326171875,0.250732421875,0.22216796875,0.2493896484375,0.2490234375,0.2371826171875,0.5001797080039978,0.386201947927475,0.547603964805603,0.4779951870441437,0.9999983274011829
35,S1 11q13 Invasive Tumor Cells #36.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00036_S1_11q13_Invasive_Tumor_Cells_36.1.png,32619.639950999997,5330.981025,619,486,0.6011321858566518,immune infiltrate,0.251708984375,0.2401123046875,0.2484130859375,0.24072265625,0.2254638671875,0.251708984375,0.220947265625,0.247802734375,0.2449951171875,0.2325439453125,0.452111154794693,0.33592891693115234,0.48905614018440247,0.42569875717163086,0.9999933518152868
36,S1 11q13 Invasive Tumor Cells #37.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00037_S1_11q13_Invasive_Tumor_Cells_37.1.png,35770.691779,5191.219715499999,341,244,0.38083505600692275,lumen or secretion,0.267578125,0.258056640625,0.244384765625,0.24609375,0.2027587890625,0.252197265625,0.2498779296875,0.2413330078125,0.2420654296875,0.267578125,0.2886117100715637,0.2390735000371933,0.3190087676048279,0.2822313606739044,1.0
37,S1 11q13 Invasive Tumor Cells #38.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00038_S1_11q13_Invasive_Tumor_Cells_38.1.png,22753.231766999997,5949.9239665000005,697,439,0.5853625855031162,invasive carcinoma,0.256103515625,0.205810546875,0.256103515625,0.2437744140625,0.2015380859375,0.25390625,0.2220458984375,0.215576171875,0.2393798828125,0.212890625,0.43926703929901123,0.36336690187454224,0.4860605001449585,0.42956480383872986,1.0
38,S1 11q13 Invasive Tumor Cells #39.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00039_S1_11q13_Invasive_Tumor_Cells_39.1.png,34556.761977,5550.60594,95,121,0.8107003044802088,lumen or secretion,0.273193359375,0.2529296875,0.223388671875,0.2333984375,0.19140625,0.2451171875,0.24755859375,0.2548828125,0.24072265625,0.273193359375,0.6216107606887817,0.49229758977890015,0.6750191450119019,0.5963091254234314,1.0
39,S1 11q13 Invasive Tumor Cells #40.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00040_S1_11q13_Invasive_Tumor_Cells_40.1.png,42873.4725405,5570.571841000001,125,201,0.5192835820895523,lumen or secretion,0.27197265625,0.263427734375,0.2291259765625,0.235107421875,0.223388671875,0.231689453125,0.259033203125,0.26416015625,0.255126953125,0.27197265625,0.4289930760860443,0.32974860072135925,0.44253042340278625,0.4004240036010742,1.0
40,S1 11q13 Invasive Tumor Cells #41.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00041_S1_11q13_Invasive_Tumor_Cells_41.1.png,32826.2663,6369.207894499999,527,685,0.5331375780827989,invasive carcinoma,0.266845703125,0.222900390625,0.266845703125,0.252197265625,0.2322998046875,0.247314453125,0.21142578125,0.263671875,0.247802734375,0.21484375,0.40075770020484924,0.31591880321502686,0.4362601637840271,0.3843121826648712,1.0
41,S1 11q13 Invasive Tumor Cells #42.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00042_S1_11q13_Invasive_Tumor_Cells_42.1.png,39877.390474,8166.139015,694,777,0.46724637358643123,invasive carcinoma,0.253662109375,0.208251953125,0.253662109375,0.2469482421875,0.2109375,0.2421875,0.2056884765625,0.241943359375,0.2467041015625,0.22119140625,0.35570505261421204,0.29147717356681824,0.39073416590690613,0.34597212076187134,1.0
42,S1 11q13 Invasive Tumor Cells #43.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00043_S1_11q13_Invasive_Tumor_Cells_43.1.png,42356.9066665,7048.04854,498,583,0.6512912714322125,necrosis,0.265869140625,0.2122802734375,0.262939453125,0.246337890625,0.18115234375,0.256103515625,0.265869140625,0.2154541015625,0.23974609375,0.222412109375,0.5093992352485657,0.44961562752723694,0.5540092587471008,0.5043413639068604,1.0
43,S1 11q13 Invasive Tumor Cells #44.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00044_S1_11q13_Invasive_Tumor_Cells_44.1.png,46360.292186499995,6588.8328089999995,94,82,0.7258692267773742,ductal epithelium,0.27392578125,0.27392578125,0.229736328125,0.2442626953125,0.2252197265625,0.2412109375,0.259033203125,0.26123046875,0.257080078125,0.2724609375,0.5437599420547485,0.364472359418869,0.5656842589378357,0.49130555987358093,1.0
44,S1 11q13 Invasive Tumor Cells #45.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00045_S1_11q13_Invasive_Tumor_Cells_45.1.png,46437.7770675,6728.5941185,125,42,0.8285714285714286,lumen or secretion,0.265380859375,0.26025390625,0.233642578125,0.2432861328125,0.1964111328125,0.258544921875,0.24365234375,0.2646484375,0.2418212890625,0.265380859375,0.5306980609893799,0.4053229093551636,0.6202278733253479,0.5187496542930603,1.0
45,S1 11q13 Invasive Tumor Cells #46.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00046_S1_11q13_Invasive_Tumor_Cells_46.1.png,3252.8700415000003,6808.457724,125,42,0.8287619047619048,ductal epithelium,0.273193359375,0.273193359375,0.224365234375,0.237060546875,0.1929931640625,0.244873046875,0.2216796875,0.262451171875,0.25537109375,0.26611328125,0.6587496399879456,0.6112366318702698,0.7092944383621216,0.6597602367401123,1.0
46,S1 11q13 Invasive Tumor Cells #47.1,1,11q13 Invasive Tumor Cells,/data/taobo.hu/projects/stgpt_l3_20260504/data/xenium_slides/WTA_Preview_FFPE_Breast_Cancer_outs/contour_patches/00047_S1_11q13_Invasive_Tumor_Cells_47.1.png,46153.665837,7267.6734545,714,488,0.6474434035909445,immune infiltrate,0.255859375,0.2288818359375,0.2491455078125,0.2415771484375,0.2054443359375,0.255859375,0.2423095703125,0.2442626953125,0.2493896484375,0.2281494140625,0.4990462064743042,0.4095184803009033,0.5442474484443665,0.48427075147628784,1.0
