assigned_structure,structure_id,n_contours,n_cells
S1,1,100,4854.100885242362
S2,2,555,1207.6405840509174
S3,3,562,1953.1887620490584
S4,4,330,25949.413261596626
S5,5,31,1520.8247074707472
