target_feature,image_feature,contour_id,assigned_structure,target_value,image_value,target_z_within_structure,image_z_within_structure,concordance_score,hidden_program_score,centroid_x,centroid_y,n_tiles,n_cells,recommended_figure_use
program__wta_angiogenesis_endothelial,embedding__173__mean,S4 S4 #214.1,S4,-0.5429046675184287,-1.8291015625,-1.708887005442535,-1.8627218938093144,3.1831812390840466,3.1831812390840466,75883.54310512601,32879.82330314825,2.0,51,Extended Data morphomolecular validation case
program__wta_unfolded_protein_response,embedding__29__mean,S4 S4 #78.1,S4,-0.25321846607693094,-1.4296875,-1.5778776931950862,-2.01393570758717,3.177744228530858,3.177744228530858,82657.8366797133,32663.26495621469,6.0,53,Extended Data morphomolecular validation case
rna__ESR1__mean,embedding__359__mean,S3 S3 #281.1,S3,0.6,-0.410888671875,2.01272205361111,-1.5444021163330688,3.1084521991872385,3.1084521991872385,76921.29953876855,30892.368832290882,2.0,105,Extended Data morphomolecular validation case
rna__KRT19__mean,embedding__379__mean,S4 S4 #205.1,S4,0.16243654822335024,0.0069580078125,2.1204196554639694,-1.4494294603628461,3.0733987169619135,3.0733987169619135,75691.79850404772,6474.077031372716,2.0,197,Extended Data morphomolecular validation case
rna__KRT19__mean,embedding__379__mean,S2 S2 #185.1,S2,1.0625,-0.71337890625,4.032049904730837,-0.7585243613932574,3.058408079091702,3.058408079091702,81881.70932518864,14401.071183578631,3.0,64,Extended Data morphomolecular validation case
rna__KRT19__mean,embedding__379__mean,S3 S3 #220.1,S3,0.2930591259640103,-0.4091796875,3.5212836616749037,-0.8254098805428318,2.9065023265405077,2.9065023265405077,77449.84150913711,7191.56981762441,3.0,389,Extended Data morphomolecular validation case
program__wta_collagen_ecm_organization,embedding__262__mean,S3 S3 #238.1,S3,-0.3082311412402248,-0.347900390625,-1.5135575089721933,-1.915149363268569,2.8986886995784573,2.8986886995784573,77640.67533443321,22619.732360035454,2.0,191,Figure 3 invasive-front or stromal remodeling candidate
rna__SLC2A1__mean,embedding__379__mean,S3 S3 #281.1,S3,0.20952380952380953,-1.060546875,1.6268604325282348,-1.7771971567561715,2.8912517351282943,2.8912517351282943,76921.29953876855,30892.368832290882,2.0,105,Figure 2 hero contour: H&E-predicted metabolic stress
rna__EPCAM__mean,embedding__103__mean,S3 S3 #131.1,S3,0.8717948717948718,-0.9765625,1.17903929622705,-2.442105297915289,2.8793381117663928,2.8793381117663928,83352.62976888256,25212.288551073965,2.0,78,Extended Data morphomolecular validation case
rna__TRAC__mean,embedding__51__mean,S1 S1 #46.1,S1,0.07692307692307693,-0.65869140625,1.9081490717169056,-1.4927432165244963,2.8483765829229255,2.8483765829229255,79192.19164209264,35458.795231723794,2.0,208,Figure 3 boundary/immune-exclusion candidate
program__wta_collagen_ecm_organization,embedding__262__mean,S2 S2 #426.1,S2,-0.7095321609298118,-1.9560546875,-1.228721555395925,-2.314402725804911,2.843756517063579,2.843756517063579,71740.68858240057,30281.973164300325,3.0,145,Figure 3 invasive-front or stromal remodeling candidate
rna__KRT19__mean,embedding__379__mean,S3 S3 #424.1,S3,0.13636363636363635,-1.4443359375,1.2100892515740047,-2.337995356983822,2.829183051716051,2.829183051716051,71141.39466761326,18647.59502887271,2.0,110,Extended Data morphomolecular validation case
program__wta_collagen_ecm_organization,embedding__262__mean,S3 S3 #123.1,S3,0.4145519863473478,1.1279296875,2.349078266242096,1.1782680655507927,2.767843904592484,2.767843904592484,83324.3514070492,36968.55911581929,3.0,224,Figure 3 invasive-front or stromal remodeling candidate
program__wta_p53_apoptosis_stress,embedding__246__mean,S3 S3 #201.1,S3,-0.2838463620635224,1.3232421875,-1.6281087440388626,1.6990575078094527,2.766250385089448,2.766250385089448,79045.4564545326,13324.218882635869,3.0,58,Extended Data morphomolecular validation case
rna__SLC2A1__mean,embedding__379__mean,S3 S3 #173.1,S3,0.2826855123674912,-0.5595703125,2.640644581227275,-1.0451628648559568,2.7599036555818572,2.7599036555818572,80097.20778503094,23453.425509273202,5.0,566,Figure 2 hero contour: H&E-predicted metabolic stress
program__wta_luminal_estrogen_response,embedding__103__mean,S2 S2 #369.1,S2,0.9497599365338564,-1.232421875,1.6897372933762724,-1.6300296769421503,2.7543219344392287,2.7543219344392287,74012.70792654497,15789.97506899414,2.0,168,Extended Data morphomolecular validation case
rna__TRAC__mean,embedding__51__mean,S3 S3 #533.1,S3,0.0,1.169921875,-1.219264489574044,2.230702539134431,2.719816392769266,2.719816392769266,66504.76587553616,29563.317207742402,2.0,69,Figure 3 boundary/immune-exclusion candidate
rna__TRAC__mean,embedding__51__mean,S1 S1 #10.1,S1,0.075,-0.66650390625,1.7910753302049784,-1.5135299138523213,2.710846090228159,2.710846090228159,85379.69018590536,15531.030541652357,3.0,320,Figure 3 boundary/immune-exclusion candidate
program__wta_epithelial_identity,embedding__103__mean,S3 S3 #533.1,S3,-0.4382540843169428,1.5009765625,-1.3122224538590486,2.0528014775634413,2.69373219217378,2.69373219217378,66504.76587553616,29563.317207742402,2.0,69,Extended Data morphomolecular validation case
rna__EPCAM__mean,embedding__103__mean,S2 S2 #369.1,S2,2.2202380952380953,-1.232421875,1.6401687880796565,-1.6300296769421503,2.6735237997640806,2.6735237997640806,74012.70792654497,15789.97506899414,2.0,168,Extended Data morphomolecular validation case
rna__EPCAM__mean,embedding__103__mean,S2 S2 #185.1,S2,2.171875,-1.2548828125,1.5801785526566356,-1.672397943105907,2.6426873612030266,2.6426873612030266,81881.70932518864,14401.071183578631,3.0,64,Extended Data morphomolecular validation case
program__wta_p53_apoptosis_stress,embedding__246__mean,S2 S2 #369.1,S2,0.47093565301170337,-0.9697265625,2.1202507163464777,-1.226056545883119,2.599547269689971,2.599547269689971,74012.70792654497,15789.97506899414,2.0,168,Extended Data morphomolecular validation case
program__wta_oxidative_phosphorylation,embedding__371__mean,S1 S1 #32.1,S1,0.33779068902976495,0.22021484375,-1.3178537928024585,-1.9334241704223387,2.547970376087026,2.547970376087026,82712.97052754511,29186.43691577181,4.0,309,Extended Data morphomolecular validation case
rna__ESR1__mean,embedding__359__mean,S2 S2 #460.1,S2,1.7325800376647835,-1.09375,2.567083758764858,-0.9916148522287832,2.545558382106524,2.545558382106524,69864.66274108893,29576.135705428664,16.0,531,Extended Data morphomolecular validation case
rna__TRAC__mean,embedding__51__mean,S4 S4 #112.1,S4,0.6875,-0.350830078125,3.334522460338106,-0.7536483820147041,2.513057457025504,2.513057457025504,81022.33264835483,27414.01693073148,2.0,112,Figure 3 boundary/immune-exclusion candidate
rna__SLC2A1__mean,embedding__379__mean,S1 S1 #63.1,S1,0.267515923566879,-0.436279296875,-1.275477780549548,1.9115511533629337,2.4381410224982836,2.4381410224982836,75690.65587543994,39688.102328055575,2.0,157,Figure 2 hero contour: H&E-predicted metabolic stress
rna__EPCAM__mean,embedding__103__mean,S3 S3 #486.1,S3,0.8373493975903614,-0.84619140625,1.099218388284603,-2.205577881862309,2.4244117645368557,2.4244117645368557,68835.47217419658,25236.417753861584,2.0,166,Extended Data morphomolecular validation case
rna__ESR1__mean,embedding__359__mean,S2 S2 #426.1,S2,1.4482758620689655,-1.2333984375,2.013420253217503,-1.1888783851398308,2.393711819253054,2.393711819253054,71740.68858240057,30281.973164300325,3.0,145,Extended Data morphomolecular validation case
program__wta_oxidative_phosphorylation,embedding__371__mean,S3 S3 #486.1,S3,0.051493626607145127,0.42431640625,1.3170236423689787,1.766425689046744,2.326424394962476,2.326424394962476,68835.47217419658,25236.417753861584,2.0,166,Extended Data morphomolecular validation case
program__wta_oxidative_phosphorylation,embedding__371__mean,S3 S3 #211.1,S3,-0.23220413966714304,-1.560546875,-1.206299874246413,-1.8462159679564156,2.227090089977544,2.227090089977544,78743.04105510557,15459.965406417386,4.0,38,Extended Data morphomolecular validation case
program__wta_epithelial_identity,embedding__103__mean,S3 S3 #424.1,S3,0.051726104812884185,-0.61962890625,1.2035391986226054,-1.7945339828039464,2.159791991564894,2.159791991564894,71141.39466761326,18647.59502887271,2.0,110,Extended Data morphomolecular validation case
program__wta_epithelial_identity,embedding__103__mean,S1 S1 #42.1,S1,1.331600128049562,-1.388671875,1.7490848162681927,-1.1251634283734875,1.968006268388331,1.968006268388331,79267.07614773327,38892.214120598015,10.0,1069,Extended Data morphomolecular validation case
