assigned_structure,n_tiles,top_image_label_mode,mean_text_sim_ductal_epithelium,frac_top_ductal_epithelium,mean_text_sim_invasive_carcinoma,frac_top_invasive_carcinoma,mean_text_sim_in_situ_carcinoma,frac_top_in_situ_carcinoma,mean_text_sim_fibrotic_stroma,frac_top_fibrotic_stroma,mean_text_sim_immune_infiltrate,frac_top_immune_infiltrate,mean_text_sim_necrosis,frac_top_necrosis,mean_text_sim_adipose_tissue,frac_top_adipose_tissue,mean_text_sim_vascular_stroma,frac_top_vascular_stroma,mean_text_sim_lumen_or_secretion,frac_top_lumen_or_secretion,top_mean_text_label,top_mean_text_score
11q13 Invasive Tumor Cells,136,adipose tissue,0.2344207763671875,0.014705882352941176,0.24049108168658087,0.13970588235294118,0.24035016228170955,0.0,0.21900311638327205,0.0,0.24576164694393382,0.17647058823529413,0.23793388815487132,0.0661764705882353,0.25024593577665444,0.27941176470588236,0.2503787769990809,0.10294117647058823,0.24840590533088236,0.22058823529411764,vascular stroma,0.2503787769990809
Apocrine Cells,18,lumen or secretion,0.24839952256944445,0.05555555555555555,0.2301364474826389,0.0,0.2356499565972222,0.0,0.2171902126736111,0.0,0.2394680447048611,0.05555555555555555,0.23402235243055555,0.0,0.2526991102430556,0.3888888888888889,0.2460394965277778,0.0,0.2634141710069444,0.5,lumen or secretion,0.2634141710069444
Basal-like Structured DCIS Cells,548,lumen or secretion,0.2476695262602646,0.04562043795620438,0.23348375306512317,0.020072992700729927,0.23854900276573904,0.0036496350364963502,0.22613636768647355,0.005474452554744526,0.2426171964102418,0.08029197080291971,0.24193667669365876,0.029197080291970802,0.2566713207829608,0.3448905109489051,0.2511017513971259,0.023722627737226276,0.2634609250256615,0.4470802919708029,lumen or secretion,0.2634609250256615
Endothelial Cells,735,adipose tissue,0.23848536484906463,0.014965986394557823,0.23387044270833332,0.0,0.23856441990858843,0.0,0.23760214046556122,0.04353741496598639,0.24353841145833333,0.08843537414965986,0.23968896152210883,0.0380952380952381,0.25920476589073127,0.3673469387755102,0.2582967952806122,0.2217687074829932,0.25521663743622447,0.22585034013605443,adipose tissue,0.25920476589073127
Luminal-like Amorphous DCIS Cells,121,adipose tissue,0.23865654054752067,0.008264462809917356,0.23596897598140495,0.01652892561983471,0.23929816632231404,0.0,0.22718495770919422,0.0,0.2447015431301653,0.19008264462809918,0.23928908671229338,0.03305785123966942,0.2565282396048554,0.4132231404958678,0.2540989395015496,0.09917355371900827,0.2563970896823347,0.2396694214876033,adipose tissue,0.2565282396048554
Macrophages,695,adipose tissue,0.23914680755395684,0.014388489208633094,0.23254886325314747,0.0,0.2369595534509892,0.0,0.2344224229991007,0.04316546762589928,0.24325047774280575,0.1079136690647482,0.24126925022482015,0.051798561151079135,0.25687229513264387,0.34532374100719426,0.25704055895908273,0.1841726618705036,0.2558714942108813,0.25323741007194245,vascular stroma,0.25704055895908273
Plasma Cells,353,lumen or secretion,0.23457003585339944,0.0,0.22952261862606232,0.0,0.2325650396157932,0.0,0.22479611145538245,0.0113314447592068,0.24488272950601983,0.1501416430594901,0.24196272463703966,0.0764872521246459,0.24676807608888102,0.20113314447592068,0.25257730889252833,0.24929178470254956,0.25215369378541075,0.311614730878187,vascular stroma,0.25257730889252833
