association_kind,left_feature,right_feature,spearman_rho,abs_spearman_rho,p_value,n_structures
program_image_association,embedding__148__std,program__immune_exclusion__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__148__std,program__emt_invasive_front__omics_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__148__std,program__emt_invasive_front__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__149__mean,program__necrotic_hypoxic_rim__omics_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__14__std,program__immune_exclusion__spatial_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__14__std,program__myeloid_vascular_belt__omics_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__14__std,program__tls_adjacent_activation__spatial_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__150__std,program__necrotic_hypoxic_rim__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__154__mean,program__stromal_encapsulation__omics_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__154__mean,program__stromal_encapsulation__spatial_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__154__mean,program__top_program_score__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__156__mean,program__stromal_encapsulation__omics_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__156__mean,program__stromal_encapsulation__spatial_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__156__mean,program__top_program_score__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__156__std,program__immune_exclusion__image_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__156__std,program__emt_invasive_front__image_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__156__std,program__stromal_encapsulation__image_evidence__mean,0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__156__std,program__necrotic_hypoxic_rim__spatial_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__157__mean,program__necrotic_hypoxic_rim__omics_evidence__mean,0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__160__mean,program__necrotic_hypoxic_rim__omics_evidence__mean,0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__160__std,program__myeloid_vascular_belt__spatial_evidence__mean,0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__160__std,program__myeloid_vascular_belt__mean,0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__161__mean,program__necrotic_hypoxic_rim__omics_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__165__mean,program__necrotic_hypoxic_rim__omics_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__166__mean,program__necrotic_hypoxic_rim__omics_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__166__std,program__immune_exclusion__spatial_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__166__std,program__myeloid_vascular_belt__omics_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__166__std,program__tls_adjacent_activation__spatial_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__167__std,program__immune_exclusion__image_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__167__std,program__emt_invasive_front__image_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__167__std,program__stromal_encapsulation__image_evidence__mean,0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__167__std,program__necrotic_hypoxic_rim__spatial_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__168__mean,program__immune_exclusion__spatial_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__168__mean,program__myeloid_vascular_belt__omics_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__168__mean,program__tls_adjacent_activation__spatial_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__168__std,program__immune_exclusion__omics_evidence__mean,0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__169__mean,program__stromal_encapsulation__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__169__std,program__stromal_encapsulation__mean,0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__16__mean,program__immune_exclusion__spatial_evidence__mean,0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__16__mean,program__myeloid_vascular_belt__omics_evidence__mean,0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__16__mean,program__tls_adjacent_activation__spatial_evidence__mean,0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__171__mean,program__necrotic_hypoxic_rim__omics_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__174__mean,program__necrotic_hypoxic_rim__omics_evidence__mean,0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__175__std,program__immune_exclusion__spatial_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__175__std,program__myeloid_vascular_belt__omics_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__175__std,program__tls_adjacent_activation__spatial_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__176__std,program__immune_exclusion__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__176__std,program__emt_invasive_front__omics_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__176__std,program__emt_invasive_front__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__178__std,program__necrotic_hypoxic_rim__omics_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__179__mean,program__necrotic_hypoxic_rim__omics_evidence__mean,0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__180__mean,program__necrotic_hypoxic_rim__omics_evidence__mean,0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__183__std,program__necrotic_hypoxic_rim__omics_evidence__mean,0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__185__mean,program__necrotic_hypoxic_rim__omics_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__186__mean,program__necrotic_hypoxic_rim__omics_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__187__mean,program__myeloid_vascular_belt__spatial_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__187__mean,program__myeloid_vascular_belt__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__187__std,program__immune_exclusion__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__187__std,program__emt_invasive_front__omics_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__187__std,program__emt_invasive_front__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__190__mean,program__necrotic_hypoxic_rim__omics_evidence__mean,0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__190__std,program__necrotic_hypoxic_rim__omics_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__191__mean,program__stromal_encapsulation__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__194__mean,program__necrotic_hypoxic_rim__omics_evidence__mean,0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__195__mean,program__necrotic_hypoxic_rim__omics_evidence__mean,0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__196__mean,program__immune_exclusion__omics_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__197__mean,program__necrotic_hypoxic_rim__omics_evidence__mean,0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__198__std,program__tls_adjacent_activation__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__1__mean,program__stromal_encapsulation__mean,0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__203__mean,program__immune_exclusion__omics_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__204__mean,program__immune_exclusion__omics_evidence__mean,0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__205__std,program__myeloid_vascular_belt__spatial_evidence__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__205__std,program__myeloid_vascular_belt__mean,-0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
program_image_association,embedding__206__mean,program__tls_adjacent_activation__mean,0.9999999999999999,0.9999999999999999,1.4042654220543602e-24,5
