sample_name,xenium_root,output_dir,n_cells,aggregation,analysis_observations,n_passing_pathways,n_pathways,n_associations,n_spatial_nulls,n_negative_controls,he_features_available,he_cells_inside_fraction,he_embedding_backend_status,top_pathway,top_family,top_image_feature,top_abs_partial_rho,validation_recovered,validation_total
breast_discovery,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Breast_Cancer_outs,benchmarking\morphopathway_atera\results\plip_smoke_512_20260512_1828_retry\breast_discovery,512,spatial-block,71,10,10,160,8,8,True,1.0,transformers_clip:vinid/plip,immune_activation,immune_ecology,embedding__plip_002,0.48151591550038897,9,10
cervical_validation,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Cervical_Cancer_outs,benchmarking\morphopathway_atera\results\plip_smoke_512_20260512_1828_retry\cervical_validation,512,spatial-block,74,10,10,160,8,8,True,1.0,transformers_clip:vinid/plip,epithelial_identity,endocrine_epithelial_identity,embedding__plip_007,0.44434627689967093,9,10
