cell_id,x,y,celltype,role,feature,score,sender_celltype,receiver_celltype,ligand,receptor
admjmobn-1,1097.6048583984375,1679.3157958984375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
adnloljg-1,589.3582763671875,1860.5859375,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aemofhha-1,3553.918212890625,4270.8701171875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aencajjh-1,3868.6767578125,4722.55810546875,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aeodocic-1,3896.900390625,4714.14404296875,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
afbindfj-1,3840.267578125,3673.388671875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
agckmngp-1,3564.097412109375,5684.3701171875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
agdfiajp-1,3555.946044921875,5451.65771484375,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ageplhan-1,3567.4287109375,5559.09130859375,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ahiidoeo-1,2957.614990234375,5832.55322265625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ahjebmjb-1,2075.11328125,4730.21728515625,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ahlakdal-1,2118.68896484375,5207.923828125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ahmhognk-1,2056.55078125,4914.931640625,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ahmnmllc-1,2027.0771484375,4817.939453125,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aiblhgem-1,2143.900634765625,4696.35400390625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aijodcep-1,1991.2197265625,4408.6552734375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aikhfcmi-1,2024.64306640625,4491.50537109375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aimfbnbd-1,1987.501953125,4256.197265625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ajaakiak-1,2820.38232421875,2685.155029296875,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ajffphja-1,2098.6904296875,4612.380859375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
akacccmg-1,7541.31103515625,4724.900390625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
akamndkk-1,7586.0068359375,5072.63330078125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
akbbcnha-1,8648.4794921875,4524.51025390625,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
akblpepo-1,8691.443359375,4689.71826171875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
akbmhdih-1,8689.259765625,4695.5458984375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
akeeoaom-1,8425.421875,4572.55126953125,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
akfceeac-1,6824.017578125,5388.4208984375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
akgdpjmm-1,8915.2607421875,5620.96728515625,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
akgocapn-1,9002.5322265625,5596.443359375,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
akgoebde-1,8991.591796875,5591.24169921875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
akhdhbik-1,9059.169921875,5447.73095703125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
akhdjbgp-1,9124.4619140625,5470.53564453125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
akijfame-1,7007.11767578125,5392.43115234375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
akikadlp-1,6424.74169921875,5375.0283203125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
akikemep-1,7904.07275390625,5674.6201171875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
amceinjc-1,4882.70361328125,4886.38525390625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
amojfbod-1,4677.623046875,3109.318115234375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
anbepbeg-1,5635.4853515625,3778.216064453125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aoaphjkh-1,4251.8984375,5458.046875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aogcnfdk-1,1993.0947265625,2788.216064453125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aohjdekd-1,3142.942138671875,2721.32080078125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
apdjhoda-1,3295.820556640625,2360.8876953125,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
apdpbjdk-1,3474.2822265625,2878.4111328125,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aphglffd-1,2135.427734375,1905.3326416015625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bagkkakl-1,3738.36474609375,3591.97509765625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bbefdfmh-1,7731.93896484375,3484.360595703125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bbfhldcd-1,8353.591796875,4099.40673828125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bbhhcilo-1,8129.521484375,3890.5830078125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bbhpbmhe-1,8304.2890625,4140.5107421875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bbimgahb-1,8209.55078125,3943.499267578125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bbldakmb-1,7459.57958984375,3455.455810546875,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bcbokoap-1,7334.611328125,2925.676513671875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bcfmcipn-1,7256.884765625,3669.09814453125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bdcnfbge-1,2426.038818359375,1815.9989013671875,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bdglmlpi-1,2994.0224609375,1693.5439453125,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bebihkam-1,6024.90673828125,2493.903076171875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
beihejgl-1,4056.269287109375,2160.48486328125,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bejplpcj-1,5931.76025390625,1951.5067138671875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bfagnmgd-1,2080.59228515625,560.9752197265625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bfdojajg-1,3536.593505859375,251.69497680664062,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bfiaddbh-1,3847.898193359375,746.5028076171875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bfnmeejb-1,5995.42919921875,224.4925537109375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bfolbapa-1,5735.84912109375,461.5477600097656,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bgambdnd-1,3681.563232421875,829.934326171875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bgedejgm-1,3549.123046875,912.59716796875,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bgencmnj-1,3290.884033203125,1128.5516357421875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bgjolmfi-1,5013.6396484375,1508.4737548828125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bhdpmhdm-1,6078.365234375,1803.3935546875,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bhejjeod-1,5832.841796875,1726.6160888671875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bhfghlmp-1,6198.5478515625,1517.7158203125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
biijekdl-1,7089.986328125,3114.17919921875,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bjdabdfk-1,6960.09716796875,3190.48876953125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bjeemlpm-1,6791.54638671875,3052.175048828125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bkbfgmfd-1,6818.15185546875,4008.83447265625,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bkojhfhh-1,5953.0009765625,4561.96826171875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
blbbjndc-1,8651.51953125,2727.122314453125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bligipnc-1,8980.322265625,1931.09619140625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
blijlgcn-1,9014.9169921875,2008.1153564453125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
blpncfle-1,8976.4716796875,4747.6728515625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
blpphifl-1,9006.8681640625,4711.1767578125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bmbnhepl-1,8766.7451171875,4761.15673828125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bmcdkgdc-1,8890.3212890625,4830.73095703125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bmoacnil-1,8764.515625,1521.08837890625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bmocpegc-1,8642.7734375,2219.922607421875,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bmogihdg-1,8755.3544921875,2175.62353515625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bnbapabn-1,9821.287109375,1309.4775390625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bnhebjdf-1,9698.40234375,782.4884033203125,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bnhjchbc-1,9690.0810546875,3332.5302734375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bnjccmlp-1,9669.8984375,5438.00634765625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bnjndmnb-1,9634.9814453125,5254.29931640625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bnkfdbha-1,9692.46484375,4748.37890625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bnlimdcn-1,9623.41015625,4350.83251953125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bnnlhmkl-1,9603.71875,4083.3466796875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
boajjohd-1,9799.6455078125,4088.252685546875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
