cell_id,x,y,celltype,pathway,score
abcplnon-1,1098.702880859375,3464.496826171875,Dendritic Cells,MacrophageProgram,0.5833333333333334
abdngpnb-1,979.6014404296875,3382.185791015625,Luminal-like Amorphous DCIS Cells,MacrophageProgram,0.16666666666666669
abdnhepd-1,998.388671875,3053.83740234375,Plasma Cells,MacrophageProgram,0.16666666666666669
abdoppcd-1,1032.350830078125,2990.091552734375,T Lymphocytes,MacrophageProgram,0.16666666666666669
abeahfbe-1,1052.7445068359375,2973.832763671875,Endothelial Cells,MacrophageProgram,1.0
abeiaggm-1,1219.22216796875,3031.481689453125,Luminal-like Amorphous DCIS Cells,MacrophageProgram,0.25
abelfahe-1,1239.6966552734375,2960.1162109375,Dendritic Cells,MacrophageProgram,0.25
abeloddn-1,1238.162109375,2944.020263671875,Dendritic Cells,MacrophageProgram,1.0
abfecmpl-1,1171.54345703125,3105.056640625,T Lymphocytes,MacrophageProgram,0.16666666666666669
abfelghj-1,1178.8692626953125,3097.9228515625,Dendritic Cells,MacrophageProgram,1.0
abjkaphl-1,1776.7198486328125,2523.579833984375,Myoepithelial Cells,MacrophageProgram,0.16666666666666669
abkcbmdc-1,1928.0634765625,2512.91162109375,Macrophages,MacrophageProgram,0.6666666666666667
abkcehko-1,1913.651123046875,2520.80712890625,Myoepithelial Cells,MacrophageProgram,0.16666666666666669
abklehma-1,1771.3255615234375,2622.811279296875,Dendritic Cells,MacrophageProgram,0.25
abkmdglp-1,1878.489501953125,5397.34814453125,Macrophages,MacrophageProgram,1.0
abkmdleh-1,1796.977294921875,5712.40966796875,Macrophages,MacrophageProgram,0.6666666666666667
abknmgbp-1,1884.640380859375,4711.173828125,11q13 Invasive Tumor Cells,MacrophageProgram,0.16666666666666669
ablcdppg-1,2171.651611328125,5353.06298828125,Dendritic Cells,MacrophageProgram,0.4166666666666667
ablengll-1,2264.022216796875,5369.31982421875,"CAFs, DCIS Associated",MacrophageProgram,0.16666666666666669
ablfofha-1,2120.955078125,5367.56591796875,T Lymphocytes,MacrophageProgram,0.33333333333333337
ablkgeak-1,1922.611328125,4958.24755859375,"CAFs, DCIS Associated",MacrophageProgram,0.25
ablnhoah-1,1909.9019775390625,4792.16357421875,Basal-like Structured DCIS Cells,MacrophageProgram,0.16666666666666669
ablnlkag-1,1898.6300048828125,4773.43212890625,Basal-like Structured DCIS Cells,MacrophageProgram,0.4166666666666667
abloglgo-1,1913.28076171875,4764.955078125,Myoepithelial Cells,MacrophageProgram,0.16666666666666669
ablphleo-1,1903.513916015625,4766.49072265625,Dendritic Cells,MacrophageProgram,0.25
abmcojam-1,1833.061767578125,4634.50146484375,"CAFs, DCIS Associated",MacrophageProgram,0.4166666666666667
abmgdgci-1,1899.0718994140625,4653.39892578125,Apocrine Cells,MacrophageProgram,0.16666666666666669
abmmnffc-1,1947.4801025390625,4418.90771484375,Basal-like Structured DCIS Cells,MacrophageProgram,0.25
abngcblc-1,1886.9923095703125,4597.8955078125,Macrophages,MacrophageProgram,1.0
abnommha-1,1893.0196533203125,2709.822265625,Myoepithelial Cells,MacrophageProgram,0.16666666666666669
abnpemfo-1,1899.879638671875,2707.272705078125,Dendritic Cells,MacrophageProgram,0.16666666666666669
abocfbeo-1,1845.1873779296875,2741.60205078125,Dendritic Cells,MacrophageProgram,0.5
abojkieg-1,1786.2562255859375,2748.4013671875,Luminal-like Amorphous DCIS Cells,MacrophageProgram,0.16666666666666669
aboloigc-1,463.7659606933594,2596.066650390625,Luminal-like Amorphous DCIS Cells,MacrophageProgram,0.16666666666666669
abpjhhfm-1,401.6401062011719,2696.698974609375,Dendritic Cells,MacrophageProgram,0.9166666666666667
abpkgpme-1,536.404052734375,2675.71337890625,Macrophages,MacrophageProgram,0.5833333333333334
abpkijnk-1,549.0958862304688,2686.2138671875,Macrophages,MacrophageProgram,0.25
abpnccfe-1,927.6731567382812,3343.869873046875,Luminal-like Amorphous DCIS Cells,MacrophageProgram,0.25
acbnjmem-1,875.567626953125,2960.996826171875,Macrophages,MacrophageProgram,0.9166666666666667
acbpcfmb-1,878.635498046875,2988.01611328125,T Lymphocytes,MacrophageProgram,0.25
acbphbml-1,874.111328125,2974.181396484375,Macrophages,MacrophageProgram,1.0
acdbefpi-1,640.0509643554688,2685.37744140625,Luminal-like Amorphous DCIS Cells,MacrophageProgram,0.16666666666666669
acdjnpnd-1,623.1446533203125,3706.8515625,"CAFs, DCIS Associated",MacrophageProgram,0.16666666666666669
