spatial_block_id,luminal_estrogen_response,epithelial_identity,basal_squamous_state,unfolded_protein_response,oxidative_phosphorylation,collagen_ecm_organization,myofibroblast_caf_activation,immune_activation,immune_exclusion,emt_invasive_front
block_x0_y10,0.12702751393410955,0.2281311317043601,0.0,0.19998937984901746,0.4057732250973014,0.19795922636503954,0.24894232397435992,0.27021860941966547,0.44854544036395083,0.49910199595691784
block_x0_y11,0.26689286449109895,0.42776131520415195,1.0,0.529084230303996,0.37582859805196656,0.25430737623471616,0.5932301610321528,0.24006221559129684,0.35769331379935154,0.19160863376356088
block_x0_y2,0.5942029774131855,0.5935661476219041,0.228752657366515,0.4716782129210794,0.49343074536524584,0.300111928642365,0.2875473006718419,0.20502723738508188,0.38717942119078697,0.30206393041939245
block_x0_y3,0.40952611311972703,0.3819214258430216,0.14179659310209913,0.44776867748438437,0.3341265730159271,0.2356272880252844,0.2785073294487685,0.28339783403248303,0.2372221320709064,0.29528661579947346
block_x0_y4,0.5267996559103107,0.5491375032965748,0.24715794965337154,0.48462306711861725,0.46754741468355365,0.2709814188621614,0.34657498511877655,0.10293912400881051,0.29026102882937904,0.2382144134608972
block_x0_y5,0.5781661622163592,0.5319106201024422,0.152398442970464,0.6353396422447458,0.530801687137579,0.2790090565390681,0.28066351286817975,0.055986822106324774,0.2826731788780975,0.2865842646413491
block_x0_y6,0.45332207644783945,0.44396807360872464,0.14909370389137183,0.41240031584620523,0.34458855125006316,0.32732464791263205,0.24153046488868657,0.09339791292641872,0.42568045227406587,0.2354657716467957
block_x0_y7,0.6784438690843503,0.5706625643603549,0.16733374000365028,0.6515484353555172,0.3806935993167591,0.13244092307509142,0.17951852614734884,0.0,0.15327257118300472,0.12396267526387986
block_x0_y8,0.10927518432205593,0.21290498893506576,0.2781665737691833,0.17900852350950994,0.37180676600987955,0.5094498621825806,0.5342812562908659,0.014529694043886097,0.697124980199264,0.4220625984650894
block_x0_y9,0.06789211174873337,0.20521982984047546,0.3140315454056058,0.13419778560537057,0.0,0.7036902877865564,0.6215259070740409,0.16874648527883604,0.7727810896468932,0.5823586791643725
