sample_role,pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
breast_discovery,basal_squamous_state,endocrine_epithelial_identity,embedding__plip_017,0.2950240606303437,0.2950240606303437,0.0002861520832598,147,"structure,x,y,boundary_distance,log_total_counts",0.1831373332863188,1,0.1111111111111111,0.0863372770760206,0.0878319755030975,True,True,0.1111111111111111,0.1397833125543706,0.1512427846757661,True,True
breast_discovery,luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_063,0.2698960938849337,0.2698960938849337,0.0009465418592435,147,"structure,x,y,boundary_distance,log_total_counts",0.2517254997606508,2,0.1111111111111111,0.1322423780773697,0.1361399631726939,True,True,0.1111111111111111,0.253024569207145,0.2635477815321069,True,True
breast_discovery,luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_050,0.2649969103769352,0.2649969103769352,0.001179963280128,147,"structure,x,y,boundary_distance,log_total_counts",0.2517254997606508,3,0.1111111111111111,0.1222437772313929,0.1438547365337887,True,True,0.1111111111111111,0.1859498509940831,0.1964974189171689,True,True
breast_discovery,immune_activation,immune_ecology,embedding__plip_054,-0.2480876920182867,0.2480876920182867,0.0024476730530689,147,"structure,x,y,boundary_distance,log_total_counts",0.3892142301962529,4,0.1111111111111111,0.1757374536040611,0.2022899847697724,True,True,0.1111111111111111,0.1416897253228031,0.1488981257599117,True,True
breast_discovery,immune_activation,immune_ecology,embedding__plip_013,-0.240841542786364,0.240841542786364,0.003298034006385,147,"structure,x,y,boundary_distance,log_total_counts",0.3892142301962529,5,0.1111111111111111,0.1477599819831572,0.1607554863224306,True,True,0.1111111111111111,0.1036926423126948,0.1060272582342987,True,True
breast_discovery,immune_activation,immune_ecology,embedding__plip_004,0.2383365909771528,0.2383365909771528,0.0036488834080898,147,"structure,x,y,boundary_distance,log_total_counts",0.3892142301962529,6,0.1111111111111111,0.1640068558318766,0.1648393544652751,True,True,0.1111111111111111,0.1344285068772837,0.1653299115198453,True,True
breast_discovery,luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_011,-0.227408766436992,0.227408766436992,0.0056050012323335,147,"structure,x,y,boundary_distance,log_total_counts",0.489148227775187,7,0.1111111111111111,0.1098670456844632,0.1235940207921898,True,True,0.1111111111111111,0.1491308951436082,0.1528938062149455,True,True
breast_discovery,immune_exclusion,immune_ecology,embedding__plip_037,-0.2242293985794428,0.2242293985794428,0.0063279697249556,147,"structure,x,y,boundary_distance,log_total_counts",0.489148227775187,8,0.2222222222222222,0.2101389752886788,0.2385340437063312,True,False,0.1111111111111111,0.1498396320648685,0.1759787271981261,True,True
breast_discovery,luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_039,0.2193291093187439,0.2193291093187439,0.0076054083166566,147,"structure,x,y,boundary_distance,log_total_counts",0.489148227775187,9,0.1111111111111111,0.1659914816298614,0.1751581026364909,True,True,0.1111111111111111,0.1018415352872845,0.1024272729609625,True,True
breast_discovery,collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_050,-0.2180805849517763,0.2180805849517763,0.0079654272729317,147,"structure,x,y,boundary_distance,log_total_counts",0.489148227775187,10,0.1111111111111111,0.1055585916034195,0.1092821204034568,True,True,0.1111111111111111,0.1509933349743251,0.1566870826417598,True,True
breast_discovery,luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_045,0.2166150233576206,0.2166150233576206,0.008407235164886,147,"structure,x,y,boundary_distance,log_total_counts",0.489148227775187,11,,,,,,,,,,
breast_discovery,emt_invasive_front,invasion_boundary_emt,embedding__plip_050,-0.2088337230293475,0.2088337230293475,0.0111356877625241,147,"structure,x,y,boundary_distance,log_total_counts",0.496522813023972,12,,,,,,,,,,
