sample_name,xenium_root,output_dir,n_cells,aggregation,analysis_observations,n_passing_pathways,n_pathways,n_associations,n_spatial_nulls,n_negative_controls,he_features_available,he_cells_inside_fraction,he_embedding_backend_status,top_pathway,top_family,top_image_feature,top_abs_partial_rho,validation_recovered,validation_total
breast_discovery,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Breast_Cancer_outs,benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_seed43_20260512_1858\breast_discovery,1500,spatial-block,149,10,10,640,10,10,True,1.0,transformers_clip:vinid/plip,immune_activation,immune_ecology,embedding__plip_006,0.267215100651762,8,10
cervical_validation,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Cervical_Cancer_outs,benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_seed43_20260512_1858\cervical_validation,1500,spatial-block,159,10,10,640,10,10,True,1.0,transformers_clip:vinid/plip,basal_squamous_state,endocrine_epithelial_identity,embedding__plip_033,0.24249986666114048,8,10
