sample_name,xenium_root,output_dir,n_cells,n_passing_pathways,n_pathways,n_associations,n_spatial_nulls,n_negative_controls,he_features_available,he_cells_inside_fraction,top_pathway,top_family,top_image_feature,top_abs_partial_rho,validation_recovered,validation_total
breast_discovery,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Breast_Cancer_outs,benchmarking\morphopathway_atera\results\he_only_smoke_20260512_1742_qcfix\breast_discovery,2500,10,10,80,10,10,True,1.0,emt_invasive_front,invasion_boundary_emt,image__he_eosin_proxy,0.04123366722217149,0,10
cervical_validation,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Cervical_Cancer_outs,benchmarking\morphopathway_atera\results\he_only_smoke_20260512_1742_qcfix\cervical_validation,2500,10,10,80,10,10,True,1.0,immune_activation,immune_ecology,image__he_local_contrast,0.04154089020558524,0,10
