sample_name,xenium_root,output_dir,n_cells,aggregation,analysis_observations,n_passing_pathways,n_pathways,n_associations,n_spatial_nulls,n_negative_controls,he_features_available,he_cells_inside_fraction,he_embedding_backend_status,top_pathway,top_family,top_image_feature,top_abs_partial_rho,validation_recovered,validation_total
breast_discovery,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Breast_Cancer_outs,benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_20260512_1828\breast_discovery,1500,spatial-block,147,10,10,640,10,10,True,1.0,transformers_clip:vinid/plip,basal_squamous_state,endocrine_epithelial_identity,embedding__plip_017,0.2950240606303437,7,10
cervical_validation,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Cervical_Cancer_outs,benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_20260512_1828\cervical_validation,1500,spatial-block,158,10,10,640,10,10,True,1.0,transformers_clip:vinid/plip,luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_032,0.23983932909976308,7,10
