ligand,Hypoxic Tumor Cells,Macrophages,Cytotoxic T Cells,Migratory Invasive Basal Cells,Metabolic Invasive Basal Cells,Naive & Memory T Cells,B Cells,Endothelial Cells,Neutrophils,Dyskeratotic Tumor Cells,Parabasal Tumor Cells,Exhausted T Cells,Differentiating Tumor Cells,Dendritic Cells,Regulatory T Cells,Mast Cells,Interstitial Fibroblasts,Endocervical Ciliated Cells,Plasma Cells,Endocervical Columnar Cells,Stroma & Smooth Muscle,Proliferative Parabasal Cells,Detachment,OR4F17+ Cells,Cancer Associated Fibroblasts,Smooth Muscle,nan
A2M,0.4591106231765718,0.2970838078269149,0.2970838078269149,0.1635014553912796,0.1635014553912796,0.2970838078269149,0.2970838078269149,0.0711087576556435,0.2970838078269149,0.2970838078269149,0.1635014553912796,0.2970838078269149,0.1635014553912796,0.1635014553912796,0.1084595580176469,0.2970838078269149,0.2333938219086386,1.0,0.2970838078269149,1.0,0.0711087576556435,0.1635014553912796,0.2333938219086386,0.2970838078269149,0.1084595580176469,0.224056603288777,
AANAT,0.4532942243132915,0.1572830332836084,0.1572830332836084,0.2894291785403607,0.2894291785403607,0.1572830332836084,0.1572830332836084,0.2894291785403607,0.2652337003382056,0.2652337003382056,0.2894291785403607,0.058244902229881,0.2894291785403607,0.2894291785403607,0.111268898104522,0.1572830332836084,0.2894291785403607,1.0,0.1572830332836084,1.0,0.2894291785403607,0.2894291785403607,0.2894291785403607,0.2652337003382056,0.111268898104522,0.2894291785403607,
ACE,0.4526824158329131,0.1538478944731884,0.1538478944731884,0.2901333546489911,0.2901333546489911,0.1538478944731884,0.1538478944731884,0.2901333546489911,0.2652086664706679,0.2652086664706679,0.2901333546489911,0.0744237185108177,0.2901333546489911,0.2901333546489911,0.1109721186751564,0.1538478944731884,0.2901333546489911,1.0,0.1538478944731884,1.0,0.2901333546489911,0.2901333546489911,0.2901333546489911,0.2652086664706679,0.1109721186751564,0.2901333546489911,
ACTR2,0.4536484533637109,0.2933112399415226,0.2933112399415226,0.1692918580646814,0.1692918580646814,0.2933112399415226,0.2933112399415226,0.2218718870391469,0.2933112399415226,0.2933112399415226,0.1692918580646814,0.050737582214071,0.1692918580646814,0.0883577522532398,0.1116689858947121,0.2933112399415226,0.2218718870391469,1.0,0.2933112399415226,1.0,0.2218718870391469,0.1692918580646814,0.2218718870391469,0.2933112399415226,0.1116689858947121,0.2218718870391469,
ADA,0.4460839306932096,0.0941769553965213,0.0941769553965213,0.2969192054783898,0.2969192054783898,0.0941769553965213,0.0941769553965213,0.2969192054783898,0.2651319456197755,0.2651319456197755,0.2969192054783898,0.1663933995750023,0.2969192054783898,0.2969192054783898,0.1663933995750023,0.0941769553965213,0.2969192054783898,1.0,0.0941769553965213,1.0,0.2969192054783898,0.2969192054783898,0.2969192054783898,0.2651319456197755,0.1663933995750023,0.2969192054783898,
ADAM10,0.4461643068095188,0.0926545415203191,0.0926545415203191,0.2968586131066503,0.2968586131066503,0.0926545415203191,0.0926545415203191,0.2968586131066503,0.2643935680628184,0.2643935680628184,0.2968586131066503,0.166610921538129,0.2968586131066503,0.2968586131066503,0.166610921538129,0.0926545415203191,0.2968586131066503,1.0,0.0926545415203191,1.0,0.2968586131066503,0.2968586131066503,0.2968586131066503,0.2643935680628184,0.166610921538129,0.2968586131066503,
