receptor,Hypoxic Tumor Cells,Macrophages,Cytotoxic T Cells,Migratory Invasive Basal Cells,Metabolic Invasive Basal Cells,Naive & Memory T Cells,B Cells,Endothelial Cells,Neutrophils,Dyskeratotic Tumor Cells,Parabasal Tumor Cells,Exhausted T Cells,Differentiating Tumor Cells,Dendritic Cells,Regulatory T Cells,Mast Cells,Interstitial Fibroblasts,Endocervical Ciliated Cells,Plasma Cells,Endocervical Columnar Cells,Stroma & Smooth Muscle,Proliferative Parabasal Cells,Detachment,OR4F17+ Cells,Cancer Associated Fibroblasts,Smooth Muscle,nan
LRP1,0.4544852343295061,0.294194368090945,0.294194368090945,0.1676866093816554,0.1676866093816554,0.294194368090945,0.294194368090945,0.2201304113903356,0.294194368090945,0.294194368090945,0.1676866093816554,0.0693205197550729,0.1676866093816554,0.0870456247606027,0.107146007962404,0.294194368090945,0.2201304113903356,1.0,0.294194368090945,1.0,0.2201304113903356,0.1676866093816554,0.2201304113903356,0.294194368090945,0.107146007962404,0.2201304113903356,
MTNR1A,0.45154251273992,0.139167164988888,0.139167164988888,0.2945215962927837,0.2945215962927837,0.139167164988888,0.139167164988888,0.2945215962927837,0.2520776994897079,0.2520776994897079,0.2945215962927837,0.1008799920229421,0.2945215962927837,0.2945215962927837,0.2945215962927837,0.139167164988888,0.2945215962927837,1.0,0.139167164988888,1.0,0.2945215962927837,0.2945215962927837,0.2945215962927837,0.2520776994897079,0.2945215962927837,0.2945215962927837,
MTNR1B,0.4523325447146729,0.1569925023059077,0.1569925023059077,0.2905858112608646,0.2905858112608646,0.1569925023059077,0.1569925023059077,0.2905858112608646,0.263207423631246,0.263207423631246,0.2905858112608646,0.0766335746119413,0.2905858112608646,0.2905858112608646,0.123085674910421,0.1569925023059077,0.2905858112608646,1.0,0.1569925023059077,1.0,0.2905858112608646,0.2905858112608646,0.2905858112608646,0.263207423631246,0.123085674910421,0.2905858112608646,
AGTR2,0.4624436444722272,0.2946077361314981,0.2946077361314981,0.193807379657516,0.193807379657516,0.2946077361314981,0.2946077361314981,0.096660855953106,0.2946077361314981,0.2946077361314981,0.193807379657516,0.2946077361314981,0.193807379657516,0.193807379657516,0.2946077361314981,0.2946077361314981,0.1496528026039138,1.0,0.2946077361314981,1.0,0.096660855953106,0.193807379657516,0.2289413663669008,0.2946077361314981,0.2946077361314981,0.1761233325991735,
BDKRB2,0.4572187720166805,0.2974214807303614,0.2974214807303614,0.159375496884204,0.159375496884204,0.2974214807303614,0.2974214807303614,0.211524944496426,0.2974214807303614,0.2974214807303614,0.159375496884204,0.1031350054928987,0.159375496884204,0.042578004986796,0.1209229215708077,0.2974214807303614,0.211524944496426,1.0,0.2974214807303614,1.0,0.211524944496426,0.159375496884204,0.211524944496426,0.2974214807303614,0.1209229215708077,0.2380301146237085,
ADRB2,0.45521987009871,0.2949855379011363,0.2949855379011363,0.1647372541555925,0.1647372541555925,0.2949855379011363,0.2949855379011363,0.2204202088931312,0.2949855379011363,0.2949855379011363,0.1647372541555925,0.0828911501582537,0.1647372541555925,0.0563234036431053,0.1156933236607972,0.2949855379011363,0.2204202088931312,1.0,0.2949855379011363,1.0,0.2204202088931312,0.1647372541555925,0.2204202088931312,0.2949855379011363,0.1156933236607972,0.2204202088931312,
LDLR,0.4589848154943091,0.2996039581135358,0.2996039581135358,0.08599922153707,0.08599922153707,0.2996039581135358,0.2996039581135358,0.2112272102761043,0.2996039581135358,0.2996039581135358,0.1078462658059025,0.1655683524908814,0.1078462658059025,0.0390386297433978,0.1655683524908814,0.2996039581135358,0.2112272102761043,1.0,0.2996039581135358,1.0,0.2112272102761043,0.1078462658059025,0.2112272102761043,0.2996039581135358,0.1655683524908814,0.2363325717504709,
LRP2,0.4535432722878689,0.1595990918176363,0.1595990918176363,0.289400010786319,0.289400010786319,0.1595990918176363,0.1595990918176363,0.289400010786319,0.263784100115125,0.263784100115125,0.289400010786319,0.0817401710087602,0.289400010786319,0.289400010786319,0.1134459993017976,0.1595990918176363,0.289400010786319,1.0,0.1595990918176363,1.0,0.289400010786319,0.289400010786319,0.289400010786319,0.263784100115125,0.1134459993017976,0.289400010786319,
DPP4,0.451043985553615,0.0635958899536587,0.0635958899536587,0.2923824569533931,0.2923824569533931,0.0849720467455805,0.0635958899536587,0.2923824569533931,0.2663746946147526,0.2663746946147526,0.2923824569533931,0.1575200885987206,0.2923824569533931,0.2923824569533931,0.1575200885987206,0.0849720467455805,0.2923824569533931,1.0,0.0586614190106143,1.0,0.2923824569533931,0.2923824569533931,0.2923824569533931,0.2663746946147526,0.1575200885987206,0.2923824569533931,
AXL,0.4585184700502991,0.2964556649827119,0.2964556649827119,0.1633476204868125,0.1633476204868125,0.2964556649827119,0.2964556649827119,0.0830564209014514,0.2964556649827119,0.2964556649827119,0.1633476204868125,0.2964556649827119,0.1633476204868125,0.1633476204868125,0.1120493956912279,0.2964556649827119,0.2336526112929136,1.0,0.2964556649827119,1.0,0.0830564209014514,0.1633476204868125,0.2336526112929136,0.2964556649827119,0.1120493956912279,0.2261477628706606,
