sample_role,pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
breast_discovery,basal_squamous_state,endocrine_epithelial_identity,embedding__he_patch_projection_012,-0.1519059200371891,0.1519059200371891,0.0048106489121371,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,1,0.1111111111111111,0.0831940238048393,0.0889444077782403,True,True,0.1111111111111111,0.0940567938507348,0.1099058349849957,True,True
breast_discovery,unfolded_protein_response,metabolic_stress,image__he_hematoxylin_proxy,0.1345158204482159,0.1345158204482159,0.0126484794263684,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,2,0.1111111111111111,0.0798289064234288,0.0899505218831552,True,True,0.1111111111111111,0.1010633745173498,0.1258497102880255,True,True
breast_discovery,basal_squamous_state,endocrine_epithelial_identity,embedding__he_patch_projection_020,0.1339004500856416,0.1339004500856416,0.0130645418931188,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,3,0.1111111111111111,0.0652348390034725,0.0743473404058808,True,True,0.1111111111111111,0.0896747899462864,0.1001774404224355,True,True
breast_discovery,basal_squamous_state,endocrine_epithelial_identity,image__he_texture_energy,-0.1320706696546924,0.1320706696546924,0.014373718810134,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,4,0.1111111111111111,0.0493717868946041,0.0494785582502773,True,True,0.1111111111111111,0.0617324167781892,0.0731517039631404,True,True
breast_discovery,immune_exclusion,immune_ecology,image__he_saturation_mean,-0.1298334867866916,0.1298334867866916,0.0161298485674215,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,5,0.1111111111111111,0.0509561256360282,0.0527992939378411,True,True,0.1111111111111111,0.1174632719039049,0.1179174402819115,True,True
breast_discovery,basal_squamous_state,endocrine_epithelial_identity,image__he_r_std,0.1296879521374649,0.1296879521374649,0.0162503325585966,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,6,0.1111111111111111,0.1289176201051137,0.1294257429859434,True,True,0.1111111111111111,0.0755314426023334,0.084430454264197,True,True
breast_discovery,collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__he_patch_projection_012,0.1282454192317152,0.1282454192317152,0.0174877873714888,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,7,0.1111111111111111,0.0552902496458729,0.0595014765750053,True,True,0.1111111111111111,0.0813959068336507,0.101801163773307,True,True
breast_discovery,basal_squamous_state,endocrine_epithelial_identity,image__he_texture_entropy,0.1258758239433255,0.1258758239433255,0.0196993402305662,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,8,0.1111111111111111,0.1173611775575784,0.1181702764320595,True,True,0.1111111111111111,0.0656676446036493,0.0745973036020801,True,True
breast_discovery,immune_exclusion,immune_ecology,image__he_g_mean,0.1230747255105719,0.1230747255105719,0.022623787499411,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,9,0.1111111111111111,0.08365171318817,0.1039385728319031,True,True,0.1111111111111111,0.0703197977440997,0.0752995098881527,True,True
breast_discovery,basal_squamous_state,endocrine_epithelial_identity,embedding__he_patch_projection_016,-0.1224981790860517,0.1224981790860517,0.0232702814818302,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,10,0.1111111111111111,0.0822407631703182,0.0832201990633807,True,True,0.1111111111111111,0.0711292457113642,0.0789076377970653,True,True
breast_discovery,basal_squamous_state,endocrine_epithelial_identity,image__he_stain_contrast,0.1221240227156735,0.1221240227156735,0.02369832265886,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,11,,,,,,,,,,
breast_discovery,unfolded_protein_response,metabolic_stress,image__he_edge_mean,-0.120618212263248,0.120618212263248,0.0254904620873632,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,12,,,,,,,,,,
