sample_name,xenium_root,output_dir,n_cells,aggregation,analysis_observations,n_passing_pathways,n_pathways,n_associations,n_spatial_nulls,n_negative_controls,he_features_available,he_cells_inside_fraction,he_embedding_backend_status,top_pathway,top_family,top_image_feature,top_abs_partial_rho,validation_recovered,validation_total
breast_discovery,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Breast_Cancer_outs,benchmarking\morphopathway_atera\results\plip_smoke_1500_20260512_1828\breast_discovery,1500,spatial-block,147,10,10,160,10,10,True,1.0,transformers_clip:vinid/plip,immune_activation,immune_ecology,embedding__plip_013,0.24084154278636402,2,10
cervical_validation,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Cervical_Cancer_outs,benchmarking\morphopathway_atera\results\plip_smoke_1500_20260512_1828\cervical_validation,1500,spatial-block,158,10,10,160,10,10,True,1.0,transformers_clip:vinid/plip,myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_013,0.2026259576652174,2,10
