gene	cell_type	n_cells	mean_raw	mean_log1p	detection_fraction	mean_log1p_norm_by_gene	detection_norm_by_gene	x	y	value	category	label
CLEC14A	11q13 Invasive Tumor Cells (Mitotic)	2462	0.0649878147847278	0.0430808568883224	0.058489033306255	0.067641142341202	0.0992150714463304	0	7	0.067641142341202	endothelial_or_axis_marker	CLEC14A|11q13 Invasive Tumor Cells (Mitotic)
EMCN	11q13 Invasive Tumor Cells (Mitotic)	2462	0.0905767668562144	0.0581035691849789	0.0751421608448416	0.0830202094385059	0.1184907652451844	0	3	0.0830202094385059	endothelial_or_axis_marker	EMCN|11q13 Invasive Tumor Cells (Mitotic)
FLT1	11q13 Invasive Tumor Cells (Mitotic)	2462	0.2465475223395613	0.1585772686289839	0.2063363119415109	0.2268487888207098	0.3344820214630809	0	5	0.2268487888207098	endothelial_or_axis_marker	FLT1|11q13 Invasive Tumor Cells (Mitotic)
GP1BA	11q13 Invasive Tumor Cells (Mitotic)	2462	0.033306255077173	0.0228524389362355	0.0324939073923639	0.913431612260985	0.9991876523151908	0	11	0.913431612260985	contamination_control	GP1BA|11q13 Invasive Tumor Cells (Mitotic)
HBB	11q13 Invasive Tumor Cells (Mitotic)	2462	0.0308692120227457	0.0203452668848455	0.0272136474411047	0.3104915836283197	0.4920136174676892	0	12	0.3104915836283197	contamination_control	HBB|11q13 Invasive Tumor Cells (Mitotic)
ITGA2B	11q13 Invasive Tumor Cells (Mitotic)	2462	0.1246953696181965	0.0790073252471198	0.1007311129163281	1.0	1.0	0	10	1.0	contamination_control	ITGA2B|11q13 Invasive Tumor Cells (Mitotic)
KDR	11q13 Invasive Tumor Cells (Mitotic)	2462	0.0629569455727051	0.0421405613509575	0.0580828594638505	0.0490238083442582	0.0911402074265369	0	4	0.0490238083442582	endothelial_or_axis_marker	KDR|11q13 Invasive Tumor Cells (Mitotic)
MMRN2	11q13 Invasive Tumor Cells (Mitotic)	2462	0.0422420796100731	0.0271288572048927	0.0349309504467912	0.0454661921016744	0.061958970928245	0	6	0.0454661921016744	endothelial_or_axis_marker	MMRN2|11q13 Invasive Tumor Cells (Mitotic)
PECAM1	11q13 Invasive Tumor Cells (Mitotic)	2462	0.1673436230706742	0.1075963014386392	0.1393176279447603	0.0749263285652699	0.1562183361585767	0	2	0.0749263285652699	endothelial_or_axis_marker	PECAM1|11q13 Invasive Tumor Cells (Mitotic)
PF4	11q13 Invasive Tumor Cells (Mitotic)	2462	0.0219333874898456	0.0152030656987152	0.0219333874898456	0.6238190457235915	0.6368515724730184	0	9	0.6238190457235915	contamination_control	PF4|11q13 Invasive Tumor Cells (Mitotic)
PPBP	11q13 Invasive Tumor Cells (Mitotic)	2462	0.0389926888708367	0.0262787383685571	0.0365556458164094	1.0	1.0	0	8	1.0	contamination_control	PPBP|11q13 Invasive Tumor Cells (Mitotic)
SELP	11q13 Invasive Tumor Cells (Mitotic)	2462	0.0341186027619821	0.0226665814588808	0.0308692120227457	0.0723220219300986	0.1189526740322427	0	1	0.0723220219300986	endothelial_or_axis_marker	SELP|11q13 Invasive Tumor Cells (Mitotic)
VWF	11q13 Invasive Tumor Cells (Mitotic)	2462	0.111697806661251	0.0716813682035306	0.0942323314378554	0.0432262250770041	0.1073101315621372	0	0	0.0432262250770041	endothelial_or_axis_marker	VWF|11q13 Invasive Tumor Cells (Mitotic)
CLEC14A	Apocrine Cells	403	0.0471464019851116	0.0312516930167131	0.0421836228287841	0.0490682026410676	0.0715561690156243	6	7	0.0490682026410676	endothelial_or_axis_marker	CLEC14A|Apocrine Cells
EMCN	Apocrine Cells	403	0.0471464019851116	0.0305378417203067	0.0397022332506203	0.0436334299421184	0.0626059717596178	6	3	0.0436334299421184	endothelial_or_axis_marker	EMCN|Apocrine Cells
FLT1	Apocrine Cells	403	0.1563275434243176	0.1055025907828025	0.1464019851116625	0.1509241213664805	0.2373253232336424	6	5	0.1509241213664805	endothelial_or_axis_marker	FLT1|Apocrine Cells
GP1BA	Apocrine Cells	403	0.0248138957816377	0.0171996818997505	0.0248138957816377	0.6874860583547492	0.7630272952853597	6	11	0.6874860583547492	contamination_control	GP1BA|Apocrine Cells
