x	y	value	category	label
0.6483252150256875	2.0	2	histogram	CCI_score_bin
0.6549747044105665	2.0	2	histogram	CCI_score_bin
0.6616241937954452	4.0	4	histogram	CCI_score_bin
0.6682736831803242	3.0	3	histogram	CCI_score_bin
0.674923172565203	5.0	5	histogram	CCI_score_bin
0.6815726619500819	2.0	2	histogram	CCI_score_bin
0.6882221513349607	2.0	2	histogram	CCI_score_bin
0.6948716407198396	2.0	2	histogram	CCI_score_bin
0.7015211301047184	0.0	0	histogram	CCI_score_bin
0.7081706194895971	3.0	3	histogram	CCI_score_bin
0.7148201088744761	2.0	2	histogram	CCI_score_bin
0.7214695982593549	0.0	0	histogram	CCI_score_bin
0.7281190876442338	1.0	1	histogram	CCI_score_bin
0.7347685770291126	1.0	1	histogram	CCI_score_bin
0.7414180664139915	2.0	2	histogram	CCI_score_bin
0.7480675557988703	2.0	2	histogram	CCI_score_bin
0.7547170451837493	0.0	0	histogram	CCI_score_bin
0.761366534568628	0.0	0	histogram	CCI_score_bin
0.7680160239535068	0.0	0	histogram	CCI_score_bin
0.7746655133383857	0.0	0	histogram	CCI_score_bin
0.7813150027232645	0.0	0	histogram	CCI_score_bin
0.7879644921081435	1.0	1	histogram	CCI_score_bin
0.7912892368005828		1	vascular	VWF-SELP
0.7479758913021439		2	vascular	VWF-LRP1
0.7107166026857937		10	vascular	MMRN2-CD93
0.6849877065459009		16	immune	CD48-CD2
0.6695148471220083		24	notch	DLL4-NOTCH3
0.6616803690861207		28	stromal	CXCL12-CXCR4
0.6339181063246662		45	tumor	JAG1-NOTCH2
