dataset,model,program,molecular_feature,image_feature,assigned_structure_filter,filter_name,n_tiles_min,n_cells_min,n_contours,partial_spearman_rho,abs_partial_spearman_rho,reported_partial_rho
cervical,PLIP,tls_adjacent_activation,program__wta_tls_adjacent_activation,embedding__66__mean,,n_cells_ge_20,,20.0,209,0.5333153511365375,0.5333153511365375,0.550629559322338
cervical,PLIP,tls_adjacent_activation,program__wta_tls_adjacent_activation,embedding__66__mean,,n_cells_ge_50,,50.0,195,0.5514631478364661,0.5514631478364661,0.550629559322338
cervical,PLIP,tls_adjacent_activation,program__wta_tls_adjacent_activation,embedding__66__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,82,0.4818178734924497,0.4818178734924497,0.550629559322338
cervical,PLIP,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__251__mean,,full_set,,,215,-0.5455068221700179,0.5455068221700179,-0.5455068221700174
cervical,PLIP,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__251__mean,,n_tiles_ge_2,2.0,,120,-0.552649944223786,0.552649944223786,-0.5455068221700174
cervical,PLIP,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__251__mean,,n_tiles_ge_3,3.0,,83,-0.5363448997807704,0.5363448997807704,-0.5455068221700174
cervical,PLIP,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__251__mean,,n_cells_ge_20,,20.0,209,-0.5484950587230074,0.5484950587230074,-0.5455068221700174
cervical,PLIP,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__251__mean,,n_cells_ge_50,,50.0,195,-0.5592145227688983,0.5592145227688983,-0.5455068221700174
cervical,PLIP,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__251__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,82,-0.52655396714969,0.52655396714969,-0.5455068221700174
cervical,PLIP,immune_exclusion,program__wta_immune_exclusion,embedding__156__mean,,full_set,,,215,0.5439280857319826,0.5439280857319826,0.543928085731983
cervical,PLIP,immune_exclusion,program__wta_immune_exclusion,embedding__156__mean,,n_tiles_ge_2,2.0,,120,0.5228108283410078,0.5228108283410078,0.543928085731983
cervical,PLIP,immune_exclusion,program__wta_immune_exclusion,embedding__156__mean,,n_tiles_ge_3,3.0,,83,0.4428185361957909,0.4428185361957909,0.543928085731983
cervical,PLIP,immune_exclusion,program__wta_immune_exclusion,embedding__156__mean,,n_cells_ge_20,,20.0,209,0.5509604763855749,0.5509604763855749,0.543928085731983
cervical,PLIP,immune_exclusion,program__wta_immune_exclusion,embedding__156__mean,,n_cells_ge_50,,50.0,195,0.5531120406728242,0.5531120406728242,0.543928085731983
cervical,PLIP,immune_exclusion,program__wta_immune_exclusion,embedding__156__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,82,0.4377037360104018,0.4377037360104018,0.543928085731983
cervical,PLIP,stromal_encapsulation,program__wta_stromal_encapsulation,embedding__156__mean,,full_set,,,215,0.5407668005498536,0.5407668005498536,0.5407668005498537
cervical,PLIP,stromal_encapsulation,program__wta_stromal_encapsulation,embedding__156__mean,,n_tiles_ge_2,2.0,,120,0.5387693778777912,0.5387693778777912,0.5407668005498537
cervical,PLIP,stromal_encapsulation,program__wta_stromal_encapsulation,embedding__156__mean,,n_tiles_ge_3,3.0,,83,0.4813431498371396,0.4813431498371396,0.5407668005498537
cervical,PLIP,stromal_encapsulation,program__wta_stromal_encapsulation,embedding__156__mean,,n_cells_ge_20,,20.0,209,0.5443038259466355,0.5443038259466355,0.5407668005498537
cervical,PLIP,stromal_encapsulation,program__wta_stromal_encapsulation,embedding__156__mean,,n_cells_ge_50,,50.0,195,0.5397892835604691,0.5397892835604691,0.5407668005498537
cervical,PLIP,stromal_encapsulation,program__wta_stromal_encapsulation,embedding__156__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,82,0.4740399808482322,0.4740399808482322,0.5407668005498537
cervical,PLIP,epithelial_identity,program__wta_epithelial_identity,embedding__276__mean,,full_set,,,215,0.522184084404558,0.522184084404558,0.522184084404558
cervical,PLIP,epithelial_identity,program__wta_epithelial_identity,embedding__276__mean,,n_tiles_ge_2,2.0,,120,0.4504791935765955,0.4504791935765955,0.522184084404558
cervical,PLIP,epithelial_identity,program__wta_epithelial_identity,embedding__276__mean,,n_tiles_ge_3,3.0,,83,0.4945330432062887,0.4945330432062887,0.522184084404558
cervical,PLIP,epithelial_identity,program__wta_epithelial_identity,embedding__276__mean,,n_cells_ge_20,,20.0,209,0.5277648842755719,0.5277648842755719,0.522184084404558
cervical,PLIP,epithelial_identity,program__wta_epithelial_identity,embedding__276__mean,,n_cells_ge_50,,50.0,195,0.5374753467518582,0.5374753467518582,0.522184084404558
cervical,PLIP,epithelial_identity,program__wta_epithelial_identity,embedding__276__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,82,0.5226438514139785,0.5226438514139785,0.522184084404558
cervical,PLIP,immune_activation,program__wta_immune_activation,embedding__29__mean,,full_set,,,215,0.5048677850916052,0.5048677850916052,0.5048677850916053
cervical,PLIP,immune_activation,program__wta_immune_activation,embedding__29__mean,,n_tiles_ge_2,2.0,,120,0.521346722109261,0.521346722109261,0.5048677850916053
cervical,PLIP,immune_activation,program__wta_immune_activation,embedding__29__mean,,n_tiles_ge_3,3.0,,83,0.5586802234414102,0.5586802234414102,0.5048677850916053
cervical,PLIP,immune_activation,program__wta_immune_activation,embedding__29__mean,,n_cells_ge_20,,20.0,209,0.5479375152601974,0.5479375152601974,0.5048677850916053
cervical,PLIP,immune_activation,program__wta_immune_activation,embedding__29__mean,,n_cells_ge_50,,50.0,195,0.6080951120630073,0.6080951120630073,0.5048677850916053
cervical,PLIP,immune_activation,program__wta_immune_activation,embedding__29__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,82,0.5603667033503529,0.5603667033503529,0.5048677850916053
cervical,PLIP,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__247__mean,,full_set,,,215,-0.4874911058285079,0.4874911058285079,-0.4874911058285079
cervical,PLIP,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__247__mean,,n_tiles_ge_2,2.0,,120,-0.5045500026937653,0.5045500026937653,-0.4874911058285079
cervical,PLIP,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__247__mean,,n_tiles_ge_3,3.0,,83,-0.5763976729563387,0.5763976729563387,-0.4874911058285079
cervical,PLIP,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__247__mean,,n_cells_ge_20,,20.0,209,-0.503802437708979,0.503802437708979,-0.4874911058285079
cervical,PLIP,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__247__mean,,n_cells_ge_50,,50.0,195,-0.52339457934615,0.52339457934615,-0.4874911058285079
cervical,PLIP,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__247__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,82,-0.5770206454939727,0.5770206454939727,-0.4874911058285079
cervical,PLIP,emt_invasion,program__wta_emt_invasion,embedding__293__mean,,full_set,,,215,0.4786591638609391,0.4786591638609391,0.4786591638609392
cervical,PLIP,emt_invasion,program__wta_emt_invasion,embedding__293__mean,,n_tiles_ge_2,2.0,,120,0.3813085425755296,0.3813085425755296,0.4786591638609392
cervical,PLIP,emt_invasion,program__wta_emt_invasion,embedding__293__mean,,n_tiles_ge_3,3.0,,83,0.3858548680405066,0.3858548680405066,0.4786591638609392
cervical,PLIP,emt_invasion,program__wta_emt_invasion,embedding__293__mean,,n_cells_ge_20,,20.0,209,0.4800061568989742,0.4800061568989742,0.4786591638609392
cervical,PLIP,emt_invasion,program__wta_emt_invasion,embedding__293__mean,,n_cells_ge_50,,50.0,195,0.4726698635902793,0.4726698635902793,0.4786591638609392
cervical,PLIP,emt_invasion,program__wta_emt_invasion,embedding__293__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,82,0.3904196798204021,0.3904196798204021,0.4786591638609392
breast,UNI,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__893__mean,,full_set,,,300,-0.5863588618366933,0.5863588618366933,-0.5863588618366933
breast,UNI,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__893__mean,,n_tiles_ge_2,2.0,,193,-0.5617156176987207,0.5617156176987207,-0.5863588618366933
breast,UNI,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__893__mean,,n_tiles_ge_3,3.0,,135,-0.590031568373,0.590031568373,-0.5863588618366933
breast,UNI,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__893__mean,,n_cells_ge_20,,20.0,252,-0.5615226902436339,0.5615226902436339,-0.5863588618366933
breast,UNI,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__893__mean,,n_cells_ge_50,,50.0,208,-0.5887398924621258,0.5887398924621258,-0.5863588618366933
breast,UNI,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__893__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,121,-0.6190378889980747,0.6190378889980747,-0.5863588618366933
breast,UNI,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__91__mean,,full_set,,,300,-0.4562508518802486,0.4562508518802486,-0.4562508518802485
breast,UNI,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__91__mean,,n_tiles_ge_2,2.0,,193,-0.4579442921414952,0.4579442921414952,-0.4562508518802485
breast,UNI,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__91__mean,,n_tiles_ge_3,3.0,,135,-0.3643226271929052,0.3643226271929052,-0.4562508518802485
breast,UNI,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__91__mean,,n_cells_ge_20,,20.0,252,-0.4776964971818804,0.4776964971818804,-0.4562508518802485
breast,UNI,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__91__mean,,n_cells_ge_50,,50.0,208,-0.4571247700435516,0.4571247700435516,-0.4562508518802485
breast,UNI,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__91__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,121,-0.3793468399469243,0.3793468399469243,-0.4562508518802485
breast,PLIP,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__262__mean,,full_set,,,300,0.3304112291126156,0.3304112291126156,0.3304112291126158
breast,PLIP,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__262__mean,,n_tiles_ge_2,2.0,,193,0.3967377488139794,0.3967377488139794,0.3304112291126158
breast,PLIP,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__262__mean,,n_tiles_ge_3,3.0,,135,0.5292202357179513,0.5292202357179513,0.3304112291126158
breast,PLIP,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__262__mean,,n_cells_ge_20,,20.0,252,0.3595915587023489,0.3595915587023489,0.3304112291126158
breast,PLIP,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__262__mean,,n_cells_ge_50,,50.0,208,0.4042218982493002,0.4042218982493002,0.3304112291126158
breast,PLIP,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__262__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,121,0.5132118327497602,0.5132118327497602,0.3304112291126158
breast,UNI,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__976__mean,,full_set,,,300,-0.3768965348336238,0.3768965348336238,-0.3768965348336236
