dataset,model,program,molecular_feature,image_feature,assigned_structure_filter,reported_partial_rho,perturbation,dx_px,dy_px,rotation_deg,scale,base_partial_spearman_rho,base_n_contours,perturbed_partial_spearman_rho,perturbed_n_contours,delta_from_base,sign_matches_base,assignment_fraction,n_assigned_tiles,n_total_tiles
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,-0.638984976735276,shift_y_-16px,0.0,-16.0,0.0,1.0,-0.6518850249169947,157,-0.6522279457425554,161,-0.0003429208255606,True,0.9996789727126806,3114,3115
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,0.5154375113360024,shift_y_-16px,0.0,-16.0,0.0,1.0,0.5231042749349548,157,0.4957985132827311,161,-0.0273057616522237,True,0.9996789727126806,3114,3115
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,0.5311278430822853,shift_y_-16px,0.0,-16.0,0.0,1.0,0.5362570920848087,157,0.5133664187381043,161,-0.0228906733467043,True,0.9996789727126806,3114,3115
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,-0.638984976735276,shift_y_-8px,0.0,-8.0,0.0,1.0,-0.6518850249169947,157,-0.659782546713945,158,-0.0078975217969502,True,0.9996789727126806,3114,3115
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,0.5154375113360024,shift_y_-8px,0.0,-8.0,0.0,1.0,0.5231042749349548,157,0.5184859989849673,158,-0.0046182759499875,True,0.9996789727126806,3114,3115
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,0.5311278430822853,shift_y_-8px,0.0,-8.0,0.0,1.0,0.5362570920848087,157,0.53719080605787,158,0.0009337139730613,True,0.9996789727126806,3114,3115
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,-0.638984976735276,shift_y_+8px,0.0,8.0,0.0,1.0,-0.6518850249169947,157,-0.6493902178266319,154,0.0024948070903628,True,1.0,3115,3115
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,0.5154375113360024,shift_y_+8px,0.0,8.0,0.0,1.0,0.5231042749349548,157,0.52478800388307,154,0.0016837289481151,True,1.0,3115,3115
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,0.5311278430822853,shift_y_+8px,0.0,8.0,0.0,1.0,0.5362570920848087,157,0.5391078261391586,154,0.0028507340543499,True,1.0,3115,3115
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,-0.638984976735276,shift_y_+16px,0.0,16.0,0.0,1.0,-0.6518850249169947,157,-0.6655286884924168,152,-0.013643663575422,True,0.9996789727126806,3114,3115
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,0.5154375113360024,shift_y_+16px,0.0,16.0,0.0,1.0,0.5231042749349548,157,0.5215878791750609,152,-0.0015163957598939,True,0.9996789727126806,3114,3115
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,0.5311278430822853,shift_y_+16px,0.0,16.0,0.0,1.0,0.5362570920848087,157,0.5314972707139227,152,-0.0047598213708859,True,0.9996789727126806,3114,3115
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,-0.638984976735276,shift_y_+32px,0.0,32.0,0.0,1.0,-0.6518850249169947,157,-0.669674435243318,154,-0.0177894103263233,True,0.9996789727126806,3114,3115
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,0.5154375113360024,shift_y_+32px,0.0,32.0,0.0,1.0,0.5231042749349548,157,0.5049954517015757,154,-0.0181088232333791,True,0.9996789727126806,3114,3115
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,0.5311278430822853,shift_y_+32px,0.0,32.0,0.0,1.0,0.5362570920848087,157,0.5271140001733601,154,-0.0091430919114485,True,0.9996789727126806,3114,3115
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,-0.638984976735276,rotate_-0.50deg,0.0,0.0,-0.5,1.0,-0.6518850249169947,157,-0.6175187294167382,150,0.0343662955002564,True,0.9990369181380416,3112,3115
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,0.5154375113360024,rotate_-0.50deg,0.0,0.0,-0.5,1.0,0.5231042749349548,157,0.5199193460843198,150,-0.003184928850635,True,0.9990369181380416,3112,3115
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,0.5311278430822853,rotate_-0.50deg,0.0,0.0,-0.5,1.0,0.5362570920848087,157,0.5234903802201768,150,-0.0127667118646318,True,0.9990369181380416,3112,3115
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,-0.638984976735276,rotate_-0.25deg,0.0,0.0,-0.25,1.0,-0.6518850249169947,157,-0.6215072974093113,154,0.0303777275076834,True,0.9996789727126806,3114,3115
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,0.5154375113360024,rotate_-0.25deg,0.0,0.0,-0.25,1.0,0.5231042749349548,157,0.5156283268548022,154,-0.0074759480801526,True,0.9996789727126806,3114,3115
