dataset,model,program,molecular_feature,image_feature,perturbations,base_partial_spearman_rho,median_perturbed_partial_spearman_rho,min_perturbed_partial_spearman_rho,max_perturbed_partial_spearman_rho,median_abs_delta_from_base,max_abs_delta_from_base,sign_stability_fraction,min_assignment_fraction,median_perturbed_n_contours
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,23,-0.6518850249169947,-0.6519933437709436,-0.7005358339303532,-0.5980027670186933,0.013643663575422,0.0538822578983014,1.0,0.9990369181380416,156.0
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,23,0.5231042749349548,0.5195440172397259,0.4850959943303732,0.5430298021462442,0.0046182759499875,0.0380082806045815,1.0,0.9990369181380416,156.0
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,23,0.5362570920848087,0.5362604449100066,0.4953300232912568,0.5704146910976101,0.0104856974536301,0.0409270687935517,1.0,0.9990369181380416,156.0
cervical,plip,myofibroblast_caf_activation,program__wta_myofibroblast_caf_activation,embedding__333__mean,23,-0.5546367783538496,-0.5481115189011775,-0.5606707023482246,-0.4777470658527972,0.0065252594526721,0.0768897125010523,1.0,0.9986480396575034,216.0
cervical,plip,emt_invasive_front,program__wta_emt_invasive_front,embedding__73__mean,23,0.5519909003397799,0.5519418972735826,0.5212491647739571,0.5738159333464824,0.0083740304964919,0.0307417355658228,1.0,0.9986480396575034,216.0
cervical,plip,tls_adjacent_activation,program__wta_tls_adjacent_activation,embedding__66__mean,23,0.5506295593223375,0.5456347104554207,0.5164743387636488,0.5677695406543415,0.0086972552292667,0.0341552205586886,1.0,0.9986480396575034,216.0
cervical,plip,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__251__mean,23,-0.5455068221700179,-0.5433951480151372,-0.5571696364904308,-0.4799399299521699,0.0045001817180156,0.0655668922178479,1.0,0.9986480396575034,216.0
cervical,plip,immune_exclusion,program__wta_immune_exclusion,embedding__156__mean,23,0.5439280857319826,0.5339947466259519,0.4817718300310873,0.5768730766406852,0.0146031900502351,0.0621562557008952,1.0,0.9986480396575034,216.0
cervical,plip,stromal_encapsulation,program__wta_stromal_encapsulation,embedding__156__mean,23,0.5407668005498536,0.5347025109581958,0.4805443798715257,0.5806076258090435,0.0095432187461601,0.0602224206783278,1.0,0.9986480396575034,216.0
cervical,plip,epithelial_identity,program__wta_epithelial_identity,embedding__276__mean,23,0.522184084404558,0.5089263541236586,0.3849481540573109,0.5297814097776833,0.0132577302808993,0.137235930347247,1.0,0.9986480396575034,216.0
cervical,plip,immune_activation,program__wta_immune_activation,embedding__29__mean,23,0.5048677850916052,0.518724754709824,0.4998708976744868,0.5498879426732172,0.0138569696182188,0.0450201575816119,1.0,0.9986480396575034,216.0
cervical,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__247__mean,23,-0.4874911058285079,-0.4923568118539492,-0.5497927533633294,-0.4166342521638057,0.0192354864410242,0.0708568536647021,1.0,0.9986480396575034,216.0
cervical,plip,emt_invasion,program__wta_emt_invasion,embedding__293__mean,23,0.4786591638609391,0.4653143497110825,0.4082583339933791,0.4923169355528922,0.013657771691953,0.07040082986756,1.0,0.9986480396575034,216.0
