pathway,image_feature,observed_abs_partial_spearman_rho,n_present_genes,n_negative_controls,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99,sample_role
basal_squamous_state,embedding__plip_059,0.2641627415099447,6,12,0.0769230769230769,0.1229183018957713,0.132070309565209,True,True,breast_discovery
basal_squamous_state,embedding__plip_018,0.209674941739261,6,12,0.0769230769230769,0.1311166353324672,0.1434712941234956,True,True,breast_discovery
basal_squamous_state,embedding__plip_006,0.2015241872805636,6,12,0.0769230769230769,0.1549634015807642,0.1698839880288612,True,True,breast_discovery
basal_squamous_state,embedding__plip_011,0.1968473500579201,6,12,0.0769230769230769,0.1372401314016626,0.16786127854884,True,True,breast_discovery
myofibroblast_caf_activation,embedding__plip_049,0.1877113112567738,7,12,0.0769230769230769,0.1296207583469996,0.1412023566960146,True,True,breast_discovery
basal_squamous_state,embedding__plip_041,0.1801597615681257,6,12,0.0769230769230769,0.1198332165205694,0.1331474211898806,True,True,breast_discovery
basal_squamous_state,embedding__plip_058,0.1778667936255894,6,12,0.0769230769230769,0.0916448628795181,0.091681533202863,True,True,breast_discovery
myofibroblast_caf_activation,embedding__plip_035,0.1704668366366439,7,12,0.0769230769230769,0.0998682009461015,0.108492682671784,True,True,breast_discovery
immune_exclusion,embedding__plip_044,0.1684081441116696,7,12,0.0769230769230769,0.1022598991795229,0.1424314637730192,True,True,breast_discovery
basal_squamous_state,embedding__plip_039,0.1682820773503855,6,12,0.0769230769230769,0.1137565313345073,0.1169687258138709,True,True,breast_discovery
collagen_ecm_organization,embedding__plip_053,0.2187981850608031,7,12,0.0769230769230769,0.1424030910926212,0.1533634836387702,True,True,cervical_validation
basal_squamous_state,embedding__plip_038,0.2100540227239655,6,12,0.1538461538461538,0.1508828399493972,0.203838796193968,True,True,cervical_validation
immune_exclusion,embedding__plip_053,0.1934138932405758,7,12,0.0769230769230769,0.1521280389250059,0.1533959832840158,True,True,cervical_validation
immune_exclusion,embedding__plip_056,0.1901526000350972,7,12,0.0769230769230769,0.1439343599517806,0.1468631364816073,True,True,cervical_validation
oxidative_phosphorylation,embedding__plip_029,0.1798124912897852,7,12,0.0769230769230769,0.1120855289033565,0.1198980433438198,True,True,cervical_validation
collagen_ecm_organization,embedding__plip_056,0.1794108937771147,7,12,0.0769230769230769,0.1059222673831697,0.1135360168834141,True,True,cervical_validation
basal_squamous_state,embedding__plip_024,0.1655424767062223,6,12,0.0769230769230769,0.0813577397140691,0.0843061793704957,True,True,cervical_validation
unfolded_protein_response,embedding__plip_034,0.164566439354468,7,12,0.0769230769230769,0.1147383049809378,0.1225787953494322,True,True,cervical_validation
collagen_ecm_organization,embedding__plip_050,0.1622514768011279,7,12,0.1538461538461538,0.1626722149015049,0.165649222271713,False,False,cervical_validation
luminal_estrogen_response,embedding__plip_047,0.160489903508667,10,12,0.0769230769230769,0.1024189481396622,0.1180411214242294,True,True,cervical_validation
