pathway,image_feature,observed_abs_partial_spearman_rho,permutations,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99
basal_squamous_state,embedding__he_patch_projection_012,0.15190592003718914,8,0.1111111111111111,0.08319402380483938,0.08894440777824039,True,True
unfolded_protein_response,image__he_hematoxylin_proxy,0.13451582044821597,8,0.1111111111111111,0.07982890642342881,0.08995052188315526,True,True
basal_squamous_state,embedding__he_patch_projection_020,0.1339004500856416,8,0.1111111111111111,0.0652348390034725,0.07434734040588087,True,True
basal_squamous_state,image__he_texture_energy,0.1320706696546924,8,0.1111111111111111,0.04937178689460412,0.04947855825027736,True,True
immune_exclusion,image__he_saturation_mean,0.12983348678669165,8,0.1111111111111111,0.05095612563602823,0.052799293937841135,True,True
basal_squamous_state,image__he_r_std,0.12968795213746495,8,0.1111111111111111,0.12891762010511373,0.1294257429859434,True,True
collagen_ecm_organization,embedding__he_patch_projection_012,0.12824541923171529,8,0.1111111111111111,0.05529024964587299,0.05950147657500536,True,True
basal_squamous_state,image__he_texture_entropy,0.12587582394332555,8,0.1111111111111111,0.11736117755757842,0.11817027643205955,True,True
immune_exclusion,image__he_g_mean,0.12307472551057196,8,0.1111111111111111,0.08365171318817,0.1039385728319031,True,True
basal_squamous_state,embedding__he_patch_projection_016,0.12249817908605176,8,0.1111111111111111,0.08224076317031821,0.08322019906338073,True,True
