sample_name,xenium_root,output_dir,n_cells,aggregation,analysis_observations,n_passing_pathways,n_pathways,n_associations,n_spatial_nulls,n_negative_controls,he_features_available,he_cells_inside_fraction,he_embedding_backend_status,top_pathway,top_family,top_image_feature,top_abs_partial_rho,validation_recovered,validation_total
breast_discovery,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Breast_Cancer_outs,benchmarking\morphopathway_atera\results\plip_smoke_3000_d128_seed29_null12_20260512_1928\breast_discovery,3000,spatial-block,229,10,10,1280,10,10,True,1.0,transformers_clip:vinid/plip,epithelial_identity,endocrine_epithelial_identity,embedding__plip_071,0.22164650020143412,0,10
cervical_validation,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Cervical_Cancer_outs,benchmarking\morphopathway_atera\results\plip_smoke_3000_d128_seed29_null12_20260512_1928\cervical_validation,3000,spatial-block,259,10,10,1280,10,10,True,1.0,transformers_clip:vinid/plip,immune_activation,immune_ecology,embedding__plip_037,0.19838406314223672,0,10
