cell_id,luminal_estrogen_response,epithelial_identity,basal_squamous_state,unfolded_protein_response,oxidative_phosphorylation,collagen_ecm_organization,myofibroblast_caf_activation,immune_activation,immune_exclusion,emt_invasive_front
aaaccnnp-1,0.6487879125513102,0.0,0.0,0.38218153094309876,0.15646395677501446,0.0,0.0,0.0,0.0,0.09623169882611005
aaadnocg-1,0.4690460732743212,0.2849053029887269,0.0,0.30262879069357024,0.32209865635563145,0.0,0.0,0.0,0.0,0.0
aabckgne-1,0.14471718074136436,0.10842800436039039,0.0,0.0,0.0,0.0,0.08666779904177431,0.11912123387708058,0.18117170935133683,0.11309019365133054
aabohpak-1,0.12137228494688412,0.18187411576198215,0.0,0.0,0.0,0.0,0.0,0.24559541634961338,0.18676326604720356,0.0
aacefgic-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26548846083706407,0.0
aaedmpfd-1,0.0,0.0,0.0,0.0,0.0,0.30424992341931983,0.0,0.0,0.1902124496110079,0.0
aafceook-1,0.0,0.0,0.0,0.0,0.0,0.20877152615566982,0.0,0.0,0.22782454857587608,0.0
aaihliaf-1,0.3260038124039617,0.14046444456520632,0.2809480427115334,0.17943894449065925,0.0,0.0,0.08262475438431788,0.0,0.0,0.0
aajgegdo-1,0.0802116881942448,0.2790335645734424,0.5984861272378682,0.10537437521650914,0.4076605243396827,0.0,0.2230348611783119,0.264098988665028,0.10041716253496696,0.0
aajhodbd-1,0.5603428991535233,0.3991031025168864,0.09513407602620462,0.18875057179357668,0.14001820878549714,0.0,0.0,0.0,0.0,0.08611689475162905
aajleklh-1,0.0,0.1801157310101413,0.0,0.0,0.0,0.09363302737647063,0.0,0.0,0.170701767993683,0.29232238893304907
aalglfkg-1,0.0,0.0,0.0,0.17030954488766137,0.0,0.3043025470684317,0.0,0.0,0.21819316418560658,0.0
aallcben-1,0.5865128643999674,0.2584960882330791,0.0,0.3568537331738203,0.49764195189509436,0.0,0.06887300367411159,0.0,0.07198659676234144,0.0
aalljjil-1,0.3958197371225979,0.23758967335884176,0.0,0.2034923724635211,0.34055086045894184,0.0,0.24077417573606222,0.0,0.08388634430944722,0.10472631689156799
aaoifhoe-1,0.0,0.0,0.0,0.0,0.0,0.31389977759174464,0.0,0.0,0.39249078492477857,0.0
aaoocljn-1,0.37966405727299546,0.0,0.0,0.40820016794431596,0.22719741005844576,0.0,0.0,0.0,0.0,0.0
abcomhma-1,0.5340675662713833,0.5175164901584259,0.0,0.5399686655810771,0.3702612763947871,0.0,0.07300444998350675,0.0,0.07630481643701907,0.0
abeipibn-1,0.39293729497804897,0.42250202344615545,0.0,0.28661011965312455,0.32849368757713193,0.0,0.0,0.0,0.0,0.0
abfmboap-1,0.5543715698386752,0.22409073126737014,0.0,0.294820257163752,0.0,0.0,0.0,0.0,0.0,0.0
abibcljg-1,0.615476746234554,0.18643495794566636,0.0,0.5237122763524505,0.31616004768289896,0.0,0.0,0.0,0.0,0.0
abkcbmdc-1,0.0,0.0,0.17266165635122024,0.26274875148037913,0.0,0.22730201524429486,0.0,0.0,0.12519402382720454,0.15629610659743307
