spatial_block_id,luminal_estrogen_response,epithelial_identity,basal_squamous_state,unfolded_protein_response,oxidative_phosphorylation,collagen_ecm_organization,myofibroblast_caf_activation,immune_activation,immune_exclusion,emt_invasive_front
block_x0_y3,0.5151138624079286,0.639336817689829,0.0,0.696326419251056,0.13650701003994772,0.18803042291035593,0.1689763284982427,0.0,0.2907883398449335,0.09221721855863411
block_x0_y4,0.5507292839157463,0.48818534241656947,0.475936177953116,0.683175137475245,0.7020123988827098,0.17247210115649678,0.22451017920937785,0.03492639442737137,0.10783054034721574,0.09874765463804493
block_x0_y5,0.6494552996058048,0.6289532469968422,0.25602358720435353,0.7802006799392027,0.5630210478922291,0.16674716073561135,0.21403121775494333,0.03308984080073893,0.17374237340159246,0.1173159807426326
block_x0_y6,0.4519524249167657,0.3546470310206381,0.09494799439149021,0.571590531310623,0.3945723547521175,0.26733903161289346,0.07624465403723867,0.3483083734864418,0.2796119405473463,0.15385291239547297
block_x0_y9,0.3989037002363407,0.4949678264932525,0.5144429151086845,0.45667230720070845,1.0,0.13805275854993362,0.6258786732639186,0.1473057716535912,0.3063062720298868,0.14159405817426277
block_x1_y1,0.26306504673493925,0.12051676371093871,0.0,0.2381480393704968,0.2633999512853486,0.3696514402489612,0.11856726046227378,0.13160628251611126,0.38936502252724753,0.6838936465527237
block_x1_y2,0.30188020136546556,0.24315457390105946,0.0865265593517796,0.29290549821234246,0.6100001680322619,0.7286637099775575,0.42819794734685834,0.09669577496369024,0.5673687686433453,0.5735472271562642
block_x1_y4,0.6052252674886966,0.664573218039987,1.0,0.7669625063319151,0.3470427718837191,0.22470134551638032,0.0,0.0,0.24768301778870777,0.11193153561249448
block_x1_y5,0.05156889367163683,0.0,0.0,0.2281685388665671,0.10216988468054149,0.6303675625615599,0.2498726030783479,0.18490343162885967,0.5683305170488787,0.8788279382614582
block_x1_y7,0.5907090164515566,0.4719581038590982,0.3253708319606074,0.721868020748318,0.7310426991365776,0.27403693303336546,0.5573193171183158,0.0,0.3416388734249442,0.24119399162560856
block_x1_y8,0.2978668975579408,0.19383680456433683,0.07410320318241631,0.26082022422077683,0.3068722033640059,0.2742575648379223,0.2628277239264146,0.08281233776884447,0.3878146277433391,0.20783284004151062
block_x1_y9,0.17001206189796264,0.29453124526102725,0.15957630789484778,0.3436193323244755,0.2745375493487828,0.30937215425806325,0.36009505995697744,0.0636039724304359,0.643323653123671,0.28059439450332757
block_x2_y0,0.6788729882887603,0.8297332308136339,0.7545723141981407,0.7072430021878924,0.41316638443618625,0.13990133823046755,0.3831500246324115,0.0,0.13870746570629067,0.09879240005726236
block_x2_y1,0.16523953181929196,0.1537299305180534,0.14703169880256428,0.33189211088405457,0.5385590462226809,0.7586956796237903,0.44190270018904737,0.1678935613208562,0.8222394382920566,0.47073704519378134
block_x2_y2,0.09930894737068291,0.16022566909033495,0.0,0.1414811912472429,0.36758115339991365,0.7436755050772792,0.3055038461264941,0.34989174780969057,0.7227476680021173,0.3926039602057804
block_x2_y3,0.5286275029913564,0.35945429082495756,0.4329719796089087,0.7394404533979398,0.3627166060509554,0.1938721868237456,0.21563018608710244,0.0,0.4061355956802318,0.09160742215172818
block_x2_y5,0.7128810619176675,0.6485774230724979,0.3969301417859052,0.8494460112547354,0.5885646118736141,0.0411185231290202,0.18773707417983346,0.06856618711091764,0.2330486162551215,0.10121321193981052
block_x2_y6,0.6501020936788997,0.6792195148614963,0.0,0.6267501559003537,0.6411005936698785,0.0,0.25600322130472086,0.0,0.2949120840458652,0.37949262489572466
block_x2_y7,0.8146823095291579,0.9035666444963807,0.22236722132917924,0.8990218266358158,0.49637988561320745,0.07975096884984795,0.0,0.0,0.09070542902551713,0.0
block_x2_y8,0.7556958106333818,0.4913641251339299,0.0,0.6176148979945257,0.3587782346166966,0.2007364373638987,0.17529721802542525,0.2805780318202279,0.23427079037257137,0.3470131533350686
block_x2_y9,0.1526537752958502,0.04461776577326401,0.8613217269511295,0.29698793366377124,0.13270926703806032,0.2703772524003811,1.0,0.2189010141427158,0.6481022916693162,0.24018866837687575
block_x3_y0,0.3634973325586439,0.49875425318420824,0.2915975907284134,0.5032210031237087,0.407692018332547,0.536181092407356,0.15295735594068113,0.15198449317475357,0.5785604641541725,0.4194149446505152
block_x3_y1,0.24092273146071522,0.03244345257773614,0.22469067252626576,0.31306319651995246,0.03741587208149049,0.2608463180248621,0.5313403752434512,0.0,0.5150076772295413,0.4569951802334867
block_x3_y4,0.6193270448550313,0.5003629474401324,0.555680666151726,0.7200034916478967,0.47429909793410824,0.04372222939022604,0.5970220343872188,0.0,0.2651288820186107,0.0
block_x3_y5,0.9539230126392918,0.7161994848426533,0.39722502768857537,0.9302993192896811,0.7608636700521181,0.03649759331010851,0.0,0.33461915833870276,0.042197344181951035,0.0
block_x3_y6,0.5580486683716682,0.8024982636851756,0.7485752750153962,0.805575380463077,0.3495897673458989,0.035817178071129184,0.09581716594468465,0.6961270016786887,0.090716724176866,0.08606325174671829
block_x3_y7,0.6510674819562345,0.48468593007259514,0.5615833207428592,0.6870341977859721,0.5313490285001564,0.05554144139758783,0.09447983781950677,0.270137684354515,0.12742156689652576,0.14728448299244234
block_x3_y8,0.6619413754374123,0.6221489378812295,0.0,0.677368131565993,0.32893437816159155,0.06743136798623896,0.07829380940999323,0.0,0.13873524870600715,0.12209794126708895
block_x3_y9,0.644382065941038,0.41695138257554126,0.12190381735302798,0.6521462394961925,0.4447017857124,0.40212358290983313,0.18914024871944574,0.0,0.3573386822610203,0.2763860954687244
block_x4_y1,0.7292178123937189,0.6753513610219337,0.24543080725128907,0.7851546975611737,0.45621046504659596,0.12453055686133599,0.45479922348920876,0.096094495174317,0.32327738187823285,0.08333806918614342
block_x4_y2,0.49006205586581136,0.6788537176900158,0.9965986250147155,0.5164560965149871,0.5328930036993967,0.5312004333537441,0.8221739347668549,0.0,0.6269094296385412,0.1349386227039772
block_x4_y3,0.1784941087309057,0.11696815715767739,0.0,0.11221119007807787,0.0,0.38275943012218944,0.3427844004270208,0.7459975901502246,0.2945144492973147,0.45058061356240975
block_x4_y4,0.6827517901922382,0.4903839649157804,0.5006273171266507,0.6788328528769916,0.596276567494703,0.16556472858736135,0.330512893474961,0.16540939732762622,0.34685994525318287,0.3188118003507274
block_x4_y7,0.7377713746924083,0.5048378540899234,0.4492798005970372,0.6412477661052036,0.48972226225483556,0.12227705647569657,0.29848759190914176,0.2998837538374243,0.16745498451355262,0.13258372851385491
block_x4_y8,0.7462144067616473,0.5996423421869859,0.3592348590107239,0.7917874095410128,0.3653163806203701,0.017644399590960983,0.3018691728841848,0.24355657374425202,0.08610508287421537,0.09024408268178388
block_x4_y9,1.0,1.0,0.0,0.9154618592932431,0.47322793236783006,0.0,0.0,0.09141385754232564,0.0,0.029937447207232123
block_x5_y0,0.0,0.05932773447484982,0.0,0.0,0.0200115796552526,0.6142528187340508,0.46107003097906124,0.0,0.3077193589195385,0.7406267397420785
block_x5_y1,0.39158021895451683,0.5932628232663251,0.7069188477914935,0.8053879631267808,0.339155094218844,0.11468085917865006,0.0,0.13034727838320057,0.055861947093324045,0.05366732458319975
