pathway,image_feature,observed_abs_partial_spearman_rho,n_present_genes,n_negative_controls,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
immune_activation,embedding__plip_052,0.30314268929475463,7,12,0.07692307692307693,0.12124240960923634,0.134989813739809,True,True
basal_squamous_state,embedding__plip_047,0.27924275329952153,6,12,0.15384615384615385,0.22624232259565136,0.29408094060530504,True,False
emt_invasive_front,embedding__plip_062,0.2713505121112711,8,12,0.07692307692307693,0.15815994956190765,0.19549812559888025,True,True
basal_squamous_state,embedding__plip_031,0.26496170098322636,6,12,0.07692307692307693,0.17865145573904884,0.1872307462469999,True,True
basal_squamous_state,embedding__plip_022,0.26037101609320795,6,12,0.07692307692307693,0.12105445433070433,0.14608039598885345,True,True
basal_squamous_state,embedding__plip_025,0.26017408890838895,6,12,0.07692307692307693,0.11705825221100552,0.12505149256301532,True,True
unfolded_protein_response,embedding__plip_003,0.2574753851414333,7,12,0.07692307692307693,0.23439561909736245,0.23512958384339647,True,True
immune_activation,embedding__plip_024,0.2527543038413972,7,12,0.15384615384615385,0.23195039162068892,0.2518661668648288,True,True
myofibroblast_caf_activation,embedding__plip_012,0.24236483203934214,7,12,0.07692307692307693,0.15548204616052577,0.1605456997111208,True,True
basal_squamous_state,embedding__plip_002,0.24006453512038944,6,12,0.07692307692307693,0.18725026798083083,0.19590271363507356,True,True
