sample_role,pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
breast_discovery,unfolded_protein_response,metabolic_stress,embedding__plip_028,0.2774524584090382,0.2774524584090382,0.001223877065358,133,"structure,x,y,boundary_distance,log_total_counts",0.5311846301319796,1,0.0303030303030303,0.1882245043139502,0.2380232689721433,True,True,0.0303030303030303,0.1522609252929388,0.1601517841863653,True,True
breast_discovery,immune_exclusion,immune_ecology,embedding__plip_014,0.2572309746989101,0.2572309746989101,0.0027989636807326,133,"structure,x,y,boundary_distance,log_total_counts",0.5311846301319796,2,0.0606060606060606,0.1701305335123893,0.25808645418157,True,False,0.0303030303030303,0.2328519268702057,0.2503902074045021,True,True
breast_discovery,luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_058,-0.2461741306021434,0.2461741306021434,0.004285924074827,133,"structure,x,y,boundary_distance,log_total_counts",0.5311846301319796,3,0.0303030303030303,0.1966605453457073,0.2069977411611769,True,True,0.0606060606060606,0.2240504684811636,0.2502317109749625,True,False
breast_discovery,luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_009,-0.244591051088885,0.244591051088885,0.0045487716372032,133,"structure,x,y,boundary_distance,log_total_counts",0.5311846301319796,4,0.0303030303030303,0.1415383887379049,0.1651559737664796,True,True,0.1818181818181818,0.2623714517377367,0.2726370421131655,False,False
breast_discovery,unfolded_protein_response,metabolic_stress,embedding__plip_009,-0.2416866234651413,0.2416866234651413,0.0050687870113164,133,"structure,x,y,boundary_distance,log_total_counts",0.5311846301319796,5,0.0303030303030303,0.1671866832227349,0.1931836240496611,True,True,0.0909090909090909,0.2421186217205632,0.2903217124559746,False,False
breast_discovery,unfolded_protein_response,metabolic_stress,embedding__plip_038,0.238407619102839,0.238407619102839,0.0057191743491487,133,"structure,x,y,boundary_distance,log_total_counts",0.5311846301319796,6,0.0303030303030303,0.2159336650282526,0.2267493416358986,True,True,0.0303030303030303,0.2074710027102384,0.2246581829488362,True,True
breast_discovery,unfolded_protein_response,metabolic_stress,embedding__plip_056,0.2345082751364993,0.2345082751364993,0.0065886905315544,133,"structure,x,y,boundary_distance,log_total_counts",0.5311846301319796,7,0.0303030303030303,0.161954515547456,0.1777401046580852,True,True,0.0303030303030303,0.1927254650807699,0.2208154163144574,True,True
breast_discovery,unfolded_protein_response,metabolic_stress,embedding__plip_022,0.2342935894615031,0.2342935894615031,0.0066398078766497,133,"structure,x,y,boundary_distance,log_total_counts",0.5311846301319796,8,0.0606060606060606,0.1787408834915206,0.2367230545752809,True,False,0.0303030303030303,0.2047679154884533,0.2224312061742043,True,True
breast_discovery,oxidative_phosphorylation,metabolic_stress,embedding__plip_045,-0.2287669306183642,0.2287669306183642,0.0080829557573182,133,"structure,x,y,boundary_distance,log_total_counts",0.574787964964852,9,0.0303030303030303,0.1551014474018408,0.1606286183488926,True,True,0.0303030303030303,0.1214661456031642,0.138051310027111,True,True
breast_discovery,luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_034,-0.2219069908285656,0.2219069908285656,0.010255642133128,133,"structure,x,y,boundary_distance,log_total_counts",0.645000658922691,10,0.0303030303030303,0.126473599148593,0.1740827308366693,True,True,0.0303030303030303,0.107079450819184,0.1564404366476495,True,True
breast_discovery,unfolded_protein_response,metabolic_stress,embedding__plip_030,0.2175877751493338,0.2175877751493338,0.0118736538289794,133,"structure,x,y,boundary_distance,log_total_counts",0.645000658922691,11,,,,,,,,,,
breast_discovery,oxidative_phosphorylation,metabolic_stress,embedding__plip_048,0.2150291044419559,0.2150291044419559,0.0129341976547379,133,"structure,x,y,boundary_distance,log_total_counts",0.645000658922691,12,,,,,,,,,,
