pathway,image_feature,observed_abs_partial_spearman_rho,permutations,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,sample_role
unfolded_protein_response,embedding__plip_028,0.2774524584090382,32,0.0303030303030303,0.1882245043139502,0.2380232689721433,True,True,breast_discovery
immune_exclusion,embedding__plip_014,0.2572309746989101,32,0.0606060606060606,0.1701305335123893,0.25808645418157,True,False,breast_discovery
luminal_estrogen_response,embedding__plip_058,0.2461741306021434,32,0.0303030303030303,0.1966605453457073,0.2069977411611769,True,True,breast_discovery
luminal_estrogen_response,embedding__plip_009,0.244591051088885,32,0.0303030303030303,0.1415383887379049,0.1651559737664796,True,True,breast_discovery
unfolded_protein_response,embedding__plip_009,0.2416866234651413,32,0.0303030303030303,0.1671866832227349,0.1931836240496611,True,True,breast_discovery
unfolded_protein_response,embedding__plip_038,0.238407619102839,32,0.0303030303030303,0.2159336650282526,0.2267493416358986,True,True,breast_discovery
unfolded_protein_response,embedding__plip_056,0.2345082751364993,32,0.0303030303030303,0.161954515547456,0.1777401046580852,True,True,breast_discovery
unfolded_protein_response,embedding__plip_022,0.2342935894615031,32,0.0606060606060606,0.1787408834915206,0.2367230545752809,True,False,breast_discovery
oxidative_phosphorylation,embedding__plip_045,0.2287669306183642,32,0.0303030303030303,0.1551014474018408,0.1606286183488926,True,True,breast_discovery
luminal_estrogen_response,embedding__plip_034,0.2219069908285656,32,0.0303030303030303,0.126473599148593,0.1740827308366693,True,True,breast_discovery
epithelial_identity,embedding__plip_007,0.3293476564116017,32,0.0303030303030303,0.1333606855871729,0.1833127612118062,True,True,cervical_validation
luminal_estrogen_response,embedding__plip_017,0.3018474571941457,32,0.0303030303030303,0.200994896360416,0.259564921858456,True,True,cervical_validation
myofibroblast_caf_activation,embedding__plip_008,0.2777619684401649,32,0.0303030303030303,0.1465517632182781,0.1977271422997517,True,True,cervical_validation
unfolded_protein_response,embedding__plip_055,0.269568749533504,32,0.0303030303030303,0.152377277863368,0.1947904637817077,True,True,cervical_validation
immune_exclusion,embedding__plip_059,0.257441275773818,32,0.0303030303030303,0.1465474938795091,0.1756292026304122,True,True,cervical_validation
collagen_ecm_organization,embedding__plip_060,0.2554280174645949,32,0.0606060606060606,0.1467053909130715,0.2386221033464895,True,True,cervical_validation
luminal_estrogen_response,embedding__plip_000,0.2508570588055709,32,0.0606060606060606,0.2020767427384897,0.2906833601517242,True,False,cervical_validation
myofibroblast_caf_activation,embedding__plip_030,0.2508477045713964,32,0.0303030303030303,0.1377650280596049,0.1835706258964304,True,True,cervical_validation
unfolded_protein_response,embedding__plip_021,0.2485058621383538,32,0.0606060606060606,0.1578782025673719,0.2341247613306446,True,True,cervical_validation
immune_activation,embedding__plip_011,0.2481699494924662,32,0.0303030303030303,0.1784723298896122,0.2074095250803745,True,True,cervical_validation
