image_feature,n_associations,max_abs_partial_spearman_rho,mean_abs_partial_spearman_rho,top_k_count,top_k_pathways,top_k_families,negative_control_rows,negative_control_fail95,negative_control_fail99,negative_control_pathways,sample_role,top_k,candidate_generic_axis
embedding__plip_009,10,0.244591051088885,0.10018622416678583,4,emt_invasive_front;epithelial_identity;luminal_estrogen_response;unfolded_protein_response,endocrine_epithelial_identity;invasion_boundary_emt;metabolic_stress,2,2,2,luminal_estrogen_response;unfolded_protein_response,breast_discovery,40,True
embedding__plip_014,10,0.2572309746989101,0.12439617236095138,3,collagen_ecm_organization;immune_exclusion;luminal_estrogen_response,endocrine_epithelial_identity;immune_ecology;stromal_remodeling_caf_ecm,1,0,0,immune_exclusion,breast_discovery,40,False
embedding__plip_058,10,0.2461741306021434,0.12293435830550352,3,emt_invasive_front;luminal_estrogen_response;unfolded_protein_response,endocrine_epithelial_identity;invasion_boundary_emt;metabolic_stress,1,0,1,luminal_estrogen_response,breast_discovery,40,False
embedding__plip_038,10,0.238407619102839,0.09845158118551525,3,basal_squamous_state;luminal_estrogen_response;unfolded_protein_response,endocrine_epithelial_identity;metabolic_stress,1,0,0,unfolded_protein_response,breast_discovery,40,False
embedding__plip_028,10,0.2774524584090382,0.11060083794119224,2,luminal_estrogen_response;unfolded_protein_response,endocrine_epithelial_identity;metabolic_stress,1,0,0,unfolded_protein_response,breast_discovery,40,False
embedding__plip_018,10,0.1917788004194335,0.08601601037993194,2,collagen_ecm_organization;emt_invasive_front,invasion_boundary_emt;stromal_remodeling_caf_ecm,0,0,0,,breast_discovery,40,False
embedding__plip_013,10,0.1884113552923082,0.08198987532366449,2,luminal_estrogen_response;unfolded_protein_response,endocrine_epithelial_identity;metabolic_stress,0,0,0,,breast_discovery,40,False
embedding__plip_063,10,0.1875236487555582,0.09793925129321426,2,collagen_ecm_organization;luminal_estrogen_response,endocrine_epithelial_identity;stromal_remodeling_caf_ecm,0,0,0,,breast_discovery,40,False
embedding__plip_056,10,0.2345082751364993,0.08545190676243299,1,unfolded_protein_response,metabolic_stress,1,0,0,unfolded_protein_response,breast_discovery,40,False
embedding__plip_022,10,0.2342935894615031,0.09539835518698,1,unfolded_protein_response,metabolic_stress,1,0,0,unfolded_protein_response,breast_discovery,40,False
embedding__plip_045,10,0.2287669306183642,0.06663500212059928,1,oxidative_phosphorylation,metabolic_stress,1,0,0,oxidative_phosphorylation,breast_discovery,40,False
embedding__plip_034,10,0.2219069908285656,0.07893333169008741,1,luminal_estrogen_response,endocrine_epithelial_identity,1,0,0,luminal_estrogen_response,breast_discovery,40,False
embedding__plip_030,10,0.2175877751493338,0.07728144572603982,1,unfolded_protein_response,metabolic_stress,0,0,0,,breast_discovery,40,False
embedding__plip_048,10,0.2150291044419559,0.06298271857117885,1,oxidative_phosphorylation,metabolic_stress,0,0,0,,breast_discovery,40,False
embedding__plip_002,10,0.2146421920225409,0.09956290489814928,1,emt_invasive_front,invasion_boundary_emt,0,0,0,,breast_discovery,40,False
embedding__plip_000,10,0.2108473737349389,0.08246282055123691,1,unfolded_protein_response,metabolic_stress,0,0,0,,breast_discovery,40,False
embedding__plip_049,10,0.2101816192363435,0.09027741178406226,1,unfolded_protein_response,metabolic_stress,0,0,0,,breast_discovery,40,False
embedding__plip_039,10,0.2027904959306203,0.07848197577704037,1,myofibroblast_caf_activation,stromal_remodeling_caf_ecm,0,0,0,,breast_discovery,40,False
embedding__plip_042,10,0.1990854725726429,0.08030896713505406,1,unfolded_protein_response,metabolic_stress,0,0,0,,breast_discovery,40,False
embedding__plip_017,10,0.1862869081143857,0.07278928854453452,1,luminal_estrogen_response,endocrine_epithelial_identity,0,0,0,,breast_discovery,40,False
embedding__plip_054,10,0.1820120467311949,0.05840796718162654,1,unfolded_protein_response,metabolic_stress,0,0,0,,breast_discovery,40,False
embedding__plip_053,10,0.177115752533352,0.10958012048799973,1,oxidative_phosphorylation,metabolic_stress,0,0,0,,breast_discovery,40,False
