entity,Luminal-like Amorphous DCIS Cells,Myeloid Cells,T Lymphocytes,"CAFs, DCIS Associated",Pericytes,Endothelial Cells,B Cells,Dendritic Cells,Mast Cells,CXCL14+ Fibroblasts,Plasma Cells,11q13 Invasive Tumor Cells (Mitotic),Myoepithelial Cells,Apocrine Cells,Basal-like Structured DCIS Cells,Macrophages,11q13 Invasive Tumor Cells,Unassigned,11q13 Invasive Tumor Cells (G1/S),"CAFs, Invasive Associated"
MacrophageProgram,0.7530678276599657,0.22382153177848788,0.3672956378845384,0.28985752374096185,0.12514453283309426,0.12514453283309426,0.3672956378845384,0.3672956378845384,0.1548499202764467,0.12514453283309426,0.28985752374096185,0.3672956378845384,0.28985752374096185,0.7530678276599657,0.3672956378845384,0.0488802065880854,0.3672956378845384,1.0,0.3672956378845384,0.3672956378845384
PlasmaProgram,0.7395409217324446,0.2711576590333424,0.38877403094246915,0.13288917799793168,0.2711576590333424,0.2711576590333424,0.38877403094246915,0.38877403094246915,0.2711576590333424,0.2711576590333424,0.04923212293963461,0.38877403094246915,0.16964541204377584,0.7395409217324446,0.38877403094246915,0.2711576590333424,0.38877403094246915,1.0,0.38877403094246915,0.38877403094246915
VascularProgram,0.5369225276655706,0.25621633028595503,0.22259293263685437,0.5369225276655706,0.12549974818408952,0.12549974818408952,0.22259293263685437,0.22259293263685437,0.1677011786681252,0.12549974818408952,0.5369225276655706,0.34051177877780103,0.5369225276655706,1.0,0.22259293263685437,0.07905083139212797,0.34051177877780103,1.0,0.34051177877780103,0.34051177877780103
BasalDCISProgram,0.764771913563765,0.38791452960948664,0.16078620611767105,0.38791452960948664,0.38791452960948664,0.38791452960948664,0.16078620611767105,0.16078620611767105,0.38791452960948664,0.38791452960948664,0.38791452960948664,0.1942097681853979,0.38791452960948664,0.764771913563765,0.12722387937014984,0.38791452960948664,0.1942097681853979,1.0,0.1942097681853979,0.1942097681853979
ApocrineProgram,0.5234312281121862,0.7041234388019494,0.7041234388019494,0.7041234388019494,0.7041234388019494,0.7041234388019494,0.7041234388019494,0.7041234388019494,0.7041234388019494,0.7041234388019494,0.7041234388019494,0.7041234388019494,0.7041234388019494,0.27273128997346546,0.7041234388019494,0.7041234388019494,0.7041234388019494,1.0,0.7041234388019494,0.7041234388019494
LuminalAmorphousProgram,0.7364963175302394,0.28762638134638563,0.39785714859826576,0.186382802174398,0.28762638134638563,0.28762638134638563,0.39785714859826576,0.39785714859826576,0.28762638134638563,0.28762638134638563,0.186382802174398,0.39785714859826576,0.186382802174398,0.7364963175302394,0.39785714859826576,0.28762638134638563,0.39785714859826576,1.0,0.39785714859826576,0.39785714859826576
