pathway,Luminal-like Amorphous DCIS Cells,Myeloid Cells,T Lymphocytes,"CAFs, DCIS Associated",Pericytes,Endothelial Cells,B Cells,Dendritic Cells,Mast Cells,CXCL14+ Fibroblasts,Plasma Cells,11q13 Invasive Tumor Cells (Mitotic),Myoepithelial Cells,Apocrine Cells,Basal-like Structured DCIS Cells,Macrophages,11q13 Invasive Tumor Cells,Unassigned,11q13 Invasive Tumor Cells (G1/S),"CAFs, Invasive Associated"
MacrophageProgram,1.0,0.1788872427511294,0.4861945216668336,0.3782448344074752,0.1475130712441239,0.1475130712441239,0.4861945216668336,0.4861945216668336,0.2134035983703613,0.1475130712441239,0.3782448344074752,0.4861945216668336,0.3782448344074752,1.0,0.4861945216668336,0.0448076586741707,0.4861945216668336,,0.4861945216668336,0.4861945216668336
PlasmaProgram,1.0,0.3440363337496572,0.5243983822582784,0.1610457365116336,0.3440363337496572,0.3440363337496572,0.5243983822582784,0.5243983822582784,0.3440363337496572,0.3440363337496572,0.0542187054530819,0.5243983822582784,0.2374108378181479,1.0,0.5243983822582784,0.3440363337496572,0.5243983822582784,,0.5243983822582784,0.5243983822582784
VascularProgram,1.0,0.1714975553325071,0.4945133316746114,0.368967640961598,0.067589346159746,0.053436185152166,0.4945133316746114,0.4945133316746114,0.2044000058611745,0.0792565943929424,0.368967640961598,0.4945133316746114,0.368967640961598,1.0,0.4945133316746114,0.1446311582390674,0.4945133316746114,,0.4945133316746114,0.4945133316746114
BasalDCISProgram,1.0,0.4910259381424507,0.1680436755635137,0.4910259381424507,0.4910259381424507,0.4910259381424507,0.1680436755635137,0.1680436755635137,0.4910259381424507,0.4910259381424507,0.4910259381424507,0.2760630165417172,0.4910259381424507,1.0,0.0591387502530486,0.4910259381424507,0.2760630165417172,,0.2760630165417172,0.2760630165417172
ApocrineProgram,0.6667110717434134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0996130210477971,1.0,1.0,1.0,,1.0,1.0
LuminalAmorphousProgram,0.2622535111047203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7997361033851081,1.0,1.0,1.0,,1.0,1.0
