ligand,receptor,sender_celltype,receiver_celltype,anchor_source_ligand,anchor_source_receptor,structure_map_source,sender_anchor,receiver_anchor,structure_bridge,sender_expr,receiver_expr,local_contact,contact_strength_raw,contact_strength_normalized,contact_coverage,cross_edge_count,prior_confidence,LR_score
CXCL12,CXCR4,Luminal-like Amorphous DCIS Cells,Apocrine Cells,precomputed,precomputed,precomputed,0.0,0.0,0.2804286048148019,0.006120705198198609,0.002454914102060298,0.0,0.0014058106841611994,0.05712104617667089,0.0,97,1.0,1.2708972152018165e-05
DLL4,NOTCH3,Plasma Cells,Apocrine Cells,precomputed,precomputed,precomputed,0.6270397684181526,0.0,0.0,0.0012306151710811475,0.00526416445270294,0.0,0.0,0.0,0.0,24,1.0,1.2631604712907198e-05
DLL4,NOTCH3,Apocrine Cells,11q13 Invasive Tumor Cells (Mitotic),precomputed,precomputed,precomputed,0.0,0.5135084777480219,0.0,0.0001268124169210086,0.06060662711593698,0.0,0.0,0.0,0.0,2,1.0,1.2571216519032357e-05
CSF1,CSF1R,Myeloid Cells,Apocrine Cells,precomputed,precomputed,precomputed,0.8278276791208119,0.0,0.0,0.009981073684215833,0.0004638967946451689,0.0,0.0,0.0,0.0,24,1.0,1.2510021703594893e-05
DLL4,NOTCH3,Apocrine Cells,Myoepithelial Cells,precomputed,precomputed,precomputed,0.0,0.6229781712219108,0.0,0.0001268124169210086,0.04464016629523392,0.0,0.0,0.0,0.0,937,1.0,1.2337650417265152e-05
CXCL12,CXCR4,Mast Cells,Apocrine Cells,precomputed,precomputed,precomputed,0.7257649198759275,0.0,0.0,0.001641777062288553,0.002454914102060298,0.0,0.0,0.0,0.0,3,1.0,1.1958915930955043e-05
CSF1,CSF1R,11q13 Invasive Tumor Cells (G1/S),Apocrine Cells,precomputed,precomputed,precomputed,0.5095141455978388,0.0,0.0,0.011973593206576157,0.0004638967946451689,0.0,0.0,0.0,0.0,4,1.0,1.1893289077931603e-05
CXCL12,CXCR4,Myeloid Cells,Apocrine Cells,precomputed,precomputed,precomputed,0.7257649198759275,0.0,0.0,0.0015847932820241062,0.002454914102060298,0.0,0.003787878787878788,0.15390948553158545,0.0,24,1.0,1.1888714605043998e-05
JAG1,NOTCH1,Apocrine Cells,B Cells,precomputed,precomputed,precomputed,0.0,0.8470415641458264,0.0,0.0010709508378277067,0.0030854511812878796,0.0,0.0,0.0,0.0,11,1.0,1.1871339738035722e-05
JAG1,NOTCH1,Dendritic Cells,Apocrine Cells,precomputed,precomputed,precomputed,0.8289287788808167,0.0,0.0,0.001657584379221534,0.0019835632600448422,0.0,0.0,0.0,0.0,75,1.0,1.1818815568725077e-05
