ligand,Luminal-like Amorphous DCIS Cells,Myeloid Cells,T Lymphocytes,"CAFs, DCIS Associated",Pericytes,Endothelial Cells,B Cells,Dendritic Cells,Mast Cells,CXCL14+ Fibroblasts,Plasma Cells,11q13 Invasive Tumor Cells (Mitotic),Myoepithelial Cells,Apocrine Cells,Basal-like Structured DCIS Cells,Macrophages,11q13 Invasive Tumor Cells,Unassigned,11q13 Invasive Tumor Cells (G1/S),"CAFs, Invasive Associated"
CSF1,1.0,0.1721723208791881,0.4904858544021612,0.371876523953635,0.1242477263372636,0.1242477263372636,0.4904858544021612,0.4904858544021612,0.207633353724241,0.1242477263372636,0.371876523953635,0.4904858544021612,0.371876523953635,1.0,0.4904858544021612,0.0886227937260842,0.4904858544021612,,0.4904858544021612,0.4904858544021612
CXCL12,1.0,0.2742350801240725,0.5172156735572931,0.1598608962662095,0.2742350801240725,0.2742350801240725,0.5172156735572931,0.5172156735572931,0.2742350801240725,0.2742350801240725,0.177656941059776,0.5172156735572931,0.4124823124653948,1.0,0.5172156735572931,0.2742350801240725,0.5172156735572931,,0.5172156735572931,0.5172156735572931
TGFB1,0.6222267689928328,0.2578309442258978,0.1448386559880897,0.6222267689928328,0.2578309442258978,0.2578309442258978,0.1448386559880897,0.1448386559880897,0.2578309442258978,0.2578309442258978,0.6222267689928328,0.385385173161737,0.6222267689928328,1.0,0.1658486394942052,0.1103102459754006,0.385385173161737,,0.385385173161737,0.385385173161737
JAG1,1.0,0.4911090522487261,0.1710712211191833,0.4911090522487261,0.4911090522487261,0.4911090522487261,0.1710712211191833,0.1710712211191833,0.4911090522487261,0.4911090522487261,0.4911090522487261,0.2706931282002702,0.4911090522487261,1.0,0.100856257943163,0.4911090522487261,0.2706931282002702,,0.2706931282002702,0.2706931282002702
DLL4,1.0,0.1728042825902709,0.4901177310132269,0.3729602315818474,0.1000304525850585,0.1000304525850585,0.4901177310132269,0.4901177310132269,0.2100407370851527,0.1000304525850585,0.3729602315818474,0.4901177310132269,0.3729602315818474,1.0,0.4901177310132269,0.1444432503143139,0.4901177310132269,,0.4901177310132269,0.4901177310132269
