entity,ApocrineProgram,BasalDCISProgram,LuminalAmorphousProgram,MacrophageProgram,PlasmaProgram,VascularProgram
ApocrineProgram,0.0,1.0,0.7207907568644287,0.6452252996019147,0.5699665568527971,0.5699665568527971
BasalDCISProgram,1.0,0.0,1.0,1.0,1.0,1.0
LuminalAmorphousProgram,0.7207907568644287,1.0,0.0,0.7207907568644287,0.7207907568644287,0.7207907568644287
MacrophageProgram,0.6452252996019147,1.0,0.7207907568644287,0.0,0.6452252996019147,0.6452252996019147
PlasmaProgram,0.5699665568527971,1.0,0.7207907568644287,0.6452252996019147,0.0,0.4590391122934444
VascularProgram,0.5699665568527971,1.0,0.7207907568644287,0.6452252996019147,0.4590391122934444,0.0
