receptor,Luminal-like Amorphous DCIS Cells,Myeloid Cells,T Lymphocytes,"CAFs, DCIS Associated",Pericytes,Endothelial Cells,B Cells,Dendritic Cells,Mast Cells,CXCL14+ Fibroblasts,Plasma Cells,11q13 Invasive Tumor Cells (Mitotic),Myoepithelial Cells,Apocrine Cells,Basal-like Structured DCIS Cells,Macrophages,11q13 Invasive Tumor Cells,Unassigned,11q13 Invasive Tumor Cells (G1/S),"CAFs, Invasive Associated"
CSF1R,1.0,0.1772664258208776,0.4861945216668336,0.3771069485403801,0.1436997887810323,0.1436997887810323,0.4861945216668336,0.4861945216668336,0.2123617969525526,0.1436997887810323,0.3771069485403801,0.4861945216668336,0.3771069485403801,1.0,0.4861945216668336,0.0448076586741707,0.4861945216668336,,0.4861945216668336,0.4861945216668336
CXCR4,0.6238130255516013,0.2629201445828225,0.070932545577834,0.6238130255516013,0.2629201445828225,0.2629201445828225,0.0508124166781717,0.106542544453178,0.2629201445828225,0.2629201445828225,0.6238130255516013,0.3832948868557958,0.6238130255516013,1.0,0.1562918080440093,0.2629201445828225,0.3832948868557958,,0.3832948868557958,0.3832948868557958
TGFBR2,1.0,0.1714170199633326,0.498542095845811,0.3651403166690368,0.0549728131955646,0.0329009365250621,0.498542095845811,0.498542095845811,0.2026781518714717,0.0730767931791288,0.3651403166690368,0.498542095845811,0.3651403166690368,1.0,0.498542095845811,0.1481212397266401,0.498542095845811,,0.498542095845811,0.498542095845811
NOTCH1,0.62278481419459,0.2604255762705019,0.1529584358541735,0.62278481419459,0.2604255762705019,0.2604255762705019,0.1529584358541735,0.1529584358541735,0.2604255762705019,0.2604255762705019,0.62278481419459,0.3839676509525542,0.62278481419459,1.0,0.093476852299798,0.2604255762705019,0.3839676509525542,,0.3839676509525542,0.3839676509525542
NOTCH3,1.0,0.1740598988268207,0.4864915222519781,0.3770218287780892,0.1455739706091542,0.1455739706091542,0.4864915222519781,0.4864915222519781,0.2149506473790615,0.1455739706091542,0.3770218287780892,0.4864915222519781,0.3770218287780892,1.0,0.4864915222519781,0.12913735776189,0.4864915222519781,,0.4864915222519781,0.4864915222519781
