sample_name,xenium_root,output_dir,n_cells,n_passing_pathways,n_pathways,n_associations,n_spatial_nulls,n_negative_controls,he_features_available,he_cells_inside_fraction,top_pathway,top_family,top_image_feature,top_abs_partial_rho,validation_recovered,validation_total
breast_discovery,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Breast_Cancer_outs,benchmarking\morphopathway_atera\results\he_only_smoke_20260512_1742\breast_discovery,2500,10,10,110,10,10,True,1.0,unfolded_protein_response,metabolic_stress,image__he_lowres_x,0.07371091964158687,0,10
cervical_validation,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Cervical_Cancer_outs,benchmarking\morphopathway_atera\results\he_only_smoke_20260512_1742\cervical_validation,2500,10,10,110,10,10,True,1.0,luminal_estrogen_response,endocrine_epithelial_identity,image__he_lowres_y,0.047289199601214735,0,10
