image_feature,n_associations,max_abs_partial_spearman_rho,mean_abs_partial_spearman_rho,top_k_count,top_k_pathways,top_k_families,negative_control_rows,negative_control_fail95,negative_control_fail99,negative_control_pathways,sample_role,top_k,candidate_generic_axis,run_id,run_dir
embedding__plip_061,10,0.2175050711043657,0.0940513296738544,1,unfolded_protein_response,metabolic_stress,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_053,10,0.2094939105961832,0.0907437934552049,1,myofibroblast_caf_activation,stromal_remodeling_caf_ecm,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_058,10,0.1964608898046139,0.0758299103721537,1,luminal_estrogen_response,endocrine_epithelial_identity,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_019,10,0.1868766907124746,0.0743760815829847,1,oxidative_phosphorylation,metabolic_stress,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_023,10,0.1861582632204115,0.0964815109831221,1,myofibroblast_caf_activation,stromal_remodeling_caf_ecm,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_048,10,0.1851967943148918,0.0967768868983033,1,myofibroblast_caf_activation,stromal_remodeling_caf_ecm,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_028,10,0.1810960906823274,0.0737693390721992,1,oxidative_phosphorylation,metabolic_stress,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_042,10,0.1810621046797413,0.0797258129393233,1,collagen_ecm_organization,stromal_remodeling_caf_ecm,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_057,10,0.1806048569494105,0.0785259114955481,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_032,10,0.180541200657558,0.0705211997466458,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_008,10,0.1714361972422023,0.0841110728013558,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_029,10,0.1702942580232103,0.0582059715897013,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_059,10,0.1690472037553886,0.0624928344959967,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_047,10,0.1671010021811069,0.0484172085556642,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_051,10,0.1669856777071166,0.0727519749515365,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
