sample_role,pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
breast_discovery,epithelial_identity,endocrine_epithelial_identity,embedding__plip_071,0.2216465002014341,0.2216465002014341,0.0007304749383449,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,1,0.0769230769230769,0.1023156951842787,0.1230815564339426,True,True,0.0769230769230769,0.1669314526845501,0.1700073211464226,True,True
breast_discovery,unfolded_protein_response,metabolic_stress,embedding__plip_013,0.2075478751916486,0.2075478751916486,0.0015883310154519,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,2,0.0769230769230769,0.1147232147643254,0.1308553044261487,True,True,0.1538461538461538,0.2045266100800332,0.2185146897336632,True,False
breast_discovery,unfolded_protein_response,metabolic_stress,embedding__plip_109,0.2056972118239545,0.2056972118239545,0.0017524665643188,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,3,0.0769230769230769,0.0883932070190749,0.1043786529347391,True,True,0.0769230769230769,0.1439697618647399,0.1462184424451281,True,True
breast_discovery,unfolded_protein_response,metabolic_stress,embedding__plip_028,0.1966258258638939,0.1966258258638939,0.0028041122829982,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,4,0.0769230769230769,0.1265335972133882,0.1432663482987658,True,True,0.0769230769230769,0.1605748518529536,0.1666103782045812,True,True
breast_discovery,unfolded_protein_response,metabolic_stress,embedding__plip_077,0.1915754073838849,0.1915754073838849,0.0036119649068366,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,5,0.0769230769230769,0.1338190356841296,0.1407642268732065,True,True,0.0769230769230769,0.1040236639075551,0.1072504473157996,True,True
breast_discovery,unfolded_protein_response,metabolic_stress,embedding__plip_030,0.1878198755041953,0.1878198755041953,0.0043431021860809,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,6,0.0769230769230769,0.1353058245849347,0.1386652948240636,True,True,0.0769230769230769,0.1259758538648581,0.1267494524024332,True,True
breast_discovery,unfolded_protein_response,metabolic_stress,embedding__plip_009,-0.1863113853639642,0.1863113853639642,0.0046725104670062,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,7,0.0769230769230769,0.0824597270765759,0.1220115365198933,True,True,0.0769230769230769,0.1492416474848894,0.1557944203930392,True,True
breast_discovery,unfolded_protein_response,metabolic_stress,embedding__plip_074,0.1839094299427784,0.1839094299427784,0.0052435758792614,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,8,0.1538461538461538,0.186348347189917,0.2070205176537182,False,False,0.0769230769230769,0.1233179773976014,0.1381865458843485,True,True
breast_discovery,epithelial_identity,endocrine_epithelial_identity,embedding__plip_030,0.1821287748381294,0.1821287748381294,0.0057065492933823,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,9,0.0769230769230769,0.1013571106702523,0.1017648595561934,True,True,0.1538461538461538,0.17909752436434,0.191039907575672,True,False
breast_discovery,unfolded_protein_response,metabolic_stress,embedding__plip_076,0.1792226416548517,0.1792226416548517,0.0065411884712988,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,10,0.0769230769230769,0.1191054180685448,0.1206577309969337,True,True,0.1538461538461538,0.1571405999932527,0.1766620765319234,True,True
breast_discovery,unfolded_protein_response,metabolic_stress,embedding__plip_089,-0.1754824792956992,0.1754824792956992,0.007775042871783,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,11,,,,,,,,,,
breast_discovery,collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_095,0.1748675932947921,0.1748675932947921,0.0079966168436698,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,12,,,,,,,,,,
