pathway,image_feature,observed_abs_partial_spearman_rho,n_present_genes,n_negative_controls,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
luminal_estrogen_response,embedding__plip_039,0.2900097427183454,10,32,0.06060606060606061,0.24345088092734712,0.29828653659457993,True,False
myofibroblast_caf_activation,embedding__plip_035,0.2883179306795509,7,32,0.030303030303030304,0.2050095377920505,0.22250262965846523,True,True
immune_exclusion,embedding__plip_045,0.2854522948942853,7,32,0.06060606060606061,0.21226912179449164,0.27840370082244165,True,True
luminal_estrogen_response,embedding__plip_040,0.2667783397826503,10,32,0.09090909090909091,0.2687738443133206,0.2852440979713425,False,False
unfolded_protein_response,embedding__plip_009,0.2576724012334651,7,32,0.06060606060606061,0.22738801716775456,0.25829245703691267,True,False
luminal_estrogen_response,embedding__plip_036,0.24947405795705013,10,32,0.030303030303030304,0.19725728751942456,0.1981961654355153,True,True
luminal_estrogen_response,embedding__plip_011,0.24861329772141383,10,32,0.030303030303030304,0.17774678505276323,0.18856065580965067,True,True
luminal_estrogen_response,embedding__plip_063,0.24472202784418182,10,32,0.030303030303030304,0.16352696902934716,0.20031966838695198,True,True
myofibroblast_caf_activation,embedding__plip_039,0.24276274916883295,7,32,0.09090909090909091,0.22917795510524877,0.25197082444946034,True,False
myofibroblast_caf_activation,embedding__plip_044,0.23936208122549407,7,32,0.09090909090909091,0.2501943104840909,0.3140435629243242,False,False
