pathway,image_feature,observed_abs_partial_spearman_rho,n_present_genes,n_negative_controls,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
unfolded_protein_response,embedding__plip_013,0.20754787519164866,7,12,0.07692307692307693,0.17561494065843042,0.19824220405613463,True,True
unfolded_protein_response,embedding__plip_028,0.19662582586389396,7,12,0.07692307692307693,0.14832560340022463,0.1493350431031768,True,True
unfolded_protein_response,embedding__plip_030,0.18781987550419532,7,12,0.07692307692307693,0.10766887306294044,0.11057630384073737,True,True
unfolded_protein_response,embedding__plip_009,0.18631138536396427,7,12,0.07692307692307693,0.14492552297776273,0.16415207574350743,True,True
epithelial_identity,embedding__plip_030,0.1821287748381294,7,12,0.15384615384615385,0.1862200977694687,0.21497465752710568,False,False
myofibroblast_caf_activation,embedding__plip_040,0.17324976430659975,7,12,0.07692307692307693,0.08876600176142346,0.09380856034300096,True,True
epithelial_identity,embedding__plip_024,0.1701211535948875,7,12,0.07692307692307693,0.1313550653451775,0.1361047448687243,True,True
luminal_estrogen_response,embedding__plip_013,0.1663530157986767,10,12,0.15384615384615385,0.1757830700725047,0.20487273831531125,False,False
luminal_estrogen_response,embedding__plip_009,0.1645461364942931,10,12,0.15384615384615385,0.160211312233802,0.17442147666377888,True,False
myofibroblast_caf_activation,embedding__plip_045,0.1634329487742112,7,12,0.07692307692307693,0.08459431318061136,0.09275917841214254,True,True
