pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99,sample_role
basal_squamous_state,endocrine_epithelial_identity,embedding__plip_047,-0.2792427532995215,0.2792427532995215,0.0009941162854972,136,"structure,x,y,boundary_distance,log_total_counts",0.2264749808969312,2,0.0769230769230769,0.1170770324552998,0.124028728498538,True,True,0.1538461538461538,0.2262423225956513,0.294080940605305,True,False,breast_discovery
immune_activation,immune_ecology,embedding__plip_052,-0.3031426892947546,0.3031426892947546,0.0003340133590884,136,"structure,x,y,boundary_distance,log_total_counts",0.2137685498165894,1,0.0769230769230769,0.1661537285453513,0.1675033152375473,True,True,0.0769230769230769,0.1212424096092363,0.134989813739809,True,True,breast_discovery
emt_invasive_front,invasion_boundary_emt,embedding__plip_062,0.2713505121112711,0.2713505121112711,0.0013962349892836,136,"structure,x,y,boundary_distance,log_total_counts",0.2264749808969312,3,0.0769230769230769,0.100769644434362,0.1193935401346158,True,True,0.0769230769230769,0.1581599495619076,0.1954981255988802,True,True,breast_discovery
unfolded_protein_response,metabolic_stress,embedding__plip_003,-0.2574753851414333,0.2574753851414333,0.0024770701035601,136,"structure,x,y,boundary_distance,log_total_counts",0.2264749808969312,7,0.0769230769230769,0.1886956269831634,0.2010751051436157,True,True,0.0769230769230769,0.2343956190973624,0.2351295838433964,True,True,breast_discovery
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_012,-0.2423648320393421,0.2423648320393421,0.004471078545853,136,"structure,x,y,boundary_distance,log_total_counts",0.2640324944297127,9,0.0769230769230769,0.1641478568878022,0.1981220556090743,True,True,0.0769230769230769,0.1554820461605257,0.1605456997111208,True,True,breast_discovery
basal_squamous_state,endocrine_epithelial_identity,embedding__plip_043,0.2241406342159433,0.2241406342159433,0.0089646162758794,135,"structure,x,y,boundary_distance,log_total_counts",0.3390227144108353,14,,,,,,,,,,,cervical_validation
immune_exclusion,immune_ecology,embedding__plip_047,-0.3376933121893652,0.3376933121893652,6.189386390431978e-05,135,"structure,x,y,boundary_distance,log_total_counts",0.0257461372798799,1,0.0769230769230769,0.2322083283864273,0.245974638957882,True,True,0.0769230769230769,0.2206653248331475,0.2355113260078776,True,True,cervical_validation
emt_invasive_front,invasion_boundary_emt,embedding__plip_005,0.2208019946712016,0.2208019946712016,0.0100682802800871,135,"structure,x,y,boundary_distance,log_total_counts",0.3390227144108353,19,,,,,,,,,,,cervical_validation
oxidative_phosphorylation,metabolic_stress,embedding__plip_032,-0.2818588070335505,0.2818588070335505,0.000926772171448,135,"structure,x,y,boundary_distance,log_total_counts",0.1737965385387163,3,0.0769230769230769,0.1372975014703447,0.1395650005471227,True,True,0.0769230769230769,0.1726990141231306,0.1764091835071491,True,True,cervical_validation
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_043,-0.3327348653129739,0.3327348653129739,8.045667899962474e-05,135,"structure,x,y,boundary_distance,log_total_counts",0.0257461372798799,2,0.0769230769230769,0.12268341870297,0.1545216694101015,True,True,0.0769230769230769,0.2956038980310172,0.3145572080373421,True,True,cervical_validation
