image_feature,n_associations,max_abs_partial_spearman_rho,mean_abs_partial_spearman_rho,top_k_count,top_k_pathways,top_k_families,negative_control_rows,negative_control_fail95,negative_control_fail99,negative_control_pathways,sample_role,top_k,candidate_generic_axis
embedding__plip_031,10,0.2649617009832263,0.11461727031636233,3,basal_squamous_state;emt_invasive_front;unfolded_protein_response,endocrine_epithelial_identity;invasion_boundary_emt;metabolic_stress,1,0,0,basal_squamous_state,breast_discovery,40,False
embedding__plip_003,10,0.2574753851414333,0.1313989246618091,3,basal_squamous_state;luminal_estrogen_response;unfolded_protein_response,endocrine_epithelial_identity;metabolic_stress,1,0,0,unfolded_protein_response,breast_discovery,40,False
embedding__plip_012,10,0.2423648320393421,0.12313094738145924,3,emt_invasive_front;immune_exclusion;myofibroblast_caf_activation,immune_ecology;invasion_boundary_emt;stromal_remodeling_caf_ecm,1,0,0,myofibroblast_caf_activation,breast_discovery,40,False
embedding__plip_062,10,0.2713505121112711,0.158532112026381,2,emt_invasive_front;immune_exclusion,immune_ecology;invasion_boundary_emt,1,0,0,emt_invasive_front,breast_discovery,40,False
embedding__plip_025,10,0.2601740889083889,0.07548776198759441,2,basal_squamous_state;emt_invasive_front,endocrine_epithelial_identity;invasion_boundary_emt,1,0,0,basal_squamous_state,breast_discovery,40,False
embedding__plip_002,10,0.2400645351203894,0.10655582013980629,2,basal_squamous_state;emt_invasive_front,endocrine_epithelial_identity;invasion_boundary_emt,1,0,0,basal_squamous_state,breast_discovery,40,False
embedding__plip_053,10,0.2385008610615197,0.11421508882557048,2,emt_invasive_front;immune_exclusion,immune_ecology;invasion_boundary_emt,0,0,0,,breast_discovery,40,False
embedding__plip_045,10,0.2369833133941487,0.10185661342385319,2,immune_exclusion;myofibroblast_caf_activation,immune_ecology;stromal_remodeling_caf_ecm,0,0,0,,breast_discovery,40,False
embedding__plip_030,10,0.2187515244868514,0.12387872854744728,2,oxidative_phosphorylation;unfolded_protein_response,metabolic_stress,0,0,0,,breast_discovery,40,False
embedding__plip_052,10,0.3031426892947546,0.09411865188162058,1,immune_activation,immune_ecology,1,0,0,immune_activation,breast_discovery,40,False
embedding__plip_047,10,0.2792427532995215,0.11058308188507884,1,basal_squamous_state,endocrine_epithelial_identity,1,0,1,basal_squamous_state,breast_discovery,40,False
embedding__plip_022,10,0.2603710160932079,0.10783176315175302,1,basal_squamous_state,endocrine_epithelial_identity,1,0,0,basal_squamous_state,breast_discovery,40,False
embedding__plip_024,10,0.2527543038413972,0.08497173116614738,1,immune_activation,immune_ecology,1,0,0,immune_activation,breast_discovery,40,False
embedding__plip_006,10,0.2355242565068775,0.08052057412221904,1,immune_activation,immune_ecology,0,0,0,,breast_discovery,40,False
embedding__plip_026,10,0.2215910141820716,0.11267012493003277,1,basal_squamous_state,endocrine_epithelial_identity,0,0,0,,breast_discovery,40,False
embedding__plip_005,10,0.2207860446433269,0.10016259104289216,1,luminal_estrogen_response,endocrine_epithelial_identity,0,0,0,,breast_discovery,40,False
embedding__plip_058,10,0.2202300446299371,0.09519560899649035,1,unfolded_protein_response,metabolic_stress,0,0,0,,breast_discovery,40,False
embedding__plip_029,10,0.2070893007991057,0.12254834432465675,1,immune_exclusion,immune_ecology,0,0,0,,breast_discovery,40,False
embedding__plip_028,10,0.2070246445564989,0.09017239102983501,1,unfolded_protein_response,metabolic_stress,0,0,0,,breast_discovery,40,False
embedding__plip_013,10,0.2042375118854933,0.11020515275822365,1,unfolded_protein_response,metabolic_stress,0,0,0,,breast_discovery,40,False
embedding__plip_037,10,0.2030190329447578,0.07950202168007549,1,emt_invasive_front,invasion_boundary_emt,0,0,0,,breast_discovery,40,False
embedding__plip_043,10,0.1971176956657483,0.07727135134031815,1,myofibroblast_caf_activation,stromal_remodeling_caf_ecm,0,0,0,,breast_discovery,40,False
embedding__plip_001,10,0.1949946115669537,0.07769810600390983,1,immune_activation,immune_ecology,0,0,0,,breast_discovery,40,False
embedding__plip_009,10,0.1932921432400051,0.08836751928020213,1,unfolded_protein_response,metabolic_stress,0,0,0,,breast_discovery,40,False
embedding__plip_059,10,0.1926949330217314,0.10006436437855777,1,luminal_estrogen_response,endocrine_epithelial_identity,0,0,0,,breast_discovery,40,False
embedding__plip_041,10,0.1904950973263085,0.09713345800536498,1,immune_activation,immune_ecology,0,0,0,,breast_discovery,40,False
embedding__plip_019,10,0.1901994226706188,0.0664087464207246,1,unfolded_protein_response,metabolic_stress,0,0,0,,breast_discovery,40,False
embedding__plip_061,10,0.1899608424487407,0.09984456551108364,1,epithelial_identity,endocrine_epithelial_identity,0,0,0,,breast_discovery,40,False
embedding__plip_020,10,0.1795467311055705,0.056523605706927195,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_032,10,0.1790273435582567,0.08615628254916181,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_036,10,0.1783254832708858,0.10910626436646324,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_044,10,0.1774344603204804,0.08861341808060524,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_016,10,0.1770007733261861,0.08249555926807782,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_057,10,0.1723303521053422,0.09286509864054168,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_046,10,0.1689588654283284,0.05452799001245588,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_023,10,0.157435027731662,0.06557881498795991,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_014,10,0.1571426539541679,0.09814585508574017,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_056,10,0.1569438843144016,0.06206267521189851,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_007,10,0.1539999844215512,0.0687719510205411,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_008,10,0.1523087849370856,0.08464760449878504,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_035,10,0.151264747749359,0.06572617611512722,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_048,10,0.1512585699055025,0.08570173340137109,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_063,10,0.1483265975666678,0.07958207273537024,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_060,10,0.1481021646073799,0.06389260639436724,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_050,10,0.1453548958178459,0.08906527498612946,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_021,10,0.1435966059741583,0.07031055200739726,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_049,10,0.1431353742745592,0.09291631117293528,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_051,10,0.1430104944451729,0.0737662871982385,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_011,10,0.1429188310000587,0.09606473497044246,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_004,10,0.1425314540212016,0.06296357295178964,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_054,10,0.14168447251658,0.07446941646214755,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_015,10,0.1374898504053912,0.06444007531967647,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_038,10,0.129890001248994,0.0719094624985943,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_010,10,0.128721488143636,0.06660558852032215,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_040,10,0.1280866639952438,0.05178708648191799,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_039,10,0.1274771110692783,0.0529636874931408,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_034,10,0.1257947386381224,0.06377603619310734,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_000,10,0.1206757289429157,0.05156927962368209,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_017,10,0.1201606875097868,0.03824747755854616,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_055,10,0.1119956093035405,0.07273760038157749,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_018,10,0.1118651878904143,0.05436764584645526,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_027,10,0.1108567325683513,0.04800485092314235,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_042,10,0.0950718582191277,0.053707082689672406,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_033,10,0.0911217234130291,0.05020988662825876,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_043,10,0.3327348653129739,0.1828105972707304,6,basal_squamous_state;collagen_ecm_organization;emt_invasive_front;epithelial_identity;immune_exclusion;luminal_estrogen_response,endocrine_epithelial_identity;immune_ecology;invasion_boundary_emt;stromal_remodeling_caf_ecm,2,0,0,collagen_ecm_organization;immune_exclusion,cervical_validation,40,False
