sample_name,xenium_root,output_dir,n_cells,aggregation,analysis_observations,n_passing_pathways,n_pathways,n_associations,n_spatial_nulls,n_negative_controls,he_features_available,he_cells_inside_fraction,top_pathway,top_family,top_image_feature,top_abs_partial_rho,validation_recovered,validation_total
breast_discovery,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Breast_Cancer_outs,benchmarking\morphopathway_atera\results\he_texture_block_6k_smoke_20260512_1758\breast_discovery,6000,spatial-block,343,10,10,240,10,10,True,1.0,unfolded_protein_response,metabolic_stress,image__he_hematoxylin_proxy,0.13451582044821597,5,10
cervical_validation,Y:\long\10X_datasets\Xenium\Atera\WTA_Preview_FFPE_Cervical_Cancer_outs,benchmarking\morphopathway_atera\results\he_texture_block_6k_smoke_20260512_1758\cervical_validation,6000,spatial-block,365,10,10,240,10,10,True,1.0,collagen_ecm_organization,stromal_remodeling_caf_ecm,image__he_b_mean,0.27215044607146194,5,10
