branch,model,held_out_auc,branch_target_correlation,spatial_coherence,roi_reproducibility,mean_in_held_out,mean_outside_held_out,delta_in_minus_out,benchmark_score
epithelial_emt_front,emt_only,0.6842331159954811,0.28030941444660973,0.5665561435496891,0.5495985667838896,0.07666532695293427,-0.3135519325733185,0.39021724462509155,0.6643161154443801
epithelial_emt_front,joint_minus_checkpoint,0.592257453709979,0.12433868857875992,0.6252645583712325,0.6449304522788908,0.07280249893665314,-0.08225008100271225,0.1550525724887848,0.6529973823659665
epithelial_emt_front,protein_only,0.567950796343234,0.06902724527543215,0.6321383580204958,0.6658364761972533,0.15054558217525482,0.02429562248289585,0.12624995410442352,0.6460925185471128
epithelial_emt_front,joint_minus_myeloid,0.5921623466225462,0.12330262223150171,0.5981696836735384,0.6280375135097445,0.10100386291742325,-0.027007989585399628,0.12801185250282288,0.6452340032712027
epithelial_emt_front,joint_activity,0.5887104983390992,0.1133721158074503,0.6248080419134399,0.5723417785066435,0.06330902874469757,-0.05959217622876167,0.12290120124816895,0.6325355889265469
epithelial_emt_front,joint_minus_vascular,0.6165882245237981,0.16595924361140427,0.6212792317478969,0.49139148510766595,0.020572802051901817,-0.15417172014713287,0.17474451661109924,0.6253997368277786
epithelial_emt_front,epithelial_emt_front_branch,0.6165882245237981,0.16595924361140427,0.6212792317478969,0.49139148510766595,0.020572802051901817,-0.15417172014713287,0.17474451661109924,0.6253997368277786
epithelial_emt_front,vascular_only,0.49177250990460797,-0.05360615200495208,0.5986651282797075,0.6519618239660657,0.1915176808834076,0.22414644062519073,-0.03262875974178314,0.6040659555020128
epithelial_emt_front,discordance_burden,0.5122829703325481,0.009258885602757646,0.25922618011585324,0.7586303939962477,0.7098771333694458,0.6966418623924255,0.013235270977020264,0.6012889742970253
epithelial_emt_front,joint_minus_emt,0.5207077353798275,-0.008729654299259577,0.5601580360966618,0.5753625849091243,0.05885691940784454,0.025061069056391716,0.03379584848880768,0.5929461277969132
epithelial_emt_front,myeloid_vascular_branch,0.5207077353798275,-0.008729654299259577,0.5601580360966618,0.5753625849091243,0.05885691940784454,0.025061069056391716,0.03379584848880768,0.5929461277969132
epithelial_emt_front,myeloid_only,0.5355451288304718,0.032343301116759066,0.5339739259941624,0.5403691170941428,-0.04977550357580185,-0.1573447585105896,0.10756925493478775,0.5897682148700188
epithelial_emt_front,rna_only,0.5783029823244334,0.12194043679451072,0.45007815225560505,0.45573602802145,-0.023927519097924232,-0.14347997307777405,0.11955245584249496,0.5800120762177353
epithelial_emt_front,checkpoint_only,0.5073069668523421,0.002055083200230947,0.36091398120447094,0.5089908965162286,0.034828588366508484,0.008381531573832035,0.026447057723999023,0.5494455988927305
myeloid_vascular,vascular_only,0.5438159779873261,0.22928176260397495,0.5986651282797075,0.6519618239660657,0.3255600929260254,0.1921050101518631,0.1334550827741623,0.6524378118488082
myeloid_vascular,protein_only,0.515457621569835,0.14604423674673037,0.6321383580204958,0.6658364761972533,0.08141420036554337,0.06547282636165619,0.015941374003887177,0.6425963487876754
myeloid_vascular,joint_minus_checkpoint,0.5274228578960857,0.15087496466372047,0.6252645583712325,0.6449304522788908,0.0034221666865050793,-0.034537963569164276,0.03796013072133064,0.6401057679231132
myeloid_vascular,joint_minus_emt,0.5743569378072281,0.226741319561439,0.5601580360966618,0.5753625849091243,0.12115739285945892,0.021199440583586693,0.09995795041322708,0.6357923001363507
myeloid_vascular,myeloid_vascular_branch,0.5743569378072281,0.226741319561439,0.5601580360966618,0.5753625849091243,0.12115739285945892,0.021199440583586693,0.09995795041322708,0.6357923001363507
myeloid_vascular,joint_activity,0.5270383362886681,0.15127514022483968,0.6248080419134399,0.5723417785066435,0.008875994011759758,-0.021876830607652664,0.030752824619412422,0.6218554264661128
myeloid_vascular,joint_minus_myeloid,0.49190008989667267,0.11462791643680234,0.5981696836735384,0.6280375135097445,0.00760979438200593,0.019035309553146362,-0.01142551563680172,0.6190841008653969
myeloid_vascular,myeloid_only,0.549034073033592,0.11288533424343024,0.5339739259941624,0.5403691170941428,0.012674587778747082,-0.14461325109004974,0.1572878360748291,0.6032082050616328
myeloid_vascular,discordance_burden,0.4968905583217172,0.054757775450331676,0.25922618011585324,0.7586303939962477,0.6955038905143738,0.7022711634635925,-0.00676727294921875,0.6031282325252644
myeloid_vascular,joint_minus_vascular,0.5003462070862742,0.04934358218294215,0.6212792317478969,0.49139148510766595,-0.09668538719415665,-0.09320410341024399,-0.0034812837839126587,0.5817622747898399
myeloid_vascular,epithelial_emt_front_branch,0.5003462070862742,0.04934358218294215,0.6212792317478969,0.49139148510766595,-0.09668538719415665,-0.09320410341024399,-0.0034812837839126587,0.5817622747898399
myeloid_vascular,rna_only,0.536566913283815,0.09609356174067318,0.45007815225560505,0.45573602802145,-0.06366220116615295,-0.10922649502754211,0.04556429386138916,0.566347199575851
myeloid_vascular,checkpoint_only,0.5121709225452636,0.05039483547345115,0.36091398120447094,0.5089908965162286,0.025237469002604485,0.016106560826301575,0.00913090817630291,0.5567040568501134
myeloid_vascular,emt_only,0.41357888581537194,-0.08278410243775557,0.5665561435496891,0.5495985667838896,-0.32796818017959595,-0.15110564231872559,-0.17686253786087036,0.5512658682888071
