pathway,n_markers,mean_signed_discordance,mean_abs_discordance
vascular_stromal,2,0.42572709918022156,0.8879015445709229
epithelial_emt,3,-0.029077285900712013,0.7672330141067505
myeloid_activation,3,0.2486627846956253,0.6487901210784912
checkpoint,4,0.03505369648337364,0.5009496212005615
lymphoid_effector,3,4.195351621660848e-09,0.32258301973342896
