branch,label,protein,gene,abs_target_correlation,signed_target_correlation,mean_abs_in_held_out,mean_abs_outside_held_out,delta_abs_in_minus_out,abs_rank_score
epithelial_emt_front,panck,PanCK,EPCAM,0.18366988783638155,0.12958673548807376,0.800774335861206,0.38882118463516235,0.4119531512260437,0.18366988783638155
epithelial_emt_front,vimentin,Vimentin,VIM,-0.10107280684234506,-0.1215575647259048,1.1040613651275635,1.4774874448776245,-0.37342607975006104,0.10107280684234506
epithelial_emt_front,cd20,CD20,MS4A1,-0.09652010078488009,-0.04728578756975371,0.10665964335203171,0.25116780400276184,-0.14450815320014954,0.09652010078488009
epithelial_emt_front,hla_dr,HLA-DR,HLA-DRA,-0.072340326595338,-0.046604943017375215,0.9721188545227051,1.1888803243637085,-0.21676146984100342,0.072340326595338
epithelial_emt_front,alpha_sma,alphaSMA,ACTA2,0.05822962098120551,0.030914274519158985,1.6039363145828247,1.3845363855361938,0.21939992904663086,0.05822962098120551
epithelial_emt_front,vista,VISTA,VSIR,-0.0497683960833328,-0.06661853788043068,0.9011629223823547,0.9494739174842834,-0.04831099510192871,0.0497683960833328
epithelial_emt_front,cd31,CD31,PECAM1,-0.044429074424241474,-0.03321642631993511,0.7130017876625061,0.7528324723243713,-0.039830684661865234,0.044429074424241474
epithelial_emt_front,cd68,CD68,CD68,0.040045879567043925,-0.033930958742664045,0.8289123177528381,0.7427382469177246,0.08617407083511353,0.040045879567043925
epithelial_emt_front,e_cadherin,E-Cadherin,CDH1,-0.036926796526941086,0.05370952938177433,1.0633858442306519,1.2116165161132812,-0.1482306718826294,0.036926796526941086
epithelial_emt_front,lag3,LAG-3,LAG3,0.030293881258723544,-0.002342085137288981,0.7367148995399475,0.6442846655845642,0.0924302339553833,0.030293881258723544
epithelial_emt_front,cd138,CD138,SDC1,0.021432628476486235,-0.11947359951501452,0.488130122423172,0.48467302322387695,0.003457099199295044,0.021432628476486235
epithelial_emt_front,cd163,CD163,CD163,-0.014422031887407542,-0.030831237453376428,0.6047860383987427,0.6024332642555237,0.002352774143218994,0.014422031887407542
epithelial_emt_front,pd1,PD-1,PDCD1,0.012321783864468618,0.014796944494083013,0.7152280211448669,0.6534750461578369,0.06175297498703003,0.012321783864468618
epithelial_emt_front,pd_l1,PD-L1,CD274,0.010737725169715193,-0.026078152622229456,0.40779808163642883,0.363254189491272,0.04454389214515686,0.010737725169715193
epithelial_emt_front,granzymeb,GranzymeB,GZMB,-0.003388835271266974,0.009419239309747385,0.3904516100883484,0.38420185446739197,0.006249755620956421,0.003388835271266974
myeloid_vascular,cd20,CD20,MS4A1,-0.14984945625623058,-0.09295027669163376,0.11219718307256699,0.2175910323858261,-0.10539384931325912,0.14984945625623058
myeloid_vascular,cd163,CD163,CD163,0.11769469459447142,0.04655883866698782,0.7001200318336487,0.5854029655456543,0.11471706628799438,0.11769469459447142
myeloid_vascular,cd31,CD31,PECAM1,0.11309257859045954,0.03812381924573335,0.8110557794570923,0.7257975339889526,0.08525824546813965,0.11309257859045954
myeloid_vascular,panck,PanCK,EPCAM,-0.11305131155791501,-0.07145032158971515,0.35976728796958923,0.562864363193512,-0.20309707522392273,0.11305131155791501
myeloid_vascular,vista,VISTA,VSIR,0.0715934837889095,0.0562471738251529,0.9804783463478088,0.9239799976348877,0.05649834871292114,0.0715934837889095
myeloid_vascular,cd138,CD138,SDC1,-0.06112022030998081,0.01321150871219381,0.37230536341667175,0.5067866444587708,-0.134481281042099,0.06112022030998081
myeloid_vascular,cd68,CD68,CD68,0.0597855623809236,0.10095037204537115,0.7951101064682007,0.7683791518211365,0.02673095464706421,0.0597855623809236
myeloid_vascular,alpha_sma,alphaSMA,ACTA2,0.053534298014075575,0.05685210836944223,1.3292235136032104,1.4845672845840454,-0.15534377098083496,0.053534298014075575
myeloid_vascular,e_cadherin,E-Cadherin,CDH1,-0.02759897911141215,0.05148830133560144,1.183398962020874,1.1561148166656494,0.02728414535522461,0.02759897911141215
myeloid_vascular,granzymeb,GranzymeB,GZMB,-0.023465606278884266,0.005037300444463866,0.3478200137615204,0.39346250891685486,-0.04564249515533447,0.023465606278884266
myeloid_vascular,lag3,LAG-3,LAG3,0.02184453404579867,0.024948563404764524,0.6540058255195618,0.6803434491157532,-0.026337623596191406,0.02184453404579867
myeloid_vascular,pd_l1,PD-L1,CD274,0.013043965153239518,0.04264169752673355,0.42356133460998535,0.37038615345954895,0.0531751811504364,0.013043965153239518
myeloid_vascular,vimentin,Vimentin,VIM,0.011772667035061217,-0.024764252096412632,1.455450415611267,1.3286317586898804,0.12681865692138672,0.011772667035061217
myeloid_vascular,hla_dr,HLA-DR,HLA-DRA,0.007496053460950809,0.0015860806752526892,1.1023218631744385,1.116062045097351,-0.013740181922912598,0.007496053460950809
myeloid_vascular,pd1,PD-1,PDCD1,-0.004760115878723052,0.009955851658062254,0.6144062876701355,0.685958743095398,-0.07155245542526245,0.004760115878723052
